geocode,employee,inactive,self-employed,student,unemployed
E00069551,138,33,8,1,3
E00069552,92,59,18,5,9
E00069553,97,55,22,2,1
E00069554,110,73,30,3,4
E00069555,328,41,13,7,9
E00069556,119,24,8,1,5
E00069557,78,57,35,2,3
E00069558,129,91,34,6,2
E00069559,64,63,42,2,3
E00069565,65,33,29,1,5
E00069566,143,56,45,3,4
E00069567,114,56,36,11,6
E00069633,227,62,42,15,4
E00131493,135,68,45,5,3
E00133530,98,53,37,4,3
E00133532,49,28,16,2,0
E00133533,82,49,25,5,2
E00133536,211,88,43,12,19
E00133537,133,99,37,5,5
E00133553,101,66,11,2,8
E00133554,105,60,22,8,2
E00133558,107,49,16,10,1
E00133559,140,43,23,10,8
E00133560,119,56,21,5,4
E00133561,113,67,22,9,2
E00133562,68,87,9,6,6
E00133563,72,66,16,3,1
E00133564,177,116,71,12,16
E00133565,75,60,16,8,0
E00133566,107,56,21,4,6
E00133567,109,58,14,3,11
E00133568,131,51,14,5,5
E00133569,100,69,19,9,6
E00133570,61,61,7,1,10
E00133571,142,54,25,7,17
E00133572,124,70,8,3,18
E00133573,77,58,13,2,5
E00133574,205,47,35,11,6
E00133575,104,41,14,7,4
E00133576,146,63,23,8,9
E00133578,77,65,11,1,4
E00133579,97,112,20,2,6
E00133580,175,45,14,13,9
E00133581,128,49,24,10,4
E00133582,122,66,16,1,4
E00133583,130,46,23,8,5
E00133584,169,83,26,11,7
E00133585,156,62,26,11,11
E00133586,120,72,5,9,1
E00133587,115,75,12,1,5
E00133588,173,63,24,9,8
E00133589,133,78,30,9,3
E00133590,37,44,5,1,9
E00133591,128,70,14,11,4
E00133592,143,38,19,3,4
E00133593,94,70,19,4,2
E00133594,150,41,13,5,7
E00133595,123,61,16,6,22
E00133596,128,76,21,3,6
E00133597,156,77,25,10,10
E00133621,184,60,13,5,11
E00133623,220,126,31,11,25
E00133624,114,119,10,6,45
E00133626,122,66,11,4,22
E00133627,166,81,21,10,11
E00133628,125,76,19,5,16
E00133629,126,85,11,10,20
E00133630,107,77,6,6,4
E00133631,107,75,10,6,21
E00133632,109,71,13,5,18
E00133633,95,67,6,4,22
E00133634,80,64,8,5,22
E00133635,152,104,10,6,44
E00133652,129,77,48,7,7
E00133653,112,60,29,6,4
E00133654,65,77,18,2,5
E00133655,71,71,26,4,1
E00133656,100,41,30,5,8
E00133661,178,88,50,6,10
E00133662,213,123,41,4,8
E00133663,121,46,34,2,6
E00133664,72,37,34,1,3
E00133665,125,77,30,5,2
E00133666,91,58,18,3,6
E00133667,163,43,15,8,19
E00133668,257,73,15,10,23
E00133669,122,54,14,0,14
E00133670,167,42,9,6,12
E00133671,48,105,16,3,4
E00133672,130,64,28,3,2
E00133673,155,70,9,5,22
E00133675,116,48,9,2,26
E00133676,146,81,11,11,5
E00133678,171,63,8,8,9
E00133679,167,97,19,16,28
E00133680,139,56,28,4,5
E00133681,100,67,15,3,9
E00133734,118,59,36,1,3
E00133735,50,28,30,3,1
E00133736,189,108,65,20,15
E00133738,141,85,52,0,14
E00133739,117,73,44,9,7
E00133740,83,50,35,2,0
E00133741,95,67,21,5,3
E00133742,181,101,31,10,15
E00133743,138,75,54,14,15
E00133744,87,64,15,3,6
E00133745,150,47,19,7,8
E00133747,46,38,16,4,0
E00133748,131,77,40,9,5
E00133751,94,68,32,6,3
E00133752,60,44,28,0,4
E00133753,87,56,23,2,8
E00133754,73,60,37,4,2
E00133755,55,53,14,2,1
E00133756,121,61,19,6,10
E00133757,116,77,36,5,4
E00133786,105,49,33,5,10
E00133787,154,111,77,6,4
E00133788,52,31,24,0,4
E00133789,166,59,21,5,6
E00133790,134,60,38,1,9
E00133791,136,48,16,7,12
E00133792,141,31,21,1,7
E00133793,145,60,31,5,5
E00133801,188,119,65,8,8
E00133802,144,45,17,4,4
E00133803,139,51,22,7,3
E00133804,67,58,9,5,4
E00133805,136,97,41,10,12
E00133806,118,72,18,5,4
E00133807,161,50,31,9,5
E00133808,128,83,38,9,8
E00133809,84,45,11,6,8
E00133814,119,48,15,4,8
E00133815,165,66,20,5,16
E00133816,145,65,13,9,8
E00133817,146,57,19,4,11
E00133818,118,64,15,4,3
E00133819,196,46,31,11,10
E00133820,154,61,18,10,20
E00133821,159,47,18,5,8
E00133822,83,63,15,2,7
E00133823,133,31,15,5,15
E00133900,99,69,27,3,4
E00133901,133,70,26,4,4
E00133902,111,63,26,8,3
E00133903,147,68,50,9,7
E00133904,166,17,16,7,10
E00133905,132,67,32,10,4
E00133906,106,77,18,5,4
E00133911,145,83,17,3,6
E00133912,143,140,42,6,16
E00133916,115,49,22,7,8
E00133917,154,67,26,5,4
E00169399,143,37,7,3,5
E00169402,153,43,16,11,7
E00169403,137,37,21,8,12
E00169404,155,29,22,6,7
E00169405,164,41,21,10,8
E00169406,150,34,18,9,5
E00169407,163,25,17,7,6
E00169408,172,34,19,12,4
E00169409,129,38,30,5,8
E00169410,133,30,10,6,3
E00169411,142,23,17,3,5
E00169412,65,38,12,3,4
E00169413,146,14,14,1,8
E00169414,51,24,7,3,1
E00169415,136,33,25,5,9
E00169417,154,60,27,4,7
E00169422,139,85,48,3,6
E00169423,87,44,32,5,5
E00172627,98,53,46,7,4
E00172628,362,520,28,25,17
