geocode,female,male
E02001882,4127,4025
E02001883,4266,3863
E02001884,4645,4594
E02001886,4213,4595
E02001888,3241,3006
E02001889,4191,4155
E02001890,4761,5045
E02001892,5247,4946
E02001893,4088,4009
E02001895,4065,3725
E02001896,4572,4715
E02001897,3639,3957
E02001898,3303,3185
E02001899,4070,3796
E02001900,3428,3373
E02001901,4137,3765
E02001902,3088,3013
E02001903,3722,3878
E02001904,3509,3430
E02001905,4933,4783
E02001906,4857,4458
E02001907,4805,4817
E02001908,4422,4486
E02001909,3891,4095
E02001910,3525,3592
E02001911,4167,3768
E02001913,3599,3587
E02001914,3320,3470
E02001915,5785,5722
E02001916,4416,4196
E02001918,4294,4662
E02001919,3270,3419
E02001920,4033,3554
E02001921,4132,3701
E02001922,6755,5895
E02001923,5338,5119
E02001924,3271,3185
E02001925,3505,3179
E02001926,3543,3671
E02001927,4039,3663
E02001928,3596,3262
E02001929,5020,4629
E02001930,3977,3881
E02001931,4032,3854
E02001932,3615,3180
E02001933,3962,3663
E02001934,3446,3365
E02001935,4106,3733
E02001936,3325,3148
E02001937,4150,3773
E02001938,4011,3715
E02001939,3002,2810
E02001941,3240,2962
E02001942,3536,3231
E02001943,3323,3071
E02001944,4148,3978
E02001945,4077,3707
E02001946,3840,3848
E02001947,3179,2986
E02001948,3763,3670
E02001949,3092,2727
E02001950,4326,4080
E02001951,4242,3975
E02001952,4638,4257
E02001953,3678,3453
E02001954,4086,3726
E02001955,3312,3069
E02001956,3318,3088
E02001957,4021,3891
E02001958,3808,3644
E02001959,3120,3081
E02001961,3775,3723
E02001962,3163,2871
E02001963,3052,2874
E02001964,4310,3782
E02001965,4146,3873
E02001966,3418,3504
E02001967,3218,3063
E02001968,3672,3475
E02001969,3338,3039
E02001970,2780,2702
E02001971,3009,2825
E02001972,4897,5157
E02001973,4034,4098
E02001974,4909,4563
E02001975,4050,3810
E02001976,3615,3517
E02001977,4309,4705
E02001978,3245,3258
E02001979,2967,2759
E02001980,3048,2948
E02001981,5591,6162
E02001982,3595,3467
E02001983,3845,3701
E02001984,4546,4421
E02001985,3843,4610
E02001986,3920,3677
E02001987,2754,3031
E02001988,3801,4985
E02001989,2872,2781
E02001990,4708,4548
E02001991,4253,4262
E02001992,5010,4563
E02001993,3669,3571
E02001994,4205,3954
E02001995,3183,3332
E02001996,3405,3414
E02001997,4337,4189
E02001998,3041,2932
E02001999,4614,4784
E02002021,3580,3735
E02002022,4289,4035
E02002023,2715,2624
E02002024,4370,4166
E02002025,4036,3925
E02002026,3540,3547
E02002027,2853,2806
E02002028,3051,2795
E02002029,3038,2838
E02002030,3229,3045
E02002031,2998,3007
E02002032,5131,4809
E02002033,3801,3654
E02002034,4047,4066
E02002035,3155,2990
E02002036,3261,3314
E02002037,3012,2862
E02002038,4781,4629
E02002039,3089,3238
E02002040,3063,2904
E02002041,3206,2996
E02002042,4141,3919
E02002074,4143,3883
E02002075,4360,4179
E02002076,5301,5005
E02002077,5076,5106
E02002078,3232,2973
E02002079,4139,3846
E02002080,3461,3203
E02002086,2755,2688
E02002087,3151,2883
E02002088,4762,4565
E02002089,3964,3769
E02002090,2972,2835
E02002091,3731,3546
E02002092,3690,3451
E02002093,3340,3217
E02002094,3089,2873
E02002095,4429,4108
E02002096,5194,4814
E02002097,3335,3220
E02002098,4857,4561
E02002099,3338,3223
E02002101,3062,2781
E02002102,4442,4150
E02002103,3168,2857
E02002104,3167,2999
E02002105,3964,3851
E02002106,4830,4445
E02002107,2960,2823
E02002108,4999,4798
E02002109,4616,4741
E02002905,3057,2986
E02002906,2983,2792
E02002907,3013,2903
E02002908,4322,4235
E02002909,5234,5115
E02002911,4730,4593
E02002912,3546,3598
E02002913,2884,2716
E02002914,4497,4432
E02002915,3491,3224
E02002916,4758,4905
E02002917,3462,3438
E02002918,3111,2852
E02002919,4691,4621
E02002920,3265,3259
E02002921,4014,3743
E02002922,3149,3098
E02002923,4992,4644
E02002925,5493,5459
E02002926,5514,5068
E02002927,5883,5759
E02003212,4254,4005
E02004600,2870,2830
E02004601,2734,2431
E02004602,3416,3016
E02004603,4010,3665
E02004604,4080,3875
E02004605,2938,2793
E02004606,4767,5021
E02004607,4591,4858
E02004608,5366,5095
E02004609,3635,3641
E02004610,4153,3883
E02004611,5771,5317
E02004612,4871,4566
E02004613,3293,2971
E02004614,2725,2550
E02004615,4149,3780
E02004616,4556,4096
E02004617,3980,3699
E02004618,3647,3650
E02004619,3750,3543
E02004620,3912,3774
E02004621,3331,2974
E02004622,3501,3370
E02004623,4138,3866
E02004624,3020,2856
E02004625,4793,4496
E02004626,4951,4726
E02004627,2757,2593
E02004628,3890,3869
E02004629,6203,6059
E02004630,3310,3246
E02004631,2534,2475
E02004632,5126,4885
E02004633,4147,4021
E02004634,5135,4858
E02004635,3636,3540
E02004636,4066,4015
E02004637,4421,4441
E02004638,2962,2814
E02004639,3813,4406
E02004640,3911,3935
E02004641,3790,3483
E02004642,6036,5839
E02004643,4000,3817
E02004644,4418,4284
E02004645,4824,4666
E02004646,4317,4183
E02004647,3057,2832
E02004648,2997,2842
E02004649,3679,3419
E02004650,5293,5128
E02004651,3866,3762
E02004652,3257,3043
E02004653,3309,3245
E02004654,5703,5526
E02004655,3878,3847
E02004656,5581,5512
E02004657,3431,3439
E02004658,3316,3193
E02004659,3179,3080
E02004660,3375,3098
E02004661,4127,4035
E02004662,3042,3018
E02004663,3442,3172
E02004664,3392,3305
E02004665,4367,4239
E02004666,5734,5849
E02004667,5220,5075
E02004668,4217,4033
E02004669,3375,3228
E02004670,6665,6028
E02004671,2975,2888
E02004672,6329,6191
E02004673,2817,2600
E02004674,4531,4188
E02005929,3490,3362
E02005984,3483,3398
E02005986,4574,4417
E02005993,3281,3056
E02005994,3133,2945
E02005995,3057,2850
E02005997,2842,2713
E02005999,3122,3047
E02006000,6122,5707
E02006001,2844,2769
E02006002,5216,4864
E02006004,2828,2746
E02006005,4637,4463
E02006006,2941,3728
E02006007,3341,3268
E02006014,4593,4618
E02006043,3432,3444
E02006045,5649,5290
E02006046,4455,4412
E02006187,3759,3466
E02006487,3470,3196
E02006488,3144,3002
E02006489,4041,4002
E02006490,3851,3622
E02006495,3837,3848
E02006504,2881,2798
E02006505,3474,3182
E02006506,3020,2859
E02006508,4826,4616
E02006509,3151,2932
E02006510,3159,3023
E02006511,4764,4400
E02006512,5524,5377
E02006513,3863,3624
E02006514,4840,4217
E02006515,4719,4504
E02006516,4570,4449
E02006517,3773,3585
E02006518,4832,4465
E02006519,3900,3665
E02006520,4273,4115
E02006521,3795,3668
E02006522,2733,2731
E02006523,5906,5722
E02006524,2845,2779
E02006525,6434,6428
E02006526,4181,4137
E02006527,4571,4595
E02006528,5497,5645
E02006529,5676,5628
E02006530,5282,5210
E02006531,4605,5326
E02006532,4429,4300
E02006533,4871,4701
E02006644,3430,3314
E02006696,3248,3022
E02006697,3643,3623
E02006698,3289,3202
E02006699,3053,2886
E02006700,2957,2782
E02006701,3077,2956
E02006702,2959,2849
E02006703,3642,3532
E02006704,3371,3193
E02006705,3454,3242
E02006706,3514,3290
E02006707,3550,3317
E02006708,4152,3950
E02006709,3428,4456
E02006710,3980,3887
E02006711,3961,3886
E02006712,3479,3450
E02006713,3222,2933
E02006714,2702,2560
E02006715,4143,4080
E02006716,3319,3106
E02006717,2979,2712
E02006718,3321,2810
E02006719,3669,3604
E02006720,3520,3308
E02006721,2883,2822
E02006722,2787,2702
E02006723,4252,4030
E02006724,3278,3600
E02006725,2826,2836
E02006726,3164,3247
E02006727,3023,3060
E02006728,3656,3404
E02006729,3625,3657
E02006730,3107,3081
E02006731,3041,2788
E02006732,3654,3639
E02006733,3070,2982
E02006734,4184,3991
E02006735,2689,2516
E02006736,3378,3356
E02006737,4005,3798
E02006738,4539,4427
E02006739,3092,2820
E02006740,3423,3556
E02006741,2897,2742
E02006742,4292,4128
E02006743,3350,3210
E02006744,3424,3591
E02006745,4007,3883
E02006746,3889,3730
E02006747,3036,2815
E02006748,3383,3279
E02006749,2799,2585
E02006750,2819,2611
E02006751,3105,2822
E02006752,3440,3323
E02006753,3129,3172
E02006754,2770,2705
E02006755,2701,2673
E02006756,2771,2595
E02006757,3485,3355
E02006758,2669,2959
E02006759,3627,3438
E02006760,4036,3887
E02006761,2947,2886
E02006762,2920,2793
E02006763,3265,3202
E02006764,2753,2662
E02006765,3062,2810
E02006766,3818,3688
E02006767,4400,4448
E02006768,3457,3333
E02006769,3650,3521
E02006770,3604,3562
E02006771,3328,3248
E02006772,3327,3118
E02006773,4284,4017
E02006774,3745,3737
E02006775,2574,2590
E02006776,3320,3259
E02006777,3610,3551
E02006778,3599,3280
E02006779,3816,3806
E02006780,2962,2829
E02006805,4264,3966
E02006806,4160,3846
E02006807,4029,3874
E02006808,3148,2952
E02006895,3590,3683
E02006896,2143,3125
E02006897,2898,3478
E02006898,2811,3373
E02006899,2307,3240
E02006900,7378,7335
E02006901,7072,7330
W02000339,5408,5100
W02000342,4912,4761
W02000343,4407,4127
