geocode,female,male
E01012371,649,595
E01012372,569,570
E01012373,646,644
E01012385,722,719
E01012396,762,769
E01012397,796,709
E01012399,726,682
E01012406,819,777
E01012407,828,766
E01012408,1082,964
E01012409,735,699
E01012415,708,691
E01012416,911,881
E01012417,653,641
E01012418,716,660
E01012432,722,687
E01012433,850,770
E01012435,1033,1081
E01012436,703,631
E01012437,720,634
E01012438,635,554
E01012439,830,692
E01012440,688,685
E01014210,769,721
E01014211,797,687
E01014212,679,632
E01014213,605,633
E01014214,728,727
E01014215,763,757
E01014216,740,666
E01014217,758,677
E01014218,782,729
E01014219,662,610
E01014220,841,796
E01014221,819,769
E01014222,796,731
E01014223,805,808
E01014224,846,758
E01014225,761,715
E01014226,788,668
E01014228,654,657
E01014229,943,835
E01014230,747,747
E01014231,664,824
E01014233,733,678
E01014234,808,776
E01014235,820,767
E01014236,1194,1150
E01014237,767,825
E01014238,763,762
E01014239,752,732
E01014240,807,722
E01014241,821,780
E01014242,736,729
E01014243,725,690
E01014244,824,749
E01014245,874,875
E01014246,815,789
E01014247,846,891
E01014248,718,756
E01014249,822,914
E01014250,532,605
E01014251,886,964
E01014252,806,876
E01014253,807,744
E01014254,732,840
E01014255,1036,994
E01014256,807,814
E01014257,736,736
E01014258,764,753
E01014259,775,687
E01014260,689,649
E01014261,738,666
E01014262,699,660
E01014263,904,795
E01014264,965,960
E01014265,784,754
E01014266,633,581
E01014267,1203,1180
E01014268,1098,995
E01014269,813,816
E01014270,764,777
E01014271,792,733
E01014272,745,703
E01014273,629,651
E01014274,979,858
E01014275,736,687
E01014276,791,782
E01014277,775,783
E01014278,674,680
E01014279,864,868
E01014280,653,660
E01014281,734,1018
E01014282,752,933
E01014283,787,1254
E01014284,589,881
E01014285,1026,1183
E01014286,656,801
E01014287,784,924
E01014288,818,778
E01014289,801,766
E01014290,763,762
E01014291,693,700
E01014292,806,816
E01014293,781,897
E01014294,678,649
E01014295,866,840
E01014296,720,703
E01014297,661,644
E01014298,822,771
E01014299,719,712
E01014300,755,672
E01014301,875,878
E01014302,890,932
E01014303,798,798
E01014304,734,724
E01014305,658,737
E01014306,729,690
E01014307,693,690
E01014308,847,821
E01014309,672,613
E01014310,1043,1019
E01014311,704,659
E01014312,732,693
E01014313,829,739
E01014314,705,708
E01014322,860,802
E01014323,659,615
E01014324,747,706
E01014325,656,679
E01014326,708,775
E01014327,748,704
E01014328,702,739
E01014329,769,763
E01014330,701,894
E01014331,766,772
E01014332,881,792
E01014333,742,718
E01014334,766,662
