geocode,bad,fair,good
E01032620,95,254,1916
E01032798,128,305,3116
E01032825,39,105,1432
E01032826,13,92,1508
E01032827,12,73,1677
E01032828,17,77,1144
E01032829,48,166,1147
E01032830,143,378,1976
E01033087,45,115,1176
E01033088,34,94,1318
E01033089,59,165,1375
E01033090,63,185,987
E01033091,66,169,1447
E01033092,72,150,1002
