geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E01024633,213,230,179,166,232,180,154,64,127
E01024634,186,243,157,177,193,180,129,50,88
E01024635,196,206,127,174,234,187,263,90,199
E01024642,115,155,81,81,181,196,278,120,296
E01024643,121,140,146,142,190,172,174,47,101
E01024644,93,128,65,73,177,210,222,104,259
E01024645,217,220,153,209,216,207,155,50,89
E01024646,233,237,294,234,265,206,204,69,158
E01024647,200,249,183,219,287,200,134,51,56
E01024648,184,170,188,205,224,176,169,64,139
E01024649,205,160,239,243,258,238,209,60,114
E01024653,139,182,97,155,199,181,260,108,280
E01024654,114,161,93,109,189,179,236,131,307
E01024655,127,170,90,102,179,187,288,107,225
E01024656,144,176,162,129,209,227,286,93,247
E01024662,202,204,161,168,197,171,218,104,154
E01024663,336,289,208,217,192,157,115,21,52
E01024667,209,155,285,197,239,210,238,77,115
E01024668,205,374,166,166,150,137,119,21,54
E01024669,255,226,256,242,245,194,132,50,84
E01024670,243,200,271,165,221,156,134,51,134
E01024671,153,167,299,182,234,187,187,70,167
E01024675,171,255,147,169,268,310,402,133,292
E01024687,189,250,171,156,211,199,143,40,86
E01024689,115,149,111,141,154,167,172,64,180
E01024690,128,184,108,103,202,186,224,101,267
E01024691,127,214,179,124,180,150,133,70,95
E01024692,174,207,141,167,227,173,247,86,220
E01024693,143,173,86,117,224,177,212,81,159
E01024698,167,182,179,171,228,166,170,61,142
E01024699,298,305,228,222,231,194,198,71,106
E01024700,257,257,215,210,290,199,169,82,125
E01024705,78,124,152,134,163,172,171,72,205
E01024706,162,265,139,136,217,176,223,65,140
E01024707,166,137,131,150,175,202,182,61,157
E01024708,90,198,79,79,183,257,293,111,242
E01024709,100,127,86,91,176,199,263,104,190
