geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E10000027,41814,1047,9737,9609,323
E10000029,44744,1593,12945,11055,729
E12000001,697873,13307,154257,259460,4082
E12000002,1940970,38803,462658,550178,15786
E12000003,1425464,32758,353417,402647,9625
E12000004,1274420,25310,281594,300086,12723
E12000005,1488743,33744,321624,435160,15229
E12000006,1592934,29261,343233,369271,17028
E12000007,1576119,42776,818840,785800,42055
E12000008,2404517,45601,578592,487473,39280
E12000009,1485144,30866,377397,291911,16793
