geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E00073143,37,7,88,43,11,1,0,0,7
E00073144,21,19,53,88,3,2,1,0,4
E00073145,12,16,40,50,3,2,1,2,2
E00073146,3,22,55,65,8,2,0,3,4
E00073147,20,11,69,53,7,2,1,4,2
E00073148,21,26,45,85,6,2,2,1,4
E00073150,23,16,57,63,6,3,2,1,3
E00073152,26,14,96,48,17,3,0,0,4
E00073153,60,12,102,60,20,4,4,0,9
E00073154,30,15,84,38,16,3,0,0,6
E00073155,38,13,101,50,16,4,0,0,9
E00073156,29,6,72,41,12,2,1,0,5
E00073157,52,13,90,60,16,1,0,0,8
E00073158,28,12,62,28,16,3,1,1,1
E00073159,27,11,80,53,20,0,2,0,7
E00073160,52,10,87,67,28,1,1,0,14
E00073161,35,16,68,39,9,1,0,2,4
E00073162,45,17,103,65,17,4,3,0,11
E00073163,50,9,70,37,17,1,0,0,10
E00073164,34,11,61,27,8,1,0,0,9
E00073165,28,20,56,75,11,2,2,0,6
E00073166,40,8,64,37,8,0,0,0,4
E00073167,44,19,74,81,16,0,0,0,14
E00073168,40,9,73,46,4,2,2,0,8
E00073169,53,11,100,62,14,2,1,0,19
E00073170,47,26,88,137,9,2,3,1,13
E00073171,33,19,63,63,16,4,0,0,5
E00073172,44,11,60,33,5,2,1,0,4
E00073173,33,17,79,49,19,2,1,1,12
E00073174,44,12,55,84,21,0,2,1,7
E00073176,21,9,52,51,5,1,1,1,3
E00073177,16,14,54,48,3,1,5,0,2
E00073178,26,13,69,58,24,0,0,0,11
E00073179,28,13,44,49,17,1,2,1,2
E00073181,33,12,76,61,3,3,5,2,1
E00073182,34,15,46,65,11,0,2,0,4
E00073263,43,27,116,42,12,1,1,0,4
E00073264,32,16,101,48,20,4,2,0,1
E00073265,20,13,90,38,15,2,1,0,8
E00073266,35,24,89,34,11,1,2,0,4
E00073267,22,9,72,19,13,0,1,0,1
E00073268,41,29,117,33,13,1,0,1,3
E00073269,54,27,107,44,8,1,1,0,5
E00073270,38,17,111,40,18,1,3,0,6
E00073271,41,33,123,52,23,5,2,2,5
E00073272,23,21,88,24,13,2,1,0,3
E00073273,18,19,52,32,10,1,0,0,2
E00073274,14,15,75,24,8,3,1,0,2
E00073276,30,25,86,53,9,0,6,1,3
E00073277,30,16,78,52,12,4,1,1,7
E00073278,23,12,90,31,21,1,2,0,9
E00073279,50,39,169,52,14,6,0,1,15
E00073280,25,15,69,44,12,5,0,0,6
E00073281,35,11,103,29,14,1,0,0,4
E00073282,35,14,93,34,26,4,0,0,2
E00073283,39,8,83,37,17,1,1,0,6
E00073284,4,3,30,12,4,0,0,0,1
E00073285,30,11,95,52,12,1,0,0,7
E00073286,31,10,89,46,21,4,2,0,5
E00073287,34,10,84,36,19,0,0,0,1
E00073288,31,17,82,42,14,1,0,0,3
E00073289,22,9,81,44,22,1,1,0,8
E00073290,31,5,89,49,18,3,2,0,6
E00073291,28,8,87,43,19,0,1,1,11
E00073292,38,31,162,55,9,5,0,1,2
E00073293,33,21,103,34,15,1,0,0,2
E00073294,29,35,84,39,11,2,0,0,4
E00073295,28,17,98,24,12,1,0,0,2
E00073296,22,25,93,21,6,3,0,1,2
E00073297,29,16,92,35,12,1,0,1,6
E00073298,28,44,101,55,14,0,2,2,4
E00073299,29,29,99,30,13,0,1,0,3
E00073300,23,12,70,27,10,1,1,0,0
E00073414,18,19,31,75,5,1,1,1,4
E00073415,8,8,52,70,4,1,0,0,2
E00073416,15,2,48,77,9,1,0,0,9
E00073417,17,25,83,144,17,2,0,2,7
E00073419,16,19,51,72,7,2,0,0,5
E00073420,7,10,19,55,7,0,1,0,5
E00073421,11,2,34,80,6,1,3,0,4
E00073422,7,6,26,18,1,0,0,3,0
E00073423,8,9,28,51,7,0,2,0,5
E00073424,4,11,18,33,1,0,0,3,1
E00073425,12,6,46,79,9,1,3,0,1
E00073426,9,8,26,54,2,0,2,0,1
E00073431,14,10,56,99,8,0,4,0,8
E00073433,7,17,51,123,13,1,2,0,9
E00073439,21,10,59,73,14,1,0,0,6
E00073440,16,6,41,52,17,0,1,0,4
E00073441,6,11,27,37,6,0,0,0,2
E00073442,22,12,51,83,27,1,1,0,13
E00073443,19,6,47,59,17,1,0,0,6
E00073444,14,8,54,58,4,0,2,0,5
E00073445,10,7,40,61,10,0,1,0,1
E00073446,8,8,59,93,13,0,0,0,7
E00073449,8,8,49,50,12,0,0,0,4
E00073450,14,12,58,71,24,3,2,0,4
E00073451,20,9,77,70,9,0,1,0,4
E00073452,16,10,62,75,9,0,2,0,8
E00073472,14,6,84,46,10,2,1,1,1
E00073473,4,4,26,12,3,0,1,0,1
E00073474,10,5,42,33,8,0,0,0,3
E00073476,6,4,53,75,18,0,1,0,8
E00073477,15,2,61,51,17,1,0,0,3
E00073478,16,12,83,59,10,1,1,0,6
E00073479,17,8,57,43,19,1,3,0,2
E00073480,4,9,66,64,20,3,0,0,6
E00073481,20,10,142,99,21,0,0,0,9
E00073482,8,11,74,91,17,0,1,0,7
E00073483,19,10,73,96,20,0,0,0,6
E00073484,8,7,72,51,11,0,0,0,7
E00073485,9,5,31,46,8,0,0,0,6
E00073486,11,13,64,135,10,1,0,0,5
E00073487,2,8,49,70,10,1,0,0,4
