geocode,female,male
E02002910,4024,3851
E02002924,3062,3011
E02003069,2811,2598
E02003071,4146,3755
E02003074,4105,3866
E02003076,4705,4568
E02003078,3614,3263
E02003079,4916,4683
E02003080,4543,4046
E02003081,4683,4483
E02003082,4379,4204
E02003084,4760,4746
E02003085,3904,3630
E02003086,3160,2893
E02003087,4735,4434
E02003088,4327,4034
E02003089,3031,2746
E02003931,5137,4797
E02003932,3507,3438
E02004129,2755,2737
E02004130,3146,2773
E02004131,2936,2628
E02004132,4206,4025
E02004133,4255,3925
E02004134,3523,3360
E02004135,4197,3847
E02004136,4157,3802
E02004149,4634,4385
E02004150,3473,3352
E02004151,4195,3762
E02004164,3341,3245
E02004165,4152,3895
E02004166,3293,3194
E02004167,3705,3495
E02004168,3085,3003
E02004169,3604,3499
E02004170,3927,3716
E02004171,3899,3663
E02004172,3131,3024
E02004173,3654,3625
E02004174,3889,3711
E02004175,2820,2697
E02004176,2878,2710
E02004177,3092,2900
E02004178,2784,2687
E02004179,4477,4601
E02004180,3015,2885
E02004181,3045,2804
E02004182,3191,3009
E02004183,2992,2790
E02004184,4510,4104
E02004185,3051,2760
E02004186,4253,3971
E02004187,4783,4553
E02004188,3218,3087
E02004220,3216,2968
E02004221,3103,2775
E02004222,2876,2841
E02004223,5826,5522
E02004224,3174,3080
E02004225,2998,2716
E02004226,3465,3451
E02004227,4515,4414
E02004228,3499,3400
E02004229,3990,3973
E02004230,3838,3662
E02006044,3120,3122
E02006062,5472,5172
E02006063,3518,3482
E02006064,4149,3658
E02006065,4327,4136
E02006066,3956,3725
E02006067,3571,3420
E02006068,3818,3761
E02006069,4857,4888
E02006070,3455,3317
E02006071,4365,4108
E02006072,4625,4522
E02006073,3558,3471
E02006074,4251,4107
E02006078,2941,2761
E02006081,2741,2558
E02006084,3695,3382
E02006093,4368,4077
E02006096,3415,3289
E02006097,3200,3170
E02006098,3703,3584
E02006099,3553,3276
E02006100,3795,3673
E02006101,2893,2709
E02006102,3771,3370
E02006103,3743,3491
E02006104,3931,3613
E02006105,5290,5015
