geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E01013414,173,129,348,267,242,215,136,57,94
E01013416,154,158,334,256,226,172,127,38,99
E01013417,231,239,287,275,341,253,205,57,90
E01013418,144,107,322,306,242,158,152,51,73
E01013419,118,168,175,121,202,191,215,82,260
E01013420,202,234,316,234,301,200,223,109,219
E01013421,140,270,163,154,243,207,188,55,128
E01013422,224,236,133,235,303,191,188,58,118
E01013423,143,129,71,126,179,203,245,64,125
E01013424,137,188,97,138,223,237,215,36,64
E01013425,156,200,110,200,252,198,205,80,152
E01013426,144,189,69,142,240,217,287,119,262
E01013427,151,169,67,123,201,205,178,107,241
E01013428,197,206,223,248,276,224,142,52,70
E01013429,331,269,242,428,359,241,120,34,41
E01013430,152,173,142,145,234,272,234,75,122
E01013431,247,172,195,297,289,176,112,24,44
E01013432,285,228,216,324,341,216,192,82,225
E01013433,127,151,99,149,259,194,204,102,176
E01013434,124,153,108,176,263,194,174,75,195
E01013435,154,177,132,173,257,196,181,77,119
E01013436,261,238,177,264,302,190,174,52,104
E01013437,87,135,90,128,204,198,187,72,113
E01013438,232,228,154,237,327,188,198,81,145
E01013439,205,231,92,184,314,198,136,43,112
E01013440,201,223,159,235,295,284,238,81,140
E01013441,153,138,236,272,222,174,157,67,113
E01013442,154,146,154,152,219,164,170,50,170
E01013443,199,167,202,207,208,142,156,66,189
E01013444,243,168,237,219,160,137,111,43,95
E01013445,204,142,239,195,216,170,138,56,178
E01013446,222,195,238,262,229,191,155,54,114
E01013447,201,208,241,190,241,151,121,47,99
E01013448,223,168,264,216,160,152,104,41,47
E01013449,189,233,212,184,256,226,205,65,109
E01013450,138,133,78,112,216,197,191,59,116
E01013451,156,191,73,175,242,175,139,37,51
E01013452,221,217,79,182,291,207,207,69,201
E01027594,162,152,146,156,195,165,223,95,205
E01027595,159,177,176,156,220,217,215,98,202
E01027596,104,156,80,87,217,243,252,115,254
E01027600,203,253,136,195,360,295,257,105,118
E01027601,208,277,117,200,334,298,274,100,132
E01027619,362,334,317,357,447,324,252,76,203
E01027622,186,246,114,136,320,311,305,112,189
E01027634,251,286,132,212,386,339,262,79,143
E01027644,175,163,113,169,247,197,184,85,178
E01027645,150,168,169,167,263,220,180,73,203
E01027647,153,187,80,119,281,298,267,70,154
E01027683,156,207,108,159,271,232,189,44,91
E01027684,141,190,97,122,237,255,241,60,88
E01027687,132,223,93,139,271,238,209,76,117
E01027695,199,184,114,174,302,232,250,94,137
E01027696,180,696,123,141,268,240,204,54,83
E01027703,153,205,109,161,327,314,245,94,236
E01027737,309,198,362,282,239,177,141,62,71
E01027774,248,232,158,223,359,248,337,98,129
E01027778,180,283,149,192,421,374,353,145,188
E01027779,114,158,92,87,193,170,183,67,101
E01027785,153,147,195,216,243,186,165,55,171
E01027786,121,153,118,110,215,237,258,130,224
E01027787,178,245,200,162,275,187,218,84,242
E01027788,114,119,141,128,173,211,260,95,164
E01027789,351,284,369,355,332,245,245,68,242
E01027790,213,252,248,267,309,267,190,68,122
E01027791,164,166,131,164,266,242,190,69,163
E01027797,129,201,109,154,302,272,287,92,150
E01027799,154,197,98,150,266,300,301,95,168
E01027875,207,258,110,192,312,291,296,69,130
E01027876,209,196,185,211,253,241,184,57,99
E01027877,141,119,142,151,195,183,162,56,100
E01027878,174,139,262,189,177,133,117,26,62
E01027879,119,162,173,145,211,215,179,53,88
E01027880,150,192,123,170,230,256,226,99,137
E01027881,110,139,125,131,179,156,215,59,180
E01027882,223,229,160,244,316,296,218,57,87
E01027886,156,139,102,179,259,186,169,62,82
E01027887,171,160,136,173,274,261,232,54,87
E01027888,249,186,125,259,317,235,207,60,116
E01027893,216,168,175,224,280,280,294,72,150
E01027894,231,211,161,233,284,284,256,98,131
E01027895,145,140,132,133,227,231,306,103,150
E01027896,231,279,199,230,370,283,234,57,115
E01027897,216,242,186,234,367,347,286,65,157
E01027898,296,237,232,374,391,312,301,68,157
E01027899,231,219,141,198,322,242,188,80,107
E01027900,242,218,185,229,363,315,211,49,101
E01027901,182,140,124,196,247,262,225,68,115
E01027902,199,185,100,165,256,219,207,75,153
E01027903,111,280,65,85,208,144,148,53,100
E01027904,325,308,156,292,461,341,261,67,130
E01027905,201,153,357,270,271,228,189,55,147
E01027906,188,206,201,176,210,198,134,35,76
E01027907,219,200,235,162,190,122,115,46,88
E01027908,180,148,310,226,205,146,145,49,169
E01027909,225,198,439,301,270,233,176,53,127
E01027910,412,416,489,441,372,258,181,70,120
E01027911,123,135,113,139,172,203,210,85,299
E01027912,74,126,98,83,184,166,148,46,105
E01027913,110,134,85,112,208,172,161,58,151
E01027914,166,189,182,190,247,246,272,65,123
E01027915,186,177,174,209,245,221,172,75,155
E01027916,156,213,211,175,251,198,145,46,137
E01027917,227,261,230,235,380,232,161,54,51
E01027918,174,189,159,184,245,196,180,40,118
E01027919,118,134,125,141,200,169,128,48,86
E01027920,95,145,128,122,204,192,181,42,78
E01027921,136,167,154,142,289,238,224,106,285
E01027922,169,241,108,130,339,252,227,95,138
E01033067,118,91,424,215,159,138,92,27,99
E01033068,51,34,410,238,122,118,80,41,50
E01033069,89,54,280,239,149,121,109,37,80
E01033070,44,339,514,245,127,105,78,27,59
