geocode,employee,inactive,self-employed,student,unemployed
E01012371,643,238,63,29,23
E01012372,557,270,63,20,24
E01012373,600,343,46,23,28
E01012385,660,243,133,33,27
E01012396,486,419,32,23,116
E01012397,486,447,28,25,76
E01012399,511,344,36,31,73
E01012406,574,460,59,27,66
E01012407,576,440,34,37,110
E01012408,584,565,51,44,110
E01012409,524,381,33,24,75
E01012415,648,293,77,19,32
E01012416,710,401,91,29,50
E01012417,557,256,49,24,70
E01012418,526,389,60,21,30
E01012432,656,296,64,30,48
E01012433,582,423,40,17,86
E01012435,991,384,142,47,44
E01012436,408,338,27,18,82
E01012437,519,306,27,27,77
E01012438,367,364,16,13,65
E01012439,551,397,46,33,78
E01012440,680,268,46,27,59
E01014210,443,443,67,30,72
E01014211,445,486,43,14,74
E01014212,412,406,47,24,70
E01014213,475,308,55,26,61
E01014214,561,368,128,21,29
E01014215,595,346,86,27,33
E01014216,561,324,89,20,26
E01014217,392,443,40,27,70
E01014218,481,423,34,28,85
E01014219,552,293,53,27,38
E01014220,449,473,55,18,120
E01014221,497,434,44,31,98
E01014222,458,412,37,28,104
E01014223,507,480,45,24,100
E01014224,413,437,50,23,81
E01014225,598,378,96,29,30
E01014226,500,376,53,21,42
E01014228,527,405,63,23,29
E01014229,580,436,56,34,65
E01014230,587,352,78,28,57
E01014231,639,363,55,44,85
E01014233,511,409,59,24,44
E01014234,506,416,49,34,82
E01014235,486,464,79,41,63
E01014236,824,547,114,39,95
E01014237,506,442,41,38,124
E01014238,437,423,55,28,101
E01014239,621,340,57,36,35
E01014240,575,384,52,28,53
E01014241,588,360,69,45,63
E01014242,443,419,48,33,75
E01014243,595,325,80,44,46
E01014244,431,435,26,38,100
E01014245,708,354,79,42,57
E01014246,569,432,79,39,70
E01014247,618,498,75,40,82
E01014248,629,325,58,29,83
E01014249,439,515,76,52,143
E01014250,330,346,50,19,60
E01014251,664,491,85,44,106
E01014252,742,336,69,39,81
E01014253,688,329,65,31,47
E01014254,430,441,95,41,108
E01014255,548,509,83,56,93
E01014256,513,503,67,40,72
E01014257,594,383,68,18,34
E01014258,737,221,112,49,23
E01014259,606,390,65,24,29
E01014260,429,405,52,9,57
E01014261,372,428,38,30,88
E01014262,432,385,41,28,57
E01014263,572,461,76,27,78
E01014264,823,362,114,43,48
E01014265,693,320,97,32,28
E01014266,466,292,33,26,64
E01014267,1077,455,126,49,57
E01014268,840,461,88,30,62
E01014269,489,431,60,28,89
E01014270,638,346,75,31,33
E01014271,612,326,80,37,59
E01014272,629,268,106,39,26
E01014273,489,290,61,27,63
E01014274,732,398,66,28,86
E01014275,447,443,31,25,73
E01014276,682,338,71,42,73
E01014277,674,382,58,41,52
E01014278,579,344,48,19,46
E01014279,761,376,73,36,72
E01014280,611,313,69,29,33
E01014281,372,624,85,232,83
E01014282,208,792,41,407,46
E01014283,492,700,72,462,63
E01014284,184,693,39,376,46
E01014285,828,514,123,68,87
E01014286,345,463,78,66,85
E01014287,402,568,77,90,121
E01014288,695,339,91,73,63
E01014289,683,361,90,47,36
E01014290,669,302,72,43,48
E01014291,574,327,63,30,57
E01014292,713,345,95,61,51
E01014293,669,420,74,92,88
E01014294,509,319,44,37,44
E01014295,658,399,88,39,42
E01014296,607,377,47,28,49
E01014297,654,258,61,38,30
E01014298,581,391,55,38,70
E01014299,749,260,67,31,25
E01014300,513,387,34,32,62
E01014301,846,275,110,38,31
E01014302,654,494,75,27,90
E01014303,807,250,99,42,34
E01014304,625,354,69,18,25
E01014305,316,428,116,29,72
E01014306,419,400,92,27,63
E01014307,303,407,131,21,56
E01014308,649,467,83,34,43
E01014309,391,386,64,13,40
E01014310,861,382,129,31,42
E01014311,482,406,62,21,45
E01014312,510,368,70,40,36
E01014313,441,542,45,20,52
E01014314,599,285,123,43,25
E01014322,574,433,97,35,64
E01014323,582,256,46,27,63
E01014324,540,385,86,35,34
E01014325,723,198,85,40,24
E01014326,705,293,101,41,37
E01014327,618,289,68,21,74
E01014328,575,354,55,46,70
E01014329,607,353,60,29,54
E01014330,446,542,81,47,125
E01014331,476,424,42,24,86
E01014332,621,504,75,20,41
E01014333,677,324,73,26,36
E01014334,472,478,44,23,38
E01014335,711,326,124,34,40
E01014336,509,430,64,26,82
E01014337,590,461,78,27,72
E01014338,608,352,116,38,40
E01014339,694,415,56,57,84
E01014340,798,403,91,46,99
E01014341,705,440,69,59,75
E01014342,472,406,46,29,58
E01014343,814,358,80,28,80
E01014344,596,357,50,26,70
E01014345,640,438,67,78,114
E01014346,626,425,91,20,23
E01014347,735,261,89,41,18
E01014348,482,379,71,24,29
E01014349,539,343,80,31,23
E01014350,565,319,125,31,20
E01014351,677,324,92,32,17
E01014352,642,291,102,36,16
E01014353,638,359,89,35,74
E01014354,505,511,75,29,101
E01014355,655,511,128,35,59
E01014356,608,426,112,28,86
E01014357,559,369,59,16,60
E01014358,446,383,35,34,63
E01014359,680,449,79,35,64
E01014360,907,363,103,29,56
E01014361,496,403,80,37,119
E01014362,648,299,84,14,27
E01018308,669,411,196,36,45
E01018338,826,340,104,36,40
E01018349,602,356,171,28,26
E01018350,684,455,169,29,33
E01018355,413,246,112,10,23
E01018356,584,262,207,31,36
E01018357,430,297,204,17,23
E01018368,507,289,120,24,33
E01018369,529,335,253,34,18
E01018370,479,333,118,25,12
E01018371,649,397,191,40,31
E01018372,716,370,271,22,29
E01018373,684,449,299,40,31
E01018386,451,371,100,54,23
E01018387,533,536,120,51,24
E01018388,531,420,85,29,81
E01018389,591,345,113,30,33
E01018390,622,417,106,31,27
E01018391,808,344,112,31,51
E01018392,796,442,144,41,30
E01018393,670,459,358,29,26
E01018394,761,447,282,32,37
E01018395,619,383,159,16,33
E01018396,528,381,80,34,38
E01018397,809,299,146,22,35
