geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E02005988,877,855,790,916,1099,964,863,284,530
E02005991,1170,1174,1128,1206,1448,1185,1133,419,940
E02006047,928,1007,598,805,1404,1153,1271,403,614
E02006048,703,1192,559,647,1056,1008,942,306,558
E02006049,772,857,802,771,1067,1090,1010,320,729
E02006050,1025,1090,1022,1052,1296,1037,813,272,658
E02006051,743,1096,484,619,1101,1122,1157,440,903
E02006052,793,939,661,771,1301,1166,1068,358,735
E02006053,1226,1100,1048,1169,1429,1106,1058,338,713
E02006054,653,840,744,713,1085,1016,1006,433,1176
E02006055,1080,1116,1282,1140,1378,1080,842,288,575
E02006056,807,900,519,741,1188,1066,1112,369,656
E02006057,728,940,721,705,1150,1131,1017,303,739
E02006058,819,1769,699,800,1176,1102,1026,351,714
E02006059,578,804,396,496,1088,1072,1069,336,640
E02006060,973,928,938,955,1073,841,775,322,819
E02006061,913,1110,719,797,1463,1302,1269,413,913
E02006075,541,1114,334,460,759,737,693,254,457
E02006076,814,972,627,709,1273,1304,1300,467,1041
E02006077,499,602,439,460,741,761,862,351,687
E02006079,730,739,745,665,968,1011,995,364,840
E02006080,750,908,1252,797,902,793,827,279,553
E02006082,663,728,609,663,914,958,1067,305,560
E02006083,555,695,491,575,871,794,857,303,583
E02006085,675,673,686,703,794,762,826,271,485
E02006086,879,934,789,866,1106,775,790,241,537
E02006087,824,753,1040,882,829,647,515,209,438
E02006088,973,1024,953,915,1053,829,702,262,646
E02006089,762,708,1116,974,897,717,507,168,543
E02006090,828,833,888,961,1009,815,736,287,664
E02006091,989,1127,706,886,1439,1407,1576,555,1090
E02006092,618,707,634,717,948,875,918,228,537
E02006094,492,526,450,515,745,756,874,355,597
E02006095,806,793,729,850,1093,1044,1166,435,910
E02006634,957,1054,568,836,1520,1346,1210,382,762
E02006635,783,1592,691,811,1190,1078,988,374,888
E02006636,725,761,564,693,1133,1019,954,330,681
E02006637,1483,1269,1247,1471,1682,1229,1126,395,841
E02006638,543,674,631,602,891,852,903,370,796
E02006639,802,995,703,821,1379,1333,1335,408,718
E02006640,839,814,446,762,1242,1099,933,377,557
E02006641,745,1209,563,670,1204,1095,969,310,651
E02006642,691,598,468,591,1031,939,771,243,436
E02006643,2461,1895,4150,2487,1699,1021,693,225,417
E02006645,901,878,698,897,1196,919,862,292,514
E02006646,574,728,373,518,959,782,741,308,618
E02006647,621,696,359,493,1028,1034,958,263,445
E02006648,776,637,464,696,922,792,764,272,532
E02006649,651,902,645,761,1173,1006,819,263,644
E02006650,1370,1225,1471,1558,1768,1385,1357,424,732
E02006651,832,944,535,793,1223,1141,955,297,514
E02006652,1260,1446,918,1243,1769,1174,814,292,625
E02006653,1179,1354,1098,1136,1691,1365,1028,363,615
E02006654,1084,1049,1307,1217,1333,987,956,403,1017
E02006655,748,929,460,623,1296,1060,981,293,612
E02006656,883,1049,863,1050,1291,984,505,152,300
E02006657,1540,1575,1131,1533,1590,1062,839,289,567
E02006658,755,877,644,783,1239,1002,877,335,636
E02006659,1034,897,896,1014,1139,969,899,270,530
E02006660,1561,1630,1204,1608,1973,1699,1620,584,1133
E02006661,1528,1021,2244,1654,1126,606,515,190,309
E02006662,714,760,676,702,886,816,694,227,442
E02006663,1436,1397,1251,1490,1755,1326,952,374,743
E02006664,664,731,467,609,1057,1007,983,364,644
E02006665,612,657,450,498,923,1005,1102,427,886
E02006666,671,731,455,642,963,750,600,241,592
E02006667,908,959,845,853,976,753,548,196,331
E02006668,622,711,555,638,893,840,841,271,733
E02006669,1007,957,783,935,1550,1392,1396,559,1131
E02006670,766,568,1170,1064,939,830,619,220,536
E02006671,559,701,933,864,856,743,635,206,640
E02006672,833,753,715,751,925,766,835,341,733
E02006673,464,478,538,523,591,602,699,304,804
E02006674,720,734,671,734,825,709,557,206,556
E02006675,805,990,559,702,1297,1214,1136,433,773
E02006676,568,834,389,491,851,905,951,376,754
