geocode,female,male
E01016710,947,791
E01016711,1157,1213
E01016713,846,824
E01016714,967,916
E01016715,876,773
E01016716,917,954
E01016718,781,834
E01016719,740,718
E01016720,814,740
E01016721,819,847
E01016722,822,812
E01016723,838,900
E01016724,790,938
E01016725,798,835
E01016726,783,926
E01016727,849,893
E01016728,945,1051
E01016729,1059,1154
E01016731,774,723
E01016732,741,691
E01016733,903,1008
E01016737,848,793
E01016738,1018,797
E01016739,779,790
E01016740,681,686
E01016741,832,838
E01016742,859,784
E01016743,1066,958
E01016744,804,799
E01016745,788,779
E01016746,921,805
E01016748,972,1005
E01016750,827,802
E01016751,827,787
E01016752,904,838
E01016753,1153,1089
E01016754,857,795
E01016755,963,942
E01016756,1223,1064
E01016757,776,803
E01016758,885,840
E01016768,921,1121
E01016774,905,876
E01016775,926,807
E01016776,729,739
E01016777,812,806
E01016778,900,868
E01016780,889,847
E01016781,782,751
E01016784,784,831
E01016810,684,635
E01016811,767,740
E01016813,708,690
E01016814,806,836
E01016815,629,695
E01016816,774,719
E01016829,835,729
E01016830,631,600
E01016831,805,750
E01016832,651,628
E01016833,658,632
E01016834,801,742
E01016842,811,783
E01016843,753,773
E01016844,828,785
E01016845,966,928
E01016846,840,795
E01016847,1067,998
E01016848,757,740
E01017627,821,778
E01017628,933,823
E01017629,816,779
E01017630,791,753
E01017631,795,791
E01017632,809,752
E01017634,751,798
E01017635,700,739
E01017636,783,777
E01017637,689,646
E01017638,653,653
E01017639,798,796
E01017640,812,758
E01017641,890,815
E01017642,677,592
E01017643,647,662
E01017644,773,728
E01017645,696,817
E01017646,955,875
E01017647,830,795
E01017648,905,901
E01017649,1076,1024
E01017650,828,840
E01017653,765,716
E01017654,693,739
E01017655,1002,944
E01017659,826,782
E01017660,857,832
E01017661,793,772
E01017662,677,631
E01017663,760,834
E01017664,690,714
E01017665,811,786
E01017666,850,837
E01017667,691,678
E01017668,760,774
E01017669,772,722
E01017670,790,758
E01017671,799,792
E01017672,713,770
E01017673,652,650
E01017674,678,1192
E01017675,725,706
E01017676,759,669
E01017677,705,637
E01017678,678,619
E01017679,831,784
E01017680,497,495
E01017681,627,605
E01017682,617,602
E01017683,856,844
E01017684,600,508
E01017687,986,1044
E01017688,634,598
E01017689,691,698
E01017690,590,558
E01017691,712,658
E01017692,761,796
E01017693,547,536
E01017694,1184,1145
E01017695,622,572
E01017696,616,647
E01017697,715,711
E01017698,771,713
E01017699,554,885
E01017700,781,766
E01017703,681,611
E01017704,638,621
E01017705,588,587
E01017706,723,706
E01017707,688,622
E01017708,805,759
E01017709,889,798
E01017710,793,758
E01017711,784,789
E01017712,1044,1057
E01017713,708,728
E01017714,663,670
E01017715,587,584
E01017716,926,914
E01017717,846,852
E01017718,814,763
E01017719,621,578
E01017720,657,657
E01017721,844,731
E01017722,752,758
E01017723,710,662
E01017724,718,707
E01017726,609,531
E01017727,892,808
E01017728,1134,1103
E01017729,873,823
E01017730,827,734
E01017731,668,655
E01017732,730,692
E01017733,628,569
E01017734,676,718
E01017735,688,630
E01017736,770,756
E01017737,706,645
E01017738,799,731
E01017768,1224,1088
E01017785,836,841
E01017786,808,745
E01017787,816,798
E01017788,931,822
E01017836,815,842
E01017837,1104,1092
E01017838,720,839
E01017839,1099,622
E01017842,1451,1554
E01017843,794,756
E01017850,704,668
E01017851,809,900
E01017852,1232,1261
E01017853,664,681
E01017854,655,633
E01017855,745,690
E01017856,706,710
E01017857,691,717
E01017858,809,808
E01017859,670,746
E01017860,716,734
E01017861,885,778
E01017862,949,931
E01017863,880,855
E01017869,667,667
E01017870,598,644
E01017871,845,728
E01017872,835,808
E01017873,705,716
E01017874,577,572
E01017880,729,694
E01017881,963,914
E01017883,833,806
E01017884,781,661
E01017885,847,860
E01017886,754,732
E01017887,578,569
E01017888,891,821
E01017899,854,802
E01017900,686,657
E01017901,623,583
E01017902,837,765
E01017903,804,850
E01017904,817,929
E01017905,1011,1170
E01017906,996,984
E01017907,931,914
E01017909,1092,1090
E01017910,1198,1203
E01017911,861,862
E01017912,686,715
E01017913,830,896
E01017914,668,696
E01017915,682,679
E01017916,600,594
E01017917,722,747
E01017918,787,743
E01017919,628,718
E01017920,619,637
