geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E01000125,343,15,301,316,40
E01000126,153,15,150,334,74
E01000127,206,7,76,222,3
E01000128,319,9,101,187,8
E01000129,169,13,176,263,3
E01000130,219,9,91,202,49
E01000131,348,8,199,78,1
E01000132,195,7,83,208,2
E01000133,219,3,69,270,4
E01000134,260,6,165,191,3
E01000135,358,10,161,10,2
E01000136,383,17,154,3,6
E01000137,227,12,140,284,6
E01000138,303,18,164,36,2
E01000139,348,18,167,26,1
E01000140,283,14,312,71,3
E01000141,247,15,445,152,5
E01000142,401,16,471,52,10
E01000143,160,5,124,241,8
E01000144,230,13,349,12,3
E01000145,276,8,154,3,3
E01000146,244,19,409,68,4
E01000147,399,8,125,10,2
E01000148,278,15,169,257,6
E01000150,450,7,175,103,9
E01000151,93,6,46,463,9
E01000152,91,7,61,392,13
E01000153,125,6,57,426,6
E01000154,125,14,90,271,1
E01000155,230,7,452,99,9
E01000176,209,9,72,388,20
E01000179,477,4,252,29,1
E01000183,379,9,146,48,2
E01000192,399,14,246,20,4
E01000193,397,9,163,25,0
E01000194,330,16,244,20,0
E01000196,355,24,494,19,4
E01000197,366,7,322,12,0
E01000198,525,8,147,3,2
E01000199,523,8,133,6,1
E01000200,553,30,240,39,1
E01000201,421,12,75,7,2
E01000202,428,15,187,18,0
E01000203,320,21,136,135,1
E01000204,426,11,179,70,1
E01000205,516,8,85,10,0
E01000206,365,27,105,16,1
E01000207,403,17,149,38,1
E01000209,535,8,105,95,4
E01000210,419,11,158,12,0
E01000211,354,17,438,49,3
E01000212,359,2,151,14,3
E01000213,347,8,51,59,0
E01000214,394,19,299,4,1
E01000215,357,15,249,59,0
E01000216,365,13,255,48,3
E01000217,333,7,173,6,2
E01000218,269,13,275,12,4
E01000219,250,12,299,15,5
E01000220,209,13,292,75,4
E01000221,104,9,73,287,12
E01000222,291,7,146,62,0
E01000223,207,5,95,162,9
E01000224,344,10,159,8,3
E01000225,314,7,121,86,1
E01000226,276,9,78,263,4
E01000227,484,4,100,15,0
E01000233,465,14,123,28,5
E01000234,440,6,182,20,2
E01000235,274,6,117,182,3
E01000236,328,18,272,55,1
E01000237,345,13,365,11,6
E01000238,348,12,214,40,1
E01000239,370,7,411,83,6
E01000240,381,9,163,23,6
E01000241,412,5,226,52,1
E01000242,358,18,119,102,0
E01000243,381,11,358,39,2
E01000244,284,11,199,81,7
E01000245,207,24,221,356,3
E01000255,317,10,71,126,3
E01000256,496,5,121,31,3
E01000257,242,34,140,300,8
E01000258,508,7,159,21,1
E01000259,644,13,249,71,3
E01000260,477,5,225,50,4
E01000262,464,23,107,155,3
E01000278,397,4,90,6,1
E01000295,399,11,253,22,1
E01000296,324,8,357,41,4
E01000297,341,5,158,45,5
E01000298,349,9,317,56,2
E01000299,346,11,378,44,3
E01000300,419,12,158,73,5
E01000301,374,10,139,4,1
E01000302,322,29,345,142,2
E01000303,383,5,131,18,3
E01000304,338,6,234,37,6
E01000305,266,9,202,158,2
E01000306,332,5,177,33,11
E01000307,297,6,116,109,2
E01000308,153,10,71,435,0
E01000309,335,6,227,31,20
E01000310,335,11,303,49,3
E01000311,340,10,113,5,2
E01000312,312,9,231,152,6
E01000313,300,15,295,61,1
E01000314,339,15,291,12,1
E01000317,393,18,194,50,2
E01000319,375,7,95,49,3
E01000471,308,5,103,49,4
E01000472,208,6,268,29,1
E01000473,248,13,172,64,23
E01000474,297,4,87,111,2
E01000475,305,10,170,95,16
E01000476,321,7,86,40,1
E01000477,334,8,242,71,1
