geocode,asian,black,mixed,other,white
E02002910,78,13,49,3,7732
E02002924,10,5,45,1,6012
E02003069,37,12,28,3,5329
E02003071,70,16,61,4,7750
E02003074,88,10,52,9,7812
E02003076,78,9,88,19,9079
E02003078,44,18,76,17,6722
E02003079,62,21,84,14,9418
E02003080,102,48,57,6,8376
E02003081,69,8,65,19,9005
E02003082,93,60,94,27,8309
E02003084,347,92,146,51,8870
E02003085,137,37,154,6,7200
E02003086,88,49,59,29,5828
E02003087,62,4,55,10,9038
E02003088,117,23,70,12,8139
E02003089,166,26,69,7,5509
E02003931,76,7,72,13,9766
E02003932,10,12,42,4,6877
E02004129,8,1,28,6,5449
E02004130,76,8,58,7,5770
E02004131,19,8,37,5,5495
E02004132,34,6,48,7,8136
E02004133,76,13,49,15,8027
E02004134,35,8,57,9,6774
E02004135,38,0,38,4,7964
E02004136,61,9,59,2,7828
E02004149,873,82,189,108,7767
E02004150,254,28,117,80,6346
E02004151,87,32,81,37,7720
E02004164,20,6,30,1,6529
E02004165,50,9,30,3,7955
E02004166,20,4,51,5,6407
E02004167,76,14,55,3,7052
E02004168,42,11,39,6,5990
E02004169,19,4,48,2,7030
E02004170,67,21,41,5,7509
E02004171,20,1,50,5,7486
E02004172,9,4,42,3,6097
E02004173,37,6,63,1,7172
E02004174,68,14,35,14,7469
E02004175,48,10,60,12,5387
E02004176,20,3,47,0,5518
E02004177,46,8,64,2,5872
E02004178,12,5,45,7,5402
E02004179,95,34,73,36,8840
E02004180,49,0,33,12,5806
E02004181,113,11,54,16,5655
E02004182,106,25,65,17,5987
E02004183,61,20,61,4,5636
E02004184,99,14,105,17,8379
E02004185,22,5,20,2,5762
E02004186,57,6,71,8,8082
E02004187,97,13,58,8,9160
E02004188,10,4,29,6,6256
E02004220,14,9,53,0,6108
E02004221,19,3,45,2,5809
E02004222,66,1,61,24,5565
E02004223,46,12,101,10,11179
E02004224,20,6,32,11,6185
E02004225,27,7,30,4,5646
E02004226,9,2,53,6,6846
E02004227,33,10,34,4,8848
E02004228,37,1,20,6,6835
E02004229,35,7,48,6,7867
E02004230,73,5,61,15,7346
E02006044,37,10,37,6,6152
E02006062,47,15,80,16,10486
E02006063,25,15,57,12,6891
E02006064,102,23,54,11,7617
E02006065,73,13,73,2,8302
E02006066,15,3,41,2,7620
E02006067,12,1,42,8,6928
E02006068,51,4,81,10,7433
E02006069,125,29,97,18,9476
E02006070,30,4,36,4,6698
E02006071,65,5,46,6,8351
E02006072,19,4,60,8,9056
E02006073,52,10,66,8,6893
E02006074,44,9,66,12,8227
E02006078,26,6,38,5,5627
E02006081,16,7,30,5,5241
E02006084,22,7,42,5,7001
E02006093,36,20,53,8,8328
E02006096,41,16,40,10,6597
E02006097,53,22,76,2,6217
E02006098,20,6,46,2,7213
E02006099,18,20,46,7,6738
E02006100,147,37,84,13,7187
E02006101,25,4,47,3,5523
E02006102,62,23,64,11,6981
E02006103,22,7,49,2,7154
E02006104,72,9,46,8,7409
E02006105,218,48,133,28,9878
E02006106,139,22,103,16,7424
E02006107,111,15,97,7,7934
E02006108,344,32,105,30,8050
E02006109,192,19,75,18,7551
E02006110,128,21,62,10,7671
E02006111,80,19,56,7,10289
E02006112,50,10,43,7,7327
E02006113,102,6,59,12,7148
E02006114,12,7,37,5,6667
E02006115,23,4,37,4,7150
E02006116,29,1,38,4,7784
E02006117,26,2,37,2,5479
E02006845,93,43,77,24,7733
E02006846,96,28,78,20,6882
W02000106,17,11,15,7,6578
W02000107,34,9,57,9,9836
W02000108,24,8,21,5,7004
W02000109,49,2,50,8,5200
W02000110,39,10,45,1,6940
W02000111,30,3,33,12,8352
W02000113,467,14,73,24,7672
W02000114,132,6,48,7,6749
W02000116,83,36,48,11,7482
W02000117,391,70,196,77,9264
W02000118,208,41,144,79,7289
W02000120,23,11,55,14,7241
W02000122,28,6,45,6,6637
W02000123,137,29,69,81,8029
W02000124,91,29,67,19,8660
W02000125,10,6,42,10,7436
W02000126,28,7,56,10,8089
W02000127,43,5,52,17,9634
W02000128,23,4,41,1,7465
W02000129,59,2,32,4,6644
W02000130,307,42,37,38,6528
W02000131,132,21,65,16,6724
W02000132,41,10,35,7,6345
W02000133,62,15,36,5,7905
W02000134,29,16,38,11,8437
W02000135,91,6,50,10,6766
W02000136,104,12,37,16,8371
W02000137,24,6,38,7,6909
W02000138,81,18,94,21,9539
W02000139,37,5,42,4,7606
W02000140,39,2,32,13,6935
W02000141,92,8,48,34,6224
W02000142,34,1,17,3,5603
W02000143,67,22,42,3,5686
W02000144,24,9,40,18,7622
W02000145,17,11,44,8,7068
W02000146,41,7,31,13,6514
W02000147,118,21,51,27,8044
W02000148,162,26,35,29,4890
W02000149,136,16,34,13,5982
W02000151,48,13,49,3,7294
W02000152,38,9,33,2,8023
W02000153,35,7,26,11,7660
W02000154,72,11,55,11,7437
W02000156,76,28,45,8,8002
W02000157,25,6,36,5,8917
W02000158,32,8,33,7,5584
W02000159,22,8,31,6,5997
W02000160,112,10,26,17,7335
W02000161,153,9,30,12,5447
W02000162,38,6,35,4,8464
W02000163,83,6,45,8,5315
W02000164,84,6,35,20,6803
W02000165,87,2,39,3,6630
W02000166,112,14,52,22,8513
W02000167,176,17,75,43,9436
W02000168,35,13,32,12,6189
W02000169,110,19,77,19,9128
W02000170,504,70,70,58,8409
W02000171,124,17,43,20,7703
W02000172,98,18,70,19,9619
W02000173,134,47,59,2,7150
W02000174,49,13,45,3,9024
W02000175,170,69,74,49,7455
W02000176,111,43,35,37,8646
W02000177,143,33,43,21,6801
W02000178,244,171,94,85,8272
W02000179,94,11,57,17,6599
W02000180,202,91,80,42,7671
W02000181,96,47,57,20,6637
W02000182,155,44,57,8,7708
