geocode,employee,inactive,self-employed,student,unemployed
E00092585,63,46,30,2,6
E00092586,120,55,24,6,9
E00092587,40,21,25,2,1
E00092588,60,45,24,1,2
E00092589,86,40,47,6,4
E00092590,185,65,44,11,8
E00092591,66,23,24,5,2
E00092592,42,25,27,0,1
E00092593,84,56,28,2,3
E00092594,47,31,12,0,5
E00092595,116,73,34,4,6
E00092596,81,63,14,1,6
E00092597,96,41,19,4,5
E00092598,105,55,39,3,4
E00092600,64,33,38,1,7
E00092601,63,33,40,3,7
E00092673,68,27,27,1,1
E00092682,106,44,29,4,2
E00092690,86,53,53,3,8
E00092691,56,69,25,8,2
E00092693,166,65,42,3,3
E00092694,88,84,41,4,5
E00092695,105,79,28,10,5
E00093063,148,77,50,10,6
E00093064,62,36,30,5,2
E00093065,65,42,31,5,2
E00093066,71,39,43,3,6
E00093067,100,69,39,9,6
E00093068,97,74,41,4,3
E00093069,83,69,24,4,4
E00093070,133,49,48,4,12
E00093090,77,96,30,3,4
E00093091,91,81,28,8,5
E00093092,141,101,51,5,2
E00093093,86,71,29,7,3
E00093094,124,64,49,8,0
E00093095,104,68,33,5,3
E00093096,61,39,16,5,7
E00093097,105,85,57,8,3
E00093098,158,92,57,9,13
E00093099,88,62,38,3,3
E00093100,128,92,49,10,3
E00093101,119,92,66,9,7
E00093102,117,71,22,10,15
E00093103,96,82,17,9,15
E00093104,145,58,13,10,15
E00093105,84,72,8,7,12
E00093106,86,69,15,1,7
E00093107,74,58,12,6,9
E00093108,136,44,22,8,6
E00093109,17,40,4,1,1
E00093110,82,39,15,5,3
E00093111,69,60,12,3,3
E00093113,71,58,20,7,7
E00093115,79,65,11,1,7
E00093116,104,71,20,7,2
E00093117,101,73,23,6,6
E00093118,97,72,9,2,8
E00093119,82,73,9,10,7
E00093120,100,90,17,6,10
E00093121,158,62,22,7,10
E00093122,125,42,18,8,0
E00093123,38,55,8,5,0
E00093124,119,66,16,10,10
E00093125,94,71,17,10,5
E00093126,94,52,13,4,3
E00093127,111,45,22,0,6
E00093128,86,74,12,4,7
E00093129,114,61,19,3,8
E00093130,83,65,18,5,4
E00093131,100,73,23,4,4
E00093132,211,71,33,13,4
E00093133,224,78,27,10,10
E00093134,112,51,25,6,6
E00093135,92,70,15,0,0
E00093137,108,78,21,4,2
E00093138,138,72,34,8,9
E00093140,107,54,34,7,2
E00093141,90,47,35,9,3
E00093218,270,45,42,18,4
E00093225,188,48,19,15,6
E00093231,143,52,15,10,4
E00093232,166,38,19,12,3
E00093234,200,35,23,16,5
E00093254,94,67,55,3,10
E00093261,111,159,30,96,3
E00093262,67,74,68,6,3
E00093263,53,28,19,3,4
E00093264,63,63,38,2,2
E00093265,53,31,28,0,3
E00093266,34,27,22,4,0
E00093267,66,29,32,4,1
E00093268,65,37,31,6,3
E00093269,83,55,57,5,3
E00093270,126,113,51,11,4
E00093271,129,50,16,3,8
E00093272,128,85,11,7,35
E00093274,123,60,9,9,13
E00093275,137,62,9,7,19
E00093276,76,85,3,2,29
E00093277,176,79,6,10,19
E00093278,157,68,12,9,9
E00093279,102,84,6,6,23
E00093280,110,70,6,7,10
E00093281,93,93,7,5,21
E00093282,95,73,6,6,11
E00093283,84,79,4,5,20
E00093284,92,69,8,2,14
E00093285,72,82,4,2,9
E00093286,94,69,7,2,4
E00093287,102,74,11,0,19
E00093288,76,81,5,6,13
E00093289,143,102,17,5,8
E00093290,151,83,27,4,10
E00093310,142,93,50,9,8
E00093311,189,77,26,12,11
E00093312,73,88,7,5,2
E00093313,88,79,18,4,2
E00093314,138,50,20,13,3
E00093315,117,66,14,5,5
E00093316,105,66,10,3,5
E00093317,83,94,12,1,5
E00093318,105,75,22,8,7
E00093319,121,52,16,5,5
E00093320,126,89,22,5,6
E00093321,88,85,20,5,8
E00093322,106,84,17,7,3
E00093338,139,46,7,4,6
E00093340,138,66,13,10,20
E00093343,113,119,12,10,17
E00093348,169,41,12,6,9
E00093349,92,59,6,6,7
E00093369,108,90,28,9,3
E00093370,125,93,28,5,4
E00093371,125,69,30,4,8
E00093372,112,56,27,2,4
E00093373,100,86,11,5,16
E00093374,118,56,25,7,7
E00093375,109,70,16,1,10
E00093376,82,84,11,2,3
E00093377,103,95,21,7,4
E00093378,93,86,18,3,0
E00093379,120,84,13,6,3
E00093380,106,84,26,6,2
E00093389,156,86,32,12,4
E00093390,166,89,33,7,8
E00093391,117,82,9,3,2
E00093392,120,81,34,7,9
E00093393,115,51,23,4,2
E00093394,108,59,19,3,2
E00093395,125,69,25,8,6
E00093396,138,32,16,3,6
E00093397,110,75,28,6,1
E00093398,99,55,19,7,0
E00093399,95,59,12,3,7
E00093400,79,63,6,1,8
E00093401,99,72,4,7,11
E00093402,123,65,8,4,5
E00093404,135,51,12,10,10
E00093405,149,37,10,16,6
E00093406,125,48,6,8,7
E00093407,111,60,11,10,13
E00093408,126,60,9,5,10
E00093409,108,81,11,11,10
E00093410,91,64,6,1,11
E00093411,186,49,16,7,9
E00093412,159,41,13,9,8
E00093413,97,46,27,9,5
E00093414,114,72,16,9,8
E00093415,135,69,20,3,6
E00093417,137,73,15,3,9
E00093418,184,47,19,15,7
E00093419,151,85,13,13,5
E00093420,80,48,49,6,4
E00093421,105,90,61,0,6
E00093422,72,41,33,1,1
E00093423,115,81,48,4,3
E00093424,133,61,19,11,8
E00093425,176,117,85,8,7
