geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E02003491,987,1062,731,936,1371,913,753,295,678
E02003492,716,3056,2582,740,793,609,480,167,348
E02003493,895,892,704,881,1245,976,901,392,938
E02003494,766,915,607,733,1091,885,737,242,538
E02003495,831,1017,798,984,1236,763,822,288,461
E02003496,921,993,786,852,1053,894,795,375,761
E02003497,863,1040,633,691,1235,1054,818,284,673
E02003498,1013,1204,1934,1011,1043,769,622,277,509
E02003499,925,1519,1719,836,1052,742,583,215,431
E02003500,1172,1310,1236,1090,1642,963,527,128,292
E02003501,994,915,1020,1361,1426,1009,756,231,610
E02003502,977,998,831,1101,1278,888,706,267,528
E02003503,1135,1377,906,1023,1393,1168,885,349,738
E02003504,888,776,1675,1714,1359,857,543,161,417
E02003505,701,767,3556,1458,1145,631,393,113,220
E02003506,1110,687,765,1407,1244,662,432,125,328
E02003507,1201,1290,971,1059,1543,1206,1199,424,900
E02003508,879,1077,2518,1371,1276,697,460,171,292
E02003509,790,472,1729,2164,1403,751,626,205,564
E02003510,927,664,1402,1810,1357,826,624,179,720
E02003511,1158,905,871,1226,1547,888,629,245,517
E02003512,846,870,2981,1572,1290,731,400,130,259
E02003513,784,659,715,915,1138,808,586,243,771
E02003514,558,381,2342,2314,1309,655,456,120,302
E02003515,1305,1541,1281,1123,1402,918,762,285,469
E02003516,545,313,2079,2293,1384,655,519,146,432
E02003517,663,1060,3913,2049,1337,726,563,167,340
E02003518,604,368,1183,1658,1199,728,668,264,900
E02003519,473,372,2679,2250,1342,688,466,141,258
E02003520,592,594,2418,1572,1277,862,664,222,444
E02003521,557,674,1480,1491,1284,810,741,304,742
E02003522,592,680,1275,1085,1086,834,719,241,535
E02003523,938,1003,807,978,1568,1417,1414,529,1317
E02004380,820,1219,636,710,1361,1285,1232,443,1080
E02004383,1020,987,678,826,1312,1007,883,336,653
E02004384,823,815,748,806,1199,1016,884,355,831
E02004385,761,786,817,806,1072,1044,1042,413,849
E02006374,711,768,570,715,1184,1027,1019,349,556
E02006391,767,682,712,858,935,894,607,163,307
E02006392,923,753,1201,1277,1254,984,803,315,787
E02006437,927,923,828,907,1295,1166,1080,363,778
E02006438,763,933,641,803,1243,1183,1171,379,681
E02006448,1055,847,610,1118,1165,928,777,272,528
