geocode,female,male
E06000001,47277,44751
E06000002,70680,67732
E06000003,69522,65655
E06000004,97528,94082
E06000005,54081,51483
E06000006,64378,61368
E06000007,101928,100300
E06000008,73942,73547
E06000009,72290,69775
E06000010,127986,128420
E06000011,170791,163388
E06000012,81369,78247
E06000013,84823,82623
E06000014,101797,96254
E06000015,125706,123046
E06000016,166955,162884
E06000017,18454,18915
E06000018,151903,153777
E06000019,93175,90302
E06000020,84092,82549
E06000021,125013,123995
E06000022,89944,86072
E06000023,215163,213071
E06000024,104103,98463
E06000025,132343,130424
E06000026,129700,126684
E06000027,67849,63110
E06000030,104538,104618
E06000031,92772,90859
E06000032,101247,101954
E06000033,88621,85037
E06000034,79882,77823
E06000035,133100,130825
E06000036,57098,56107
E06000037,77501,76321
E06000038,77731,77967
E06000039,70085,70120
E06000040,73232,71328
E06000041,77916,76464
E06000042,125705,123116
E06000043,137261,136108
E06000044,101855,103201
E06000045,117429,119453
E06000046,70841,67424
E06000047,261962,251280
E06000049,188718,181409
E06000050,169022,160586
E06000051,154523,151606
E06000052,274468,257805
E06000053,1101,1102
E06000054,239227,231754
E06000055,80167,77312
E06000056,128337,126044
E06000057,161904,154124
E06000058,192507,186381
E06000059,186756,178397
E06000060,256937,248346
E06000061,160674,156177
E06000062,189936,185165
E07000008,60883,62984
E07000009,42375,41443
E07000010,48451,46811
E07000011,84976,84532
E07000012,74965,73790
E07000026,49051,47371
E07000027,34902,34185
E07000028,55046,52478
E07000029,35127,35476
E07000030,26531,26033
E07000031,53136,50522
E07000032,62117,60192
E07000033,38478,37388
E07000034,52888,50900
E07000035,36045,35071
E07000036,57147,54934
E07000037,46118,44774
E07000038,50459,48564
E07000039,47648,46963
E07000040,69136,63321
E07000041,60562,57211
E07000042,39680,38070
E07000043,48109,45558
E07000044,43024,40116
E07000045,64041,60179
E07000046,32672,31167
E07000047,27430,26123
E07000061,51853,47559
E07000062,46240,44014
E07000063,50139,47363
E07000064,47567,43021
E07000065,77108,71807
E07000066,89852,84645
E07000067,74947,72137
E07000068,38019,35582
E07000069,45104,42907
E07000070,85396,82914
E07000071,87731,85343
E07000072,64219,60440
E07000073,42270,39674
E07000074,31171,30458
E07000075,42500,40787
E07000076,71977,66071
E07000077,40240,39203
E07000078,59220,56512
E07000079,42777,40104
E07000080,41689,40272
E07000081,61584,60104
E07000082,57265,55514
E07000083,41863,40080
E07000084,84683,83116
E07000085,59371,56237
E07000086,63815,61384
E07000087,56947,54634
E07000088,41886,40736
E07000089,45859,45174
E07000090,62077,58607
E07000091,91678,84784
E07000092,47050,46757
E07000093,59518,56880
E07000094,59966,56629
E07000095,48252,45357
E07000096,73540,71307
E07000098,51741,48290
E07000099,64734,62380
E07000102,44946,42371
E07000103,45473,44828
E07000105,60724,57232
E07000106,78507,72638
E07000107,49304,48061
E07000108,56909,54765
E07000109,51581,50139
E07000110,78651,76492
E07000111,59150,55743
E07000112,54834,53135
E07000113,68683,67152
E07000114,69631,64555
E07000115,61598,59207
E07000116,58555,56494
E07000117,44265,42794
E07000118,53447,53708
E07000119,38976,36781
E07000120,40757,39977
E07000121,71534,66841
E07000122,45440,44012
E07000123,69918,70284
E07000124,29159,27973
E07000125,34615,33367
E07000126,55713,53344
E07000127,56845,53840
E07000128,55524,52225
E07000129,47687,46228
E07000130,83187,82913
E07000131,43029,42353
E07000132,53378,51700
E07000133,25658,24718
E07000134,47133,46335
E07000135,29001,27169
E07000136,33101,31536
