geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E00068616,30,37,31,41,53,49,41,9,13
E00068617,18,21,20,24,31,40,66,26,38
E00068618,17,20,24,19,32,27,43,23,52
E00068619,26,40,36,39,43,35,28,11,27
E00068621,25,30,18,33,36,37,51,27,33
E00068622,10,30,17,25,37,36,46,20,47
E00068623,26,25,23,25,35,45,60,22,30
E00068624,18,29,30,19,38,30,52,30,26
E00068626,19,37,23,21,45,45,54,15,29
E00068627,25,18,13,19,25,30,52,29,38
E00068628,17,29,22,23,34,32,45,15,21
E00068629,34,28,32,27,46,46,45,10,32
E00068630,36,36,26,53,53,40,32,16,15
E00068631,31,36,22,41,48,55,58,10,15
E00068632,19,16,30,32,36,22,29,14,27
E00068633,26,15,26,30,42,37,53,20,35
E00068635,26,25,30,26,38,55,50,21,15
E00068637,23,25,29,34,32,30,51,12,17
E00068638,30,29,31,34,36,45,34,23,26
E00068640,26,32,13,33,48,36,39,13,27
E00068641,25,28,16,25,47,25,54,15,27
E00068642,47,43,44,29,50,35,31,17,28
E00068644,23,25,18,31,41,25,66,26,23
E00068645,34,24,37,49,35,18,23,8,16
E00068647,9,7,17,14,22,19,35,19,42
E00068649,33,55,38,41,52,29,33,12,11
E00068651,13,28,25,12,38,21,11,5,6
E00068652,31,61,28,35,56,43,33,8,22
E00068653,24,57,37,28,60,41,43,23,30
E00068654,9,6,11,17,12,21,38,20,43
E00068655,39,41,33,39,62,37,36,6,25
E00068656,43,42,38,45,45,29,30,16,32
E00069909,30,35,35,39,47,33,16,11,33
E00069911,41,48,42,38,34,27,26,10,24
E00069913,31,49,24,37,39,42,47,19,41
E00069915,29,47,37,34,44,34,28,9,30
E00069916,50,62,30,32,44,32,28,7,14
E00069918,50,48,52,43,57,32,26,4,13
E00069919,31,44,29,28,45,32,26,11,22
E00069921,45,44,23,38,48,35,27,10,33
E00069922,23,40,32,23,34,39,16,6,17
