geocode,employee,inactive,self-employed,student,unemployed
W00002524,71,56,54,3,1
W00002525,102,52,32,5,5
W00002526,62,47,67,4,5
W00002527,121,50,34,6,2
W00002528,113,71,74,3,4
W00002529,91,39,34,1,3
W00002530,29,16,40,0,0
W00003477,56,69,70,3,4
W00003647,68,88,28,6,3
W00003648,72,56,25,3,7
W00003649,81,61,12,0,7
W00003650,120,88,29,6,5
W00003651,76,39,28,8,10
W00003652,72,61,21,5,4
W00003653,87,57,24,1,6
W00003654,66,69,23,0,1
W00003655,78,78,50,8,1
W00003694,58,51,65,0,2
W00003698,85,66,84,6,2
W00003699,105,105,94,5,7
