geocode,bad,fair,good
E02001882,614,1319,6219
E02001883,748,1406,5975
E02001884,556,1111,7572
E02001886,507,1137,7164
E02001888,524,994,4729
E02001889,601,1144,6601
E02001890,456,1103,8247
E02001892,775,1543,7875
E02001893,551,1226,6320
E02001895,789,1343,5658
E02001896,728,1333,7226
E02001897,744,1295,5557
E02001898,332,977,5179
E02001899,357,947,6562
E02001900,433,866,5502
E02001901,340,740,6822
E02001902,342,909,4850
E02001903,668,1073,5859
E02001904,438,989,5512
E02001905,229,728,8759
E02001906,537,1314,7464
E02001907,623,1422,7577
E02001908,757,1223,6928
E02001909,671,1197,6118
E02001910,615,987,5515
E02001911,594,1133,6208
E02001913,472,930,5784
E02001914,404,833,5553
E02001915,754,1662,9091
E02001916,553,1241,6818
E02001918,680,1210,7066
E02001919,436,958,5295
E02001920,617,1185,5785
E02001921,536,1140,6157
E02001922,259,655,11736
E02001923,703,1517,8237
E02001924,468,922,5066
E02001925,318,837,5529
E02001926,380,917,5917
E02001927,564,1281,5857
E02001928,536,1051,5271
E02001929,774,1536,7339
E02001930,439,906,6513
E02001931,480,1166,6240
E02001932,517,1066,5212
E02001933,556,1116,5953
E02001934,361,881,5569
E02001935,526,1153,6160
E02001936,337,854,5282
E02001937,648,1369,5906
E02001938,443,895,6388
E02001939,470,984,4358
E02001941,571,1000,4631
E02001942,395,918,5454
E02001943,407,854,5133
E02001944,470,1042,6614
E02001945,626,1115,6043
E02001946,354,951,6383
E02001947,648,1136,4381
E02001948,463,1109,5861
E02001949,412,831,4576
E02001950,448,1180,6778
E02001951,836,1383,5998
E02001952,778,1478,6639
E02001953,455,1086,5590
E02001954,720,1314,5778
E02001955,435,904,5042
E02001956,355,859,5192
E02001957,431,1096,6385
E02001958,510,1097,5845
E02001959,409,890,4902
E02001961,674,1162,5662
E02001962,451,850,4733
E02001963,355,835,4736
E02001964,763,1246,6083
E02001965,466,1065,6488
E02001966,496,986,5440
E02001967,316,851,5114
E02001968,426,969,5752
E02001969,522,988,4867
E02001970,389,891,4202
E02001971,295,766,4773
E02001972,807,1386,7861
E02001973,634,1143,6355
E02001974,462,1132,7878
E02001975,351,936,6573
E02001976,454,974,5704
E02001977,590,1221,7203
E02001978,394,732,5377
E02001979,273,818,4635
E02001980,254,817,4925
E02001981,712,1377,9664
E02001982,336,876,5850
E02001983,406,970,6170
E02001984,506,1131,7330
E02001985,346,818,7289
E02001986,584,1184,5829
E02001987,235,561,4989
E02001988,419,945,7422
E02001989,261,710,4682
E02001990,448,1189,7619
E02001991,342,993,7180
E02001992,753,1342,7478
E02001993,494,954,5792
E02001994,468,1120,6571
E02001995,424,994,5097
E02001996,654,1104,5061
E02001997,405,1178,6943
E02001998,243,777,4953
E02001999,304,848,8246
E02002021,603,1170,5542
E02002022,551,1307,6466
E02002023,318,796,4225
E02002024,597,1309,6630
E02002025,522,1151,6288
E02002026,336,946,5805
E02002027,176,575,4908
E02002028,349,953,4544
E02002029,321,899,4656
E02002030,436,1009,4829
E02002031,316,810,4879
E02002032,702,1499,7739
E02002033,407,1085,5963
E02002034,426,1167,6520
E02002035,285,822,5038
E02002036,542,1119,4914
E02002037,347,897,4630
E02002038,612,1440,7358
E02002039,285,831,5211
E02002040,247,795,4925
E02002041,323,947,4932
E02002042,361,1099,6600
E02002074,656,1354,6016
E02002075,638,1462,6439
E02002076,466,1288,8552
E02002077,803,1575,7804
E02002078,343,900,4962
E02002079,637,1366,5982
E02002080,570,1139,4955
E02002086,534,917,3992
E02002087,518,1012,4504
E02002088,771,1462,7094
E02002089,428,1091,6214
E02002090,262,762,4783
E02002091,429,1162,5686
E02002092,472,1147,5522
E02002093,394,965,5198
E02002094,220,689,5053
E02002095,372,1016,7149
E02002096,485,1277,8246
E02002097,327,839,5389
E02002098,468,1232,7718
E02002099,249,695,5617
E02002101,344,934,4565
E02002102,414,1140,7038
E02002103,316,896,4813
E02002104,151,508,5507
E02002105,271,788,6756
E02002106,343,1072,7860
E02002107,190,555,5038
E02002108,278,905,8614
E02002109,219,764,8374
E02002905,246,808,4989
E02002906,338,945,4492
E02002907,424,953,4539
E02002908,381,1232,6944
E02002909,597,1564,8188
E02002911,467,1179,7677
E02002912,311,813,6020
E02002913,261,742,4597
E02002914,472,1218,7239
E02002915,337,999,5379
E02002916,574,1326,7763
E02002917,322,923,5655
E02002918,314,756,4893
E02002919,590,1249,7473
E02002920,285,842,5397
E02002921,559,1231,5967
E02002922,274,775,5198
E02002923,523,1329,7784
E02002925,492,1363,9097
E02002926,580,1689,8313
E02002927,544,1514,9584
E02003212,378,1078,6803
E02004600,205,738,4757
E02004601,223,693,4249
E02004602,368,908,5156
E02004603,325,844,6506
E02004604,473,1182,6300
E02004605,383,899,4449
E02004606,406,1188,8194
E02004607,321,948,8180
E02004608,345,1086,9030
E02004609,236,811,6229
E02004610,260,865,6911
E02004611,368,1190,9530
E02004612,363,1076,7998
E02004613,194,652,5418
E02004614,151,551,4573
E02004615,337,1025,6567
