geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E00015203,23,1,30,89,1
E00015207,28,1,32,77,1
E00015208,84,3,59,28,4
E00015209,61,2,55,53,1
E00015210,50,0,30,47,0
E00015211,71,0,65,15,0
E00015212,40,2,44,31,2
E00015213,52,2,50,48,3
E00015214,46,0,24,78,0
E00015215,56,0,46,33,1
E00015216,46,0,69,12,1
E00015217,61,6,60,24,0
E00015218,64,2,33,16,0
E00015219,98,2,90,9,10
E00015220,48,1,68,25,1
E00015221,49,0,44,43,0
E00015222,49,1,71,24,5
E00015223,26,0,90,18,2
E00015224,34,0,21,86,0
E00015225,20,0,17,55,0
E00015227,32,3,30,93,5
E00015228,51,1,121,17,1
E00015283,77,2,74,22,0
E00015285,47,3,53,36,1
E00015288,48,2,54,41,1
E00015291,57,0,66,11,0
E00015341,29,1,63,24,9
E00015342,26,2,16,147,5
E00015343,18,2,31,74,11
E00015344,0,1,11,114,0
E00015345,63,0,47,33,3
E00015346,47,1,32,60,0
E00015347,38,5,51,55,2
E00015348,56,3,35,27,6
E00015349,57,2,34,26,3
E00015350,21,3,17,87,0
E00015351,43,0,41,56,5
E00015352,1,4,14,95,1
E00015353,16,0,17,202,3
E00015354,43,0,26,76,0
E00015355,15,1,20,92,0
E00015356,4,0,16,148,0
E00015357,15,0,8,100,1
E00015358,11,3,17,112,2
E00015359,21,0,28,147,15
E00015360,17,1,17,94,0
E00015361,4,3,10,117,6
E00015362,23,1,14,133,2
E00015363,19,2,44,96,0
E00015364,23,3,41,78,8
E00015366,7,0,14,100,1
E00015367,35,2,20,70,0
E00015368,16,4,23,85,10
E00015369,13,5,13,123,0
E00015370,11,1,117,9,2
E00015371,12,1,7,110,0
E00015372,19,1,15,102,0
E00015373,24,0,25,58,1
E00015374,18,4,33,72,0
E00015375,18,3,12,90,0
E00015376,21,0,15,80,2
E00015377,20,2,97,71,5
E00015378,23,0,7,110,1
E00015379,18,0,26,62,5
E00015380,17,1,18,74,1
E00015381,15,2,22,110,0
E00015382,48,2,126,27,0
E00015383,19,5,52,83,0
E00015384,36,16,76,51,1
E00015385,13,1,9,92,1
E00015386,49,2,52,45,1
E00015387,43,3,59,56,1
E00015388,15,0,10,85,3
E00015389,1,6,7,104,3
E00015390,46,0,57,43,0
E00015391,56,0,66,42,9
E00015392,25,0,39,72,1
E00015393,36,0,24,122,0
E00015394,51,4,58,14,0
E00015395,17,0,12,85,1
E00015397,69,0,127,45,0
E00015398,68,1,45,62,0
E00015399,3,2,6,70,0
E00015400,20,2,14,88,0
E00015401,20,4,32,81,0
E00015402,18,1,20,97,2
E00015403,16,0,15,80,1
E00015404,13,1,17,87,1
E00015405,24,1,22,89,0
E00015406,12,2,23,80,2
E00015407,23,0,15,77,0
E00015408,26,1,25,63,0
E00015409,10,1,12,105,1
E00015410,56,1,73,19,3
E00015411,52,2,72,17,0
E00015412,91,0,48,33,3
E00015413,32,0,76,37,1
E00015414,50,3,94,31,0
E00015415,40,0,78,36,12
E00015416,43,0,82,41,0
E00015417,22,0,46,59,7
E00015419,60,0,64,15,2
E00015421,30,2,33,52,2
E00015422,35,9,22,50,0
E00015423,50,1,86,55,0
E00015424,60,1,25,34,0
E00015425,53,0,87,54,2
E00015426,46,1,55,47,0
E00015427,22,0,50,71,2
E00015428,64,1,86,18,0
E00015429,45,0,73,38,0
E00015430,49,2,50,46,0
E00015431,39,2,46,37,6
E00015432,21,3,36,68,0
E00015433,49,2,72,58,2
E00015434,59,0,66,49,1
E00015484,39,0,68,51,1
E00015485,48,1,54,55,0
E00015486,17,0,4,85,0
E00015487,31,5,103,14,0
E00015488,123,1,42,35,3
E00015489,97,0,41,22,2
E00015491,87,2,71,40,0
E00015493,95,1,24,65,3
E00015494,12,2,22,94,0
E00015495,24,8,78,37,0
E00015496,29,0,25,71,0
E00015497,28,4,14,95,0
E00015498,6,1,18,98,2
E00015499,21,0,17,106,0
E00015500,33,1,83,32,2
E00015501,28,0,83,5,0
E00015502,12,2,22,108,1
E00015503,44,2,63,30,2
E00015504,41,2,45,51,0
E00015505,65,1,65,26,1
E00015506,43,0,59,37,0
E00015507,97,1,14,1,1
E00015508,60,2,86,45,1
E00015509,97,5,31,10,0
E00015510,90,1,46,14,2
E00015511,85,3,25,2,0
E00015512,54,3,13,46,0
E00015513,86,0,27,33,0
E00015514,62,1,19,41,0
E00015515,47,2,19,61,0
E00015516,32,1,16,88,0
E00015517,102,1,18,35,0
E00015518,62,0,28,76,2
E00015519,92,2,10,39,0
E00015520,46,2,80,35,0
E00015522,95,1,73,25,0
E00015523,94,1,57,42,1
E00015524,69,2,47,57,0
E00015525,55,3,36,55,0
E00015574,49,0,61,47,0
E00015575,53,0,89,31,0
E00015576,49,3,62,87,0
E00015577,51,6,53,41,0
E00015578,34,0,23,93,6
E00015579,61,1,59,29,2
E00015580,48,5,47,26,1
E00015581,23,1,43,60,2
E00015582,22,2,87,43,0
E00015583,23,2,29,89,0
E00015590,33,2,72,47,6
E00015592,44,2,30,70,6
E00015593,22,3,29,88,2
E00015596,14,2,4,89,0
E00015597,14,3,19,114,0
E00015598,28,1,58,125,0
E00015602,60,0,63,25,0
E00015605,16,2,15,91,0
E00015606,33,2,27,89,3
E00015607,48,0,33,37,0
E00015609,43,2,39,31,1
E00015611,60,1,131,12,12
E00015612,44,2,48,41,1
E00015613,44,0,86,12,1
E00015614,59,0,58,28,0
E00015615,44,1,59,56,0
E00015616,39,1,66,50,17
E00015617,27,0,42,46,1
E00015618,51,1,37,57,0
E00015619,36,1,59,45,3
E00015621,45,1,66,6,1
E00015633,49,0,76,8,3
E00015639,7,0,16,104,0
E00015640,45,2,39,9,0
E00015641,81,1,45,15,3
E00015642,41,1,53,68,1
E00015643,28,0,24,72,0
E00015644,59,2,67,8,0
E00015645,50,0,85,6,1
E00015646,29,1,10,79,3
E00015647,32,1,71,6,1
E00015648,44,1,44,48,0
E00015649,24,3,22,76,1
E00015650,70,4,37,32,0
E00015651,26,2,26,75,0
E00015652,41,2,108,30,0
E00015653,40,0,90,2,0
E00015654,17,0,13,66,0
E00015655,39,2,55,57,3
E00015656,12,1,35,72,1
E00015657,37,1,63,48,2
E00015658,15,2,31,67,1
E00015659,24,1,17,68,0
E00015754,19,2,39,97,0
E00015755,37,1,24,59,2
E00015756,48,1,57,29,0
E00015757,15,1,12,91,0
E00015758,14,1,22,109,0
E00015759,19,0,17,89,0
E00015760,17,0,18,95,14
E00015761,16,0,9,99,0
E00015763,27,1,21,90,0
E00015764,31,5,24,54,0
E00015765,22,3,90,3,0
E00015766,65,2,30,27,1
E00015767,10,3,19,82,0
E00015768,31,1,57,40,0
E00015769,55,1,47,15,0
E00015770,20,0,8,105,0
E00015771,21,0,18,80,0
E00015772,57,5,48,6,0
E00015773,23,0,61,38,0
E00015774,33,0,37,78,0
E00015775,85,6,40,20,0
E00015776,70,3,33,25,0
E00015777,19,4,13,68,0
E00015778,15,2,19,77,1
E00015779,16,1,24,95,0
E00015780,19,5,35,92,16
E00015781,19,0,26,95,26
E00015782,33,1,41,51,1
E00015783,18,2,24,71,0
E00015784,33,4,50,51,0
E00015785,20,0,19,91,1
E00015786,80,2,43,15,0
