geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01015023,13,97,448,78,12,11,10,6,1
E01015024,14,90,613,24,26,21,4,2,2
E01015025,18,30,479,70,39,11,10,1,1
E01015026,13,97,488,35,13,19,1,10,3
E01015027,14,88,595,67,21,17,13,2,3
E01015028,10,103,362,39,12,15,7,8,1
E01015029,30,100,571,102,20,11,7,11,7
E01015030,10,92,375,49,10,16,2,13,0
E01015031,25,90,435,207,34,7,7,5,12
E01015032,27,126,367,284,27,11,6,6,12
E01015033,24,59,581,77,24,13,7,4,4
E01015034,27,60,393,83,68,12,5,5,6
E01015035,17,73,591,52,30,18,6,9,8
E01015036,23,46,465,89,45,8,13,2,3
E01015037,14,64,431,48,23,11,6,0,4
E01015038,31,70,621,87,35,20,12,5,8
E01015039,15,90,328,228,26,10,16,8,12
E01015040,17,114,351,88,9,16,7,9,9
E01015041,20,127,430,134,15,13,4,3,6
E01015042,24,82,453,135,18,19,12,9,6
E01015043,15,123,295,146,26,7,7,6,5
E01015044,23,84,426,144,29,17,8,7,8
E01015045,15,136,332,153,12,10,5,5,4
E01015046,17,117,310,165,12,20,4,5,1
E01015047,20,98,327,126,9,12,6,6,5
E01015048,15,113,218,103,5,7,5,0,1
E01015049,24,75,318,238,31,7,6,1,13
E01015050,17,93,273,289,35,7,6,8,14
E01015051,16,65,277,248,26,5,6,2,9
E01015052,25,97,328,322,17,6,7,6,9
E01015053,19,71,195,207,20,3,5,4,6
E01015054,19,60,190,288,11,6,11,3,8
E01015055,4,97,404,56,8,17,1,1,0
E01015056,11,109,530,51,25,27,5,8,1
E01015057,17,110,398,66,6,14,5,7,4
E01015058,9,82,386,52,7,17,3,9,4
E01015059,21,116,521,88,12,16,8,3,6
E01015060,20,101,441,107,15,11,2,4,7
E01015061,24,88,385,169,19,12,4,2,7
E01015062,37,92,396,281,26,10,4,6,16
E01015063,11,113,501,38,10,9,1,7,1
E01015064,15,53,529,59,17,15,8,2,2
E01015065,19,48,447,58,9,21,4,7,2
E01015066,23,69,592,53,20,11,4,3,4
E01015067,17,38,556,38,27,15,4,0,6
E01015068,19,66,601,45,22,19,8,3,4
E01015069,21,93,523,35,14,18,4,5,1
E01015070,38,144,913,101,32,18,23,7,9
E01015071,21,78,453,95,21,8,7,7,3
E01015072,17,98,402,104,9,10,4,9,5
E01015073,5,98,410,65,7,20,7,7,3
E01015074,10,67,402,84,9,8,8,8,1
E01015075,10,107,372,79,12,7,4,3,3
E01015076,15,95,495,85,15,23,7,3,2
E01015077,23,90,525,92,10,12,7,4,1
E01015078,12,59,242,69,3,15,2,8,0
E01015079,21,68,492,72,20,19,5,4,1
E01015080,6,86,227,57,6,9,6,8,1
E01015081,8,84,425,67,10,11,7,8,2
E01015082,8,111,421,60,10,16,4,11,0
E01015083,6,91,416,43,8,17,3,4,6
E01015084,12,87,437,46,13,19,7,3,1
E01015085,15,71,501,44,7,28,4,7,2
E01015086,9,71,379,47,5,10,2,3,1
E01015087,14,76,407,63,17,15,4,11,3
E01015088,7,107,331,47,7,13,1,8,0
E01015089,16,96,514,62,8,17,4,8,1
E01015090,18,63,520,104,19,15,4,8,2
E01015091,11,65,587,67,36,16,7,4,4
E01015092,19,73,362,173,13,6,5,3,3
E01015093,9,84,457,83,12,17,10,8,2
E01015094,11,93,445,72,10,11,10,5,2
E01015095,8,83,465,53,11,6,4,3,0
E01015096,9,99,440,52,14,11,3,3,0
E01015097,15,53,483,48,29,14,11,1,3
E01015098,30,66,458,136,38,13,3,4,7
E01015099,32,59,483,171,42,7,7,3,6
E01015100,37,76,415,175,36,6,9,3,12
E01015101,28,49,461,81,50,10,6,2,7
E01015102,31,114,642,97,28,17,4,7,5
E01015103,42,78,529,114,32,13,7,4,4
E01015104,45,80,542,82,27,11,7,5,5
E01015105,31,63,520,130,39,14,9,0,9
E01015106,25,60,409,72,10,15,7,5,2
E01015107,12,81,640,72,20,25,10,0,3
E01015108,27,91,715,74,23,21,2,5,3
E01015109,16,79,655,68,25,16,2,4,2
E01015110,22,74,722,49,22,16,9,1,4
E01015111,21,95,766,75,20,15,8,3,6
E01015112,34,61,534,59,22,12,11,2,5
E01015113,26,54,556,40,30,21,3,2,3
E01015114,20,71,520,74,27,17,10,5,1
E01015115,5,49,358,67,25,10,7,2,3
E01015116,13,68,579,48,19,22,7,5,4
E01015117,13,62,604,56,16,22,6,1,1
E01015118,25,69,648,47,23,13,10,3,2
E01015119,17,67,795,56,23,20,6,0,1
E01015120,20,60,567,58,27,8,7,4,3
E01015121,11,47,505,41,23,13,3,1,1
E01015122,23,59,550,53,15,27,3,3,3
E01015123,19,48,490,81,35,6,9,1,5
E01015124,16,46,535,66,31,14,4,3,1
E01015125,14,58,585,48,26,11,6,4,2
E01015126,9,34,384,49,28,15,8,0,3
E01015127,27,49,528,57,33,21,7,2,3
E01015128,11,53,601,46,25,17,8,0,3
E01015129,8,64,637,47,14,19,7,2,2
E01015130,25,79,669,48,28,26,7,3,1
E01015131,11,27,505,23,47,10,9,0,2
E01015132,22,43,470,64,26,18,8,0,2
E01015133,17,53,535,41,27,15,7,1,2
E01015134,34,57,466,76,16,16,9,1,4
E01015135,28,47,493,93,36,24,7,5,4
E01015136,19,70,499,76,24,16,8,3,2
E01015137,27,71,561,61,49,23,14,2,7
E01015138,15,48,526,52,37,19,15,0,1
E01015139,22,61,449,45,30,21,3,3,2
E01015140,25,48,424,43,18,14,4,2,1
E01015141,28,54,612,55,31,28,10,2,5
E01015142,14,99,463,49,27,19,10,11,5
E01015143,11,98,448,32,7,16,10,7,6
E01015144,17,118,385,50,18,19,2,1,1
E01015145,13,134,323,65,13,15,4,12,3
E01015146,13,145,440,52,12,16,5,15,2
E01015147,10,62,418,50,28,21,4,1,2
E01015148,12,91,509,45,17,20,2,10,2
E01015149,5,93,326,49,11,11,2,9,5
E01015150,16,86,413,50,11,17,13,5,4
E01015151,21,120,295,269,34,7,9,6,8
E01015152,11,89,242,229,11,7,6,5,3
E01015153,22,80,290,205,26,13,8,7,7
E01015155,6,86,232,216,19,6,5,5,2
E01015156,12,66,230,335,60,5,17,2,7
E01015157,44,103,603,240,54,17,25,11,20
E01015158,21,116,484,375,88,21,17,8,17
E01015159,15,79,425,63,5,14,6,9,1
E01015160,17,67,523,61,27,6,7,5,1
E01015161,9,86,448,50,11,19,2,5,2
E01015162,4,93,442,56,14,9,3,5,4
E01015163,12,74,451,38,16,9,6,9,4
E01015164,44,96,665,108,13,28,15,6,5
E01015165,15,83,664,41,19,25,8,5,2
E01015166,21,112,554,73,11,10,9,3,5
E01015167,14,103,536,146,14,20,4,6,5
E01015168,32,142,530,166,35,19,10,14,11
E01015169,25,75,508,246,33,6,7,4,17
E01015170,22,94,406,150,29,11,11,4,9
E01015171,35,92,507,178,28,14,10,10,17
E01015172,42,78,540,250,30,7,7,10,9
E01015173,29,64,530,170,49,13,13,12,13
E01015174,27,86,542,144,30,8,7,2,4
E01015175,35,82,474,198,36,15,10,3,9
E01015176,19,77,402,134,13,12,8,8,3
E01015177,35,74,513,244,32,9,9,13,7
E01015178,30,93,539,313,19,10,10,9,14
E01015179,22,92,351,292,33,17,5,1,16
E01015180,30,118,431,179,19,12,8,5,2
E01015181,26,137,533,288,19,15,8,21,7
E01015182,24,109,474,224,27,13,10,5,1
E01015183,5,19,356,107,38,21,4,6,1
E01015184,5,21,308,66,19,3,4,2,6
E01015185,4,20,344,102,27,9,4,2,5
E01015186,10,49,322,148,52,3,8,1,8
E01015187,3,29,319,100,63,3,4,1,4
E01015188,5,26,364,130,29,7,9,5,3
E01015189,9,25,283,107,41,10,6,6,7
E01015190,4,33,515,60,38,13,3,3,4
E01015191,14,20,664,40,33,18,4,4,6
E01015192,13,30,485,48,23,15,6,2,8
E01015193,9,22,421,57,19,10,3,3,3
E01015194,6,16,433,78,11,20,2,6,9
E01015195,5,21,489,84,21,17,5,4,4
E01015196,5,50,356,64,21,10,7,3,3
E01015197,10,14,427,41,43,9,2,3,5
E01015198,12,36,426,45,34,7,4,5,4
E01015199,8,12,339,34,54,5,2,2,3
E01015200,11,16,325,33,14,8,5,0,2
E01015201,13,14,434,50,48,5,6,1,6
E01015202,5,22,545,97,24,16,5,3,7
E01015203,13,16,424,38,35,12,1,0,5
E01015204,15,32,438,109,21,10,5,2,14
E01015205,4,25,526,95,18,13,3,3,11
E01015206,16,33,443,120,19,14,2,6,8
E01015207,16,23,604,78,47,8,2,6,9
E01015208,8,10,552,55,88,7,8,5,12
E01015209,3,22,386,102,67,5,5,0,13
E01015210,5,34,480,92,16,7,3,8,10
E01015211,2,15,543,70,36,9,3,3,3
E01015212,15,25,431,124,58,11,10,8,9
E01015213,6,26,511,82,26,11,4,10,4
E01015214,9,40,419,173,21,17,7,2,9
E01015215,8,16,548,118,26,11,3,5,3
E01015216,6,22,437,157,30,20,7,9,5
E01015217,5,52,328,192,38,13,2,7,4
E01015218,10,18,424,111,37,13,4,4,2
E01015219,9,21,349,94,32,12,2,2,9
E01015220,8,21,409,105,31,7,4,4,9
E01015221,6,36,477,98,25,8,6,1,3
E01015222,4,34,473,43,40,8,6,0,6
E01015223,7,29,554,70,16,7,5,3,1
E01015224,12,30,533,35,32,15,6,6,6
E01015225,17,33,469,59,30,18,5,1,6
E01015226,11,18,499,37,41,12,2,0,1
E01015227,8,23,557,59,55,11,4,0,6
E01015228,11,39,403,93,46,9,12,2,7
E01015229,9,29,302,103,52,7,2,1,4
E01015230,6,17,494,26,21,11,5,2,3
E01015231,10,48,269,216,20,8,1,2,11
E01015232,14,44,311,220,142,11,6,2,19
E01015233,12,36,326,147,38,9,2,4,11
E01015234,10,34,355,115,26,6,2,1,16
E01015235,12,21,356,100,95,4,8,5,14
E01015236,10,16,482,70,75,11,10,1,5
E01015237,13,21,448,111,22,12,5,6,2
E01015238,14,36,433,109,31,5,3,2,9
E01015239,14,42,299,138,48,7,1,5,3
E01015240,8,26,325,99,62,5,6,6,2
E01015241,11,19,425,136,34,12,4,7,3
E01015242,4,22,355,149,14,8,5,6,1
E01015243,12,19,424,81,29,5,6,4,3
E01015244,14,21,447,60,34,14,6,10,4
E01015245,5,27,350,51,22,10,4,1,2
E01015246,4,13,368,67,52,10,7,1,3
E01015247,10,20,514,112,36,9,6,3,6
E01015248,7,26,394,147,20,11,8,9,3
E01015249,8,47,437,91,19,8,6,2,5
E01015250,12,45,574,75,11,12,6,7,6
E01015251,11,15,444,110,24,4,2,5,5
E01015252,21,41,941,124,45,20,1,8,7
E01015253,8,27,660,133,51,15,8,2,4
E01015254,11,28,462,80,23,4,6,3,5
E01015255,15,69,312,284,113,12,15,3,8
E01015256,17,74,390,325,52,10,16,5,21
E01015257,2,28,354,118,16,13,1,9,3
E01015258,13,41,569,204,55,13,7,7,23
E01015259,5,34,439,147,20,11,6,11,5
E01015260,5,38,375,194,37,7,6,8,6
E01015261,14,49,451,228,135,8,18,6,21
E01015262,5,43,396,94,18,12,1,1,3
E01015263,10,25,399,99,14,11,2,5,3
E01015264,7,16,443,44,31,6,1,3,4
E01015265,4,26,473,60,22,10,2,1,3
E01015266,5,34,353,87,22,9,1,5,3
E01015267,6,34,391,153,69,3,8,1,11
E01015268,7,30,463,104,60,6,4,5,13
E01015269,4,29,508,73,74,7,9,4,9
E01015270,11,33,424,112,52,4,10,9,7
E01015271,6,11,375,38,75,4,6,2,9
E01018750,7,8,782,202,59,9,6,0,4
E01018751,4,21,397,206,43,6,11,0,0
E01018752,12,12,756,113,55,10,13,0,7
E01018753,4,6,628,43,79,10,10,1,10
E01018754,8,20,522,47,48,7,8,2,10
E01018755,4,21,530,54,72,4,13,1,13
E01018756,6,11,531,52,79,6,14,1,26
E01018757,9,13,662,59,132,18,12,0,12
E01018758,9,17,954,62,87,12,8,2,12
E01018759,1,17,521,33,105,10,4,0,10
E01018760,4,8,408,44,107,6,4,5,7
E01018761,1,6,353,84,105,4,15,4,6
E01018762,0,14,296,113,83,9,4,3,4
E01018763,9,21,465,38,60,5,3,2,4
