geocode,asian,black,mixed,other,white
E01005253,23,90,49,9,1414
E01005254,21,14,20,1,1542
E01005255,45,161,62,24,1317
E01005256,104,230,112,17,1532
E01005257,81,170,95,12,1440
E01005258,51,42,32,22,1560
E01005259,72,81,52,17,1380
E01005260,76,29,35,28,1331
E01005261,48,112,101,2,1379
E01005262,136,103,69,41,1492
E01005263,68,31,66,35,1433
E01005264,87,61,51,11,1325
E01005265,71,69,61,64,1419
E01005266,114,69,87,14,1673
E01005267,92,27,33,17,1382
E01005268,109,44,55,25,1785
E01005269,130,32,38,17,1267
E01005270,214,125,132,98,1178
E01005271,170,44,67,98,1722
E01005272,197,186,155,70,1194
E01005273,132,44,102,43,1237
E01005274,151,81,106,90,1338
E01005275,125,32,50,41,1447
E01005276,116,52,54,38,1342
E01005277,174,30,62,37,1426
E01005278,524,74,69,67,1105
E01005279,422,151,148,140,1175
E01005280,1067,172,47,73,560
E01005281,248,54,88,51,1798
E01005282,848,76,80,91,757
E01005283,110,41,69,20,1241
E01005284,1188,159,124,181,1784
E01005285,466,280,53,132,368
E01005286,556,77,87,116,1334
E01005287,1200,187,72,50,622
E01005288,568,204,96,116,744
E01005289,63,29,82,10,1266
E01005290,62,17,74,14,1377
E01005291,47,36,37,12,1322
E01005292,59,57,51,13,1299
E01005293,50,9,23,15,1132
E01005294,93,13,50,15,1325
E01005295,302,52,82,64,1959
E01005296,429,102,56,90,1027
E01005297,801,270,167,136,1075
E01005298,757,167,95,68,748
E01005299,748,120,43,72,608
E01005300,809,44,56,94,558
E01005301,450,51,58,51,991
E01005302,265,229,88,80,1184
E01005304,159,40,77,40,1494
E01005305,477,35,58,88,1137
E01005306,144,13,56,34,1299
E01005307,204,40,82,57,1588
E01005308,220,60,118,83,1216
E01005309,210,73,107,71,1836
E01005310,129,49,110,31,1541
E01005311,350,50,76,69,1224
E01005312,142,45,88,38,1498
E01005313,55,45,60,14,1322
E01005314,80,30,70,7,1388
E01005315,68,71,44,10,1310
E01005316,59,78,93,12,1364
E01005317,73,53,64,7,1450
E01005318,100,51,58,13,1652
E01005319,87,81,67,45,1851
E01005328,236,23,29,0,1081
E01005330,45,8,23,0,1486
E01005331,136,31,23,8,1346
E01005332,255,64,64,6,1906
E01005341,33,16,30,2,1378
E01005342,148,14,31,5,1138
E01005343,54,15,51,6,1267
E01005344,137,20,48,2,1292
E01005345,66,9,36,2,1393
E01005346,15,10,7,1,1400
E01005347,52,10,14,2,1267
E01005362,32,1,22,1,1406
E01005363,54,12,33,1,1439
E01005364,7,2,17,0,1648
E01005365,32,5,16,4,1399
E01005366,12,17,29,5,1451
E01005367,31,2,14,1,1426
E01005368,28,12,22,3,1477
E01005369,56,45,53,4,1336
E01005370,25,32,38,2,1340
E01005371,28,13,28,2,1260
E01005372,26,7,30,4,1124
E01005373,5,9,8,1,1178
E01005374,19,6,22,7,1389
E01005375,10,1,11,0,1447
E01005376,71,44,25,1,1147
E01005377,35,18,30,3,1241
E01005378,120,23,32,3,1316
E01005379,14,14,32,1,1211
E01005380,31,12,16,0,1450
E01005381,438,22,39,1,1011
E01005382,72,10,40,0,1331
E01005434,508,40,46,17,729
E01005435,1636,11,32,16,218
E01005436,953,5,23,7,711
E01005437,1416,26,21,8,437
E01005438,626,41,33,7,1624
E01005439,116,12,19,3,1369
E01005459,1121,16,11,4,206
E01005460,1420,40,80,23,793
E01005461,2148,4,22,10,201
E01005462,1215,24,29,9,579
E01005463,787,47,15,6,267
E01005531,35,6,22,1,1101
E01005532,43,46,33,1,1312
E01005544,17,10,11,1,1431
E01005545,47,31,9,6,1134
E01005549,51,9,25,3,1474
E01005550,30,6,8,7,1369
E01005599,127,53,41,66,1323
E01005600,76,43,24,19,1305
E01005601,81,25,14,46,1408
E01005602,37,23,23,43,1226
E01005603,92,48,46,5,1389
E01005604,22,22,24,5,1450
E01005605,37,28,14,15,1289
E01005609,103,172,55,26,1431
E01005610,37,36,25,26,1137
E01005611,123,112,72,27,1608
E01005612,109,226,31,21,1651
E01005613,250,303,123,84,1520
E01005614,119,101,31,47,1642
E01005615,185,147,59,37,1530
E01005616,11,13,17,0,1420
E01005617,14,2,8,0,1512
E01005618,24,3,20,0,1438
E01005619,19,9,9,7,1254
E01005620,119,22,46,30,2314
E01005621,49,17,35,8,1543
E01005622,33,25,35,4,1355
E01005623,38,11,12,4,1196
E01005624,49,82,27,8,1503
E01005625,42,8,14,0,1265
E01005626,52,9,14,2,1234
E01005627,47,10,21,0,1100
E01005628,172,43,40,8,1353
E01005629,40,6,16,13,1236
E01005630,88,20,17,6,1364
E01005631,46,32,29,41,1361
E01005632,273,43,54,231,1511
E01005633,63,13,26,15,1276
E01005634,31,4,23,3,1411
E01005635,124,22,32,11,1388
E01005636,79,15,20,18,1421
E01005637,58,4,26,11,1215
E01005638,101,30,35,20,1372
E01005639,12,31,30,2,1491
E01005640,21,18,41,10,1366
E01005641,22,12,15,0,1374
E01005642,40,2,20,3,1162
E01005643,12,16,19,4,1353
E01005644,40,3,16,5,1519
E01005645,14,3,7,1,1420
E01005646,68,9,18,51,1431
E01005647,49,23,10,107,1432
E01005648,123,54,42,53,1545
E01005649,59,22,18,57,1561
E01005650,50,52,46,22,1412
E01005651,59,80,64,100,1818
E01005652,30,54,38,8,1268
E01005653,75,115,46,7,1275
E01005654,54,52,50,5,1259
E01005655,119,225,55,45,924
E01005656,39,58,29,12,1359
E01005657,29,37,16,6,1358
E01005658,24,107,37,13,1234
E01005659,13,21,22,1,1387
E01005660,19,25,14,1,1411
E01005661,66,41,36,4,1642
E01005662,13,72,32,18,1384
E01005663,20,31,18,2,1305
E01005664,17,77,41,0,1352
E01005665,12,33,17,1,1407
E01005667,61,152,59,25,1531
E01005670,63,61,47,3,1489
E01005671,37,20,28,7,1411
E01005672,80,27,12,1,1249
E01005673,33,29,24,1,1350
E01005674,26,3,16,2,1399
E01005675,131,82,81,16,2254
E01005676,9,6,9,1,1251
E01005677,40,19,22,4,1455
E01005678,42,45,46,6,1380
E01005679,28,60,33,4,1469
E01005680,46,48,32,14,1285
E01005681,172,70,39,27,1272
E01005682,61,164,67,30,1193
E01005683,29,90,44,20,1417
E01005686,49,43,16,12,1319
E01005687,44,7,26,1,1674
E01005688,53,53,26,9,1450
E01005689,84,72,35,2,1245
E01005690,21,9,9,1,1515
E01005691,16,7,11,4,1434
E01005692,24,24,18,6,1234
E01005693,13,6,17,1,1365
E01005694,46,7,13,9,1666
E01005695,66,2,23,2,1485
E01005696,14,35,32,11,1429
E01005697,22,6,12,0,1523
E01005698,25,72,34,11,1515
E01005699,11,8,16,3,1456
E01005700,74,15,18,11,1420
E01005701,32,11,26,9,1515
E01005702,58,27,32,4,2006
E01005703,22,28,33,0,1461
E01005704,18,4,18,3,1362
E01005705,32,11,28,13,1784
E01005706,15,28,20,10,1421
E01005707,25,36,40,6,1611
E01005708,41,34,36,5,1375
