geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E10000027,3927,1577,44542,11756,5586,744,492,158,817
E10000029,2890,1982,64774,11134,4627,634,450,411,988
E12000001,20339,107735,790969,122471,42506,5079,10662,8801,43184
E12000002,70531,266986,2218126,351703,144051,19979,19857,26285,110098
E12000003,62116,207101,1645779,285521,110958,16172,14830,16431,69001
E12000004,58955,131822,1538072,236235,108940,15552,11573,8820,35217
E12000005,50372,194698,1804082,251407,121219,16367,13552,13319,71204
E12000006,97751,104319,1835953,277511,156792,21839,17257,12815,237198
E12000007,161679,561558,1190423,352566,202659,45974,28535,20314,1434479
E12000008,127614,189926,2791087,463662,279656,36467,28328,16750,327233
E12000009,86358,118301,1683643,336707,172413,27717,17144,7335,41167
