geocode,all
E00089400,43.0
E00137250,34.0
E00137251,52.0
E00137252,42.0
E00137256,47.0
E00137257,35.0
E00137260,50.0
E00137261,29.0
E00137262,35.0
E00137263,39.0
E00137264,31.0
E00137270,51.0
E00137271,61.0
E00137272,60.0
E00137273,61.0
E00137274,50.0
E00137275,53.0
E00137276,43.0
E00137277,53.0
E00137278,64.0
E00137279,35.0
E00137280,32.0
E00137281,62.0
E00137282,36.0
E00137283,57.0
E00137284,47.0
E00137285,47.0
E00137286,47.0
E00137287,46.0
E00137288,53.0
E00137289,52.0
E00137336,48.0
E00137337,39.0
E00137338,47.0
E00137339,48.0
E00137340,49.0
E00137341,48.0
E00137354,39.0
E00137355,32.0
E00137356,42.0
E00137357,56.0
E00137358,36.0
E00137359,42.0
E00137360,35.0
E00137361,32.0
E00137362,41.0
E00137363,42.0
E00137364,39.0
E00137365,42.0
E00137366,41.0
E00137367,44.0
E00137368,49.0
E00137369,37.0
E00137370,32.0
E00137371,34.0
E00137372,45.0
E00137373,32.0
E00137374,43.0
E00137375,46.0
E00137376,51.0
E00137377,45.0
E00137378,49.0
E00137383,55.0
E00137384,45.0
E00137385,46.0
E00137386,32.0
E00137387,45.0
E00137388,34.0
E00137389,30.0
E00137390,26.0
E00137391,31.0
E00137392,31.0
E00137393,28.0
E00137394,27.0
E00137444,44.0
E00137445,46.0
E00137446,49.0
E00137447,44.0
E00137448,39.0
E00137449,37.0
E00137450,39.0
E00137451,47.0
E00137452,42.0
E00137453,40.0
E00137454,51.0
E00137467,51.0
E00137468,42.0
E00137469,46.0
E00137470,45.0
E00137471,39.0
E00137472,45.0
E00137473,39.0
E00137474,36.0
E00137475,38.0
E00137476,35.0
E00137477,44.0
E00137478,39.0
E00138671,43.0
E00138672,44.0
E00138673,43.0
E00138674,44.0
E00138675,44.0
E00138676,40.0
E00138677,40.0
E00138678,45.0
E00138680,51.0
E00138681,43.0
E00138683,44.0
E00138684,51.0
E00138685,51.0
E00138826,52.0
E00138840,47.0
E00138841,45.0
E00138842,41.0
E00138843,42.0
E00138844,46.0
E00138845,46.0
E00138846,45.0
E00138847,46.0
E00138848,44.0
E00138849,49.0
E00138850,49.0
E00138851,43.0
E00138852,46.0
E00138865,47.0
E00138866,43.0
E00138867,47.0
E00138868,43.0
E00138904,47.0
E00138905,47.0
E00138906,45.0
E00138907,53.0
E00138908,47.0
E00138909,46.0
E00138910,48.0
E00138911,45.0
E00138912,46.0
E00138913,45.0
E00138914,44.0
E00138916,47.0
E00138917,48.0
E00138918,45.0
E00138919,47.0
E00144851,30.0
E00144852,36.0
E00144853,32.0
E00144854,39.0
E00144855,43.0
E00144856,43.0
E00144858,47.0
E00144868,30.0
E00144875,37.0
E00144876,31.0
E00144877,37.0
E00144878,35.0
E00144879,38.0
E00144880,45.0
E00144881,42.0
E00144882,60.0
E00144883,53.0
E00144884,48.0
E00144885,52.0
E00144886,52.0
E00144887,46.0
E00144894,36.0
E00144895,39.0
E00144896,33.0
E00144897,36.0
E00144899,35.0
E00144900,37.0
E00144901,35.0
E00144902,37.0
E00144903,31.0
E00144904,43.0
E00144905,40.0
E00144906,31.0
E00144907,35.0
E00144908,29.0
E00144909,30.0
E00144910,34.0
E00144911,35.0
E00144912,30.0
E00144913,33.0
E00144914,38.0
E00144915,31.0
E00144916,30.0
E00144917,32.0
E00144918,29.0
E00144920,66.0
E00144921,40.0
E00144922,34.0
E00144923,65.0
E00144924,26.0
E00144925,27.0
E00144926,31.0
E00144927,64.0
E00144928,44.0
E00144929,34.0
E00144930,32.0
E00144931,38.0
E00144932,42.0
E00144933,43.0
E00144934,39.0
E00144936,40.0
E00144937,38.0
E00144938,31.0
E00144940,31.0
E00144941,33.0
E00144942,37.0
E00144943,38.0
E00144944,37.0
E00144945,34.0
E00144946,34.0
E00144947,32.0
E00144948,35.0
E00144949,38.0
E00144950,31.0
E00144951,31.0
E00144952,29.0
E00144953,31.0
E00144954,35.0
E00144955,33.0
E00144956,48.0
E00144957,40.0
E00144958,46.0
E00144959,31.0
E00144960,36.0
E00144961,30.0
E00144962,44.0
E00144963,46.0
E00144964,31.0
E00144965,31.0
E00144966,39.0
E00144967,25.0
E00144968,29.0
E00144969,30.0
E00144970,33.0
E00144971,33.0
E00144972,45.0
E00144973,31.0
E00144974,35.0
E00144975,39.0
E00144976,40.0
E00144977,33.0
E00144978,27.0
E00144979,30.0
E00144980,30.0
E00144981,36.0
E00144982,34.0
E00144983,33.0
E00144984,31.0
E00144985,41.0
E00144986,36.0
E00144987,28.0
E00144988,29.0
E00144989,34.0
E00144990,36.0
E00145111,51.0
E00145112,48.0
E00145113,50.0
E00145114,47.0
E00145115,47.0
E00145116,51.0
E00145117,51.0
E00145118,44.0
E00145119,45.0
E00145120,50.0
E00145219,45.0
E00145241,55.0
E00145242,50.0
E00145243,47.0
E00145247,51.0
E00158864,45.0
E00159022,49.0
E00159023,51.0
E00159040,44.0
E00159041,48.0
E00159042,41.0
E00159043,42.0
E00159044,42.0
E00159045,51.0
E00159046,50.0
E00159047,42.0
E00159048,47.0
E00159049,47.0
E00159164,43.0
E00159165,32.0
E00159166,38.0
E00159167,37.0
E00159168,63.0
E00159169,42.0
E00159170,48.0
E00159171,47.0
E00159172,50.0
E00159173,38.0
E00159174,45.0
E00159175,48.0
E00159176,43.0
E00159177,43.0
E00159178,36.0
E00159179,43.0
E00159180,41.0
E00159181,43.0
E00159182,43.0
E00159183,44.0
E00159184,44.0
E00159185,46.0
E00159186,44.0
E00159187,44.0
E00159188,43.0
E00169007,39.0
E00169008,26.0
E00169009,29.0
E00169010,26.0
E00169011,28.0
E00169012,27.0
E00169013,34.0
E00169014,32.0
E00169015,31.0
E00169016,28.0
E00169017,32.0
E00169018,27.0
E00169019,32.0
E00169020,29.0
E00169021,33.0
E00169022,33.0
E00169024,42.0
E00169198,28.0
E00169199,36.0
E00169200,27.0
