geocode,all
E01018971,49
E01018972,44
E01018973,46
E01018975,47
E01018976,50
E01018977,42
E01018978,44
E01018979,43
E01018980,45
E01018981,47
E01018982,40
E01018983,50
E01018984,41
E01018985,50
E01018986,56
E01018987,51
E01018988,50
E01018989,48
E01018990,54
E01018994,51
E01018995,45
E01018996,43
E01018997,32
E01018998,38
E01018999,44
E01019000,57
E01019001,49
E01019002,56
E01019003,52
E01019004,44
E01019006,52
E01019007,46
E01019008,47
E01019009,38
E01019010,46
E01019011,55
E01019012,53
E01019013,43
E01019014,47
E01019015,44
E01019016,35
E01019017,53
E01019018,47
E01019019,49
E01019020,36
E01019021,44
E01019022,42
E01019023,35
E01019024,46
E01019025,56
E01019026,51
E01019027,53
E01019028,36
E01019029,38
E01019030,41
E01019031,44
E01019032,47
E01019033,42
E01019034,40
E01019035,52
E01019036,50
E01019037,45
E01019038,56
E01019039,56
E01019040,50
E01019041,38
E01019042,40
E01019043,49
E01019044,52
E01019045,41
E01019046,40
E01019047,50
E01019048,49
E01019049,42
E01019050,43
E01019051,43
E01019052,42
E01019053,42
E01019054,42
E01019055,39
E01019056,36
E01019057,41
E01019058,42
E01019059,46
E01019060,50
E01019061,41
E01019062,37
E01019063,41
E01019064,41
E01019065,39
E01019066,47
E01019067,52
E01019068,53
E01019069,37
E01019070,41
E01019071,43
E01019072,40
E01019073,46
E01019074,39
E01019075,41
E01019076,35
E01019890,53
E01019894,66
E01019895,60
E01019896,62
E01019897,42
E01019898,52
E01019900,59
E01019904,46
E01019905,46
E01019906,46
E01019907,51
E01019908,35
E01019909,54
E01019910,47
E01019911,61
E01019912,53
E01019913,67
E01019914,45
E01019915,56
E01019916,33
E01019917,40
E01019918,43
E01019919,36
E01019920,42
E01019921,45
E01019922,45
E01019923,44
E01019924,37
E01019937,51
E01019939,52
E01019940,55
E01019945,47
E01019946,63
E01019947,56
E01019948,61
E01019949,61
E01019950,56
E01019951,59
E01019952,57
E01019953,60
E01019954,45
E01019955,53
E01019956,57
E01019957,68
E01019958,58
E01019961,53
E01019963,45
E01019964,25
E01019965,45
E01019968,48
E01019969,44
E01019970,42
E01019971,34
E01019972,35
E01019973,45
E01019974,46
E01019975,36
E01019976,52
E01019977,43
E01019980,30
E01019981,38
E01019982,31
E01019983,44
E01019984,39
E01019985,34
E01019986,41
E01019987,29
E01019988,43
E01019989,35
E01019992,41
E01019994,28
E01019995,36
E01019996,30
E01019997,23
E01019999,40
E01020000,40
E01020005,37
E01020006,31
E01020007,22
E01020008,22
E01020009,34
E01020010,33
E01020011,48
E01020012,39
E01020013,39
E01020014,35
E01020015,32
E01020016,30
E01020017,24
E01020018,31
E01020019,21
E01020020,22
E01020021,27
E01020022,22
E01020023,42
E01020024,43
E01020025,33
E01020026,45
E01020027,42
E01020029,37
E01020030,33
E01020031,36
E01020032,37
E01020033,50
E01020035,37
E01020036,44
E01020037,40
E01020038,43
E01020039,38
E01020040,43
E01020082,48
E01020142,46
E01020143,47
E01020144,39
E01020145,43
E01020146,40
E01020147,52
E01020148,48
E01020149,45
E01020150,51
E01020151,59
E01020152,58
E01020153,57
E01020154,30
E01020155,42
E01020156,52
E01020157,48
E01020158,48
E01020159,47
E01020160,45
E01020161,45
E01020162,40
E01020163,41
E01020164,42
E01020165,38
E01020166,45
E01020167,42
E01020168,53
E01020169,42
E01020170,51
E01020171,56
E01020172,54
E01020173,57
E01020174,56
E01020175,59
E01020176,49
E01020177,48
E01020178,58
E01020179,57
E01020180,45
E01020181,49
E01020182,41
E01020183,45
E01020184,48
E01020185,54
E01020186,59
E01020187,44
E01020188,51
E01020189,48
E01020190,51
E01020191,40
E01020192,51
E01020193,46
E01020194,43
E01020195,45
E01020196,45
E01020197,54
E01020198,42
E01020199,43
E01020200,56
E01020201,59
E01020202,59
E01020203,56
E01020204,34
E01020205,54
E01020206,45
E01020207,44
E01020208,41
E01020209,40
E01020210,52
E01020211,36
E01020212,40
E01020213,47
E01020214,49
E01020215,51
E01020216,36
E01020217,41
E01020218,37
E01020219,39
E01020220,44
E01020221,44
E01020222,44
E01020223,45
E01020224,32
E01020225,37
E01020226,52
E01020227,48
E01020228,56
E01020229,53
E01020230,50
E01020231,48
E01020232,40
E01020233,59
E01020234,42
E01020235,52
E01020236,49
E01020237,46
E01020238,49
E01020239,51
E01020240,46
E01020241,43
E01020242,43
E01020243,47
E01020244,45
E01020245,47
E01020246,47
E01020247,44
E01020248,50
E01020249,52
E01020250,47
E01020251,43
E01020252,43
E01020253,37
E01020254,42
E01020255,46
E01020256,43
E01020257,46
E01020258,49
E01020259,51
E01020260,59
E01020261,51
E01020262,53
E01020263,58
E01020264,53
E01020265,52
E01020266,46
E01020267,50
E01020268,59
E01020269,54
E01020270,46
E01020271,41
E01020272,35
E01020273,49
E01020274,49
E01020286,47
E01020312,55
E01020313,45
E01020314,51
E01020315,47
E01020316,49
E01020317,53
E01020318,51
E01020319,49
E01020323,42
E01020324,52
E01020325,47
E01020329,50
E01020331,47
E01020332,46
E01020333,46
E01020334,43
E01020335,55
E01020336,57
E01020337,41
E01020338,39
E01020339,48
E01020340,48
E01020341,53
E01020342,44
E01020532,61
E01020533,50
E01032657,26
E01032658,33
E01033232,31
E01033234,36
E01033235,52
E01033236,56
E01033289,54
E01033291,49
E01033292,33
E01033294,45
