geocode,bad,fair,good
E00058232,35,46,155
E00058233,22,58,276
E00058243,13,34,189
E00058245,15,38,178
E00058250,6,32,187
E00058253,18,35,252
E00058254,25,33,187
E00058255,33,50,240
E00058256,27,53,150
E00058257,19,27,182
E00058258,18,35,207
E00058259,5,24,221
E00058260,22,58,217
E00058261,24,40,204
E00058262,57,78,208
E00058263,39,50,138
E00058264,24,39,201
E00058265,33,31,220
E00058291,7,37,193
E00058671,51,75,274
E00058672,7,24,342
E00058673,6,28,278
E00058675,41,49,196
E00058676,19,39,246
E00058677,18,41,266
E00058678,18,55,314
E00058679,22,64,514
E00058680,7,32,252
E00058681,8,32,375
E00058682,19,37,370
E00058683,17,40,165
E00058684,30,42,261
E00058685,14,26,287
E00058686,8,37,359
E00058687,7,22,279
E00058688,22,47,223
E00058689,15,59,279
E00058690,8,32,284
E00058691,12,36,300
E00058692,9,18,261
E00058693,10,32,303
E00058694,12,31,198
E00058695,7,25,207
E00058696,11,32,210
E00058697,6,41,164
E00058698,13,38,301
E00058700,15,28,230
E00058701,16,40,336
E00058703,30,36,302
E00058704,9,81,265
E00058705,10,17,136
E00058708,19,42,311
E00058709,7,40,270
E00058710,13,30,242
E00058711,6,37,233
E00058713,13,39,258
E00058714,26,51,289
E00058715,17,60,332
E00058716,11,49,326
E00058717,30,56,367
E00058718,24,38,286
E00058719,16,55,362
E00058720,13,69,382
E00058721,14,35,274
E00058722,25,31,153
E00058723,6,28,275
E00058724,2,26,277
E00058725,7,25,180
E00058726,12,77,124
E00058727,4,20,293
E00058728,5,29,145
E00058729,10,22,240
E00058730,3,23,214
E00058731,7,24,248
E00058732,6,20,295
E00058733,5,32,231
E00058800,3,29,231
E00058801,13,13,252
E00058802,1,14,149
E00058803,20,46,120
E00058805,15,47,288
E00058806,20,43,319
E00058807,37,48,238
E00058808,23,64,354
E00058809,15,44,324
E00058810,15,35,374
E00058811,5,23,264
E00058812,24,63,321
E00058813,20,30,172
E00058814,3,4,221
E00058815,5,13,200
E00058816,24,40,246
E00058817,13,58,408
E00058818,7,29,267
E00058821,10,22,359
E00058823,6,20,195
E00058826,6,13,255
E00058827,1,9,147
E00058828,6,14,239
E00058829,14,18,109
E00058830,13,12,129
E00058831,3,5,133
E00058832,19,33,243
E00058833,3,12,164
E00058834,4,22,175
E00058836,17,20,125
E00058837,25,30,213
E00058838,23,48,266
E00058839,21,27,96
E00058840,22,29,196
E00058842,9,30,316
E00058843,16,30,169
E00058844,14,22,213
E00058847,23,23,196
E00058849,13,41,226
E00058850,16,40,196
E00058851,24,28,127
E00058852,17,26,188
E00058853,17,24,216
E00058854,22,49,285
E00058855,13,49,457
E00058856,9,26,419
E00058858,31,47,213
E00058859,2,16,116
E00058861,20,34,112
E00058862,13,26,235
E00058864,26,49,258
E00058865,51,83,161
E00058866,4,44,970
E00058867,20,34,88
E00058869,8,25,152
E00058870,8,31,279
E00058871,26,36,73
E00058872,13,23,318
E00058873,12,19,132
E00058874,12,32,196
E00058875,31,34,69
E00058876,11,23,166
E00058877,19,32,270
E00058878,25,38,182
E00058879,15,27,242
E00058880,29,27,240
E00058881,13,39,535
E00058884,2,8,117
E00058885,4,13,205
E00058887,27,48,290
E00058889,19,30,184
E00058890,19,31,178
E00058891,8,21,178
E00058892,4,8,119
E00058893,11,11,249
E00058894,2,16,318
E00058904,15,42,346
E00058906,9,27,222
E00058907,9,33,322
E00058909,8,15,151
E00058910,10,20,251
E00058912,24,62,219
E00058913,4,13,120
E00058914,10,19,270
E00058915,7,21,154
E00058917,9,30,261
E00058918,28,44,157
E00058920,10,32,87
E00058921,5,14,207
E00058922,29,47,113
E00058923,10,33,209
E00058924,10,30,206
E00058925,14,26,193
E00058926,11,33,344
E00058927,2,13,185
E00058928,6,21,239
E00058929,1,18,215
E00058930,4,18,194
E00058947,16,32,300
E00058955,15,35,231
E00058956,10,22,133
E00058958,20,40,138
E00058959,2,14,277
E00058960,7,24,197
E00169587,15,42,262
E00169589,8,22,209
E00169590,4,13,289
E00169592,1,10,249
E00169593,3,14,211
E00169598,25,34,123
E00169609,4,33,644
E00169611,3,29,779
E00169612,8,16,409
E00169614,32,159,2550
E00169615,8,54,864
E00169617,11,31,392
E00169618,11,24,266
E00169620,27,53,346
E00169621,20,43,152
E00169623,4,15,248
E00169625,30,53,117
E00169626,6,12,444
E00169628,7,22,332
E00169629,5,22,274
E00169738,28,54,233
E00169739,29,80,375
E00169740,13,43,263
E00169741,19,48,247
E00169742,29,45,177
E00169743,14,45,558
E00169744,16,31,170
E00169745,18,25,174
E00169746,11,27,481
E00169747,5,25,435
E00169748,3,16,517
E00169751,18,26,149
E00169752,5,9,112
E00169755,17,32,303
E00169780,6,25,183
E00169783,5,11,226
E00169785,18,59,1722
E00170046,4,18,150
E00170048,3,9,99
E00170049,16,30,141
E00170332,20,22,159
E00170433,12,19,138
E00170581,24,52,635
E00170582,8,37,376
E00170584,23,39,221
E00170600,11,39,268
E00170601,32,58,256
E00170603,30,40,217
E00170614,10,24,321
E00170621,6,25,185
