geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E00071220,62,79,25,37,110,67,38,15,9
E00071221,43,59,47,41,73,73,22,5,2
E00071222,28,25,29,29,37,58,47,18,17
E00071223,36,45,42,38,52,68,27,11,23
E00071224,27,22,19,31,40,36,33,27,36
E00071225,85,67,32,80,107,54,46,7,15
E00071226,21,23,48,42,38,30,35,10,11
E00071227,41,45,40,43,56,52,34,6,7
E00071228,26,34,26,30,44,52,39,9,15
E00071231,65,42,45,66,53,53,25,11,15
E00071270,28,32,12,22,46,30,29,13,12
E00071271,11,12,23,18,23,35,32,6,33
E00071272,30,122,27,34,69,65,41,11,23
E00071273,26,26,56,30,44,43,32,5,18
E00071274,23,23,24,21,35,31,28,17,36
E00071275,11,30,23,15,34,40,38,10,38
E00071276,43,48,71,49,49,43,18,5,9
E00071277,67,41,79,54,49,33,34,15,20
E00071278,67,59,74,56,59,34,15,2,9
E00071279,63,51,52,42,26,46,25,14,21
E00071280,12,23,14,11,28,50,87,15,37
E00071352,31,88,50,20,92,75,22,7,12
E00071353,35,35,18,29,47,33,43,28,26
E00071354,8,22,18,12,26,32,57,24,46
E00071355,49,29,62,42,35,19,2,2,3
E00071356,28,35,41,52,39,46,36,7,17
E00071357,26,21,15,31,36,24,40,16,18
E00071358,1,6,16,15,30,27,34,16,22
E00071360,27,36,22,25,45,25,36,25,35
E00071369,15,34,20,12,40,46,29,13,19
E00071370,22,29,11,18,33,23,21,6,10
E00071371,23,42,32,17,40,54,62,6,21
E00071376,20,23,15,26,31,35,33,17,39
E00071377,29,33,22,36,49,39,40,15,23
E00071382,21,33,15,24,53,41,45,12,79
E00071383,23,27,23,29,43,57,35,6,11
E00071384,36,32,37,52,52,49,42,15,61
E00071385,12,16,13,15,30,45,56,19,33
E00071386,16,10,21,16,25,27,45,18,47
E00071387,15,17,13,18,26,27,46,32,28
E00071390,28,38,24,30,62,37,56,13,23
E00071391,32,51,26,34,58,59,49,10,21
E00071392,17,53,27,20,71,52,23,17,20
E00071393,84,45,128,80,68,36,29,8,9
E00071394,42,28,31,30,27,20,37,11,30
E00071395,24,38,38,45,41,34,39,12,9
E00071396,74,35,52,47,33,31,25,3,11
E00071397,33,24,40,41,52,35,31,3,36
E00071399,87,76,45,66,42,26,26,4,8
E00071402,37,33,35,42,31,29,24,11,22
E00071404,26,26,34,39,29,44,20,13,25
E00071405,41,36,53,41,35,42,23,21,13
E00071406,42,50,39,39,34,34,31,10,17
E00071407,95,45,70,51,36,16,14,6,14
E00071408,54,54,36,57,34,20,15,9,16
E00071409,27,26,25,28,27,19,19,15,31
E00071410,34,39,44,38,37,30,20,8,14
E00071411,67,94,56,55,51,27,14,1,14
E00071412,29,57,42,35,40,32,24,9,28
E00071413,6,28,16,10,24,22,17,8,6
E00071414,43,51,32,49,79,45,23,4,9
E00071415,51,30,39,40,54,50,27,8,28
E00071416,45,50,36,48,68,31,18,1,1
E00071417,60,53,61,51,39,45,20,9,11
E00071418,64,75,30,70,94,36,22,14,11
E00071419,19,12,19,17,27,25,19,4,14
E00071420,22,21,26,33,32,57,33,27,22
E00071421,39,60,35,60,43,34,37,12,27
E00071422,44,44,45,38,44,29,41,15,16
E00071423,60,66,53,45,67,48,23,5,14
E00071424,33,37,45,44,35,37,30,5,14
E00071425,35,32,37,37,56,22,30,8,13
E00071426,53,44,51,51,51,34,21,4,3
E00071428,70,58,42,52,49,33,33,13,15
E00071429,36,24,45,36,41,59,43,11,39
E00071430,16,26,12,20,50,30,42,24,51
E00071431,50,56,47,43,60,42,30,7,42
E00071432,15,26,15,24,22,34,41,9,45
E00071433,22,17,47,40,36,28,31,12,51
E00071434,71,57,79,84,60,46,34,3,25
E00071435,68,59,94,107,78,43,41,7,5
E00071436,33,35,29,27,34,42,36,21,29
E00071437,17,13,34,39,30,32,8,3,13
E00071458,52,38,58,47,39,23,26,10,12
E00071459,47,34,41,43,35,41,35,18,24
E00071460,41,54,59,56,80,49,35,13,24
E00071461,45,41,33,36,43,27,33,8,33
E00071594,21,21,21,25,36,31,36,14,33
E00071595,33,36,33,29,49,41,48,14,29
E00071596,31,49,24,21,67,32,33,25,20
E00071597,23,45,22,23,56,38,34,12,26
E00071598,21,28,35,31,38,35,54,20,26
E00071599,28,42,33,22,49,39,25,20,25
E00071600,20,26,20,26,45,43,59,28,32
E00071601,27,37,28,23,40,38,28,12,31
E00071602,15,27,12,18,39,22,34,15,79
E00071640,26,41,38,37,54,38,25,11,8
E00071641,37,43,33,35,48,44,30,14,15
E00071642,26,48,24,38,54,29,32,13,16
E00071643,44,35,45,38,42,35,37,14,15
E00071644,42,56,41,28,73,76,36,8,2
E00071645,55,63,52,48,60,39,19,4,11
E00071646,48,68,37,42,88,39,34,5,11
E00071647,29,71,40,37,84,53,38,6,11
E00071648,30,51,24,42,80,53,23,5,13
E00071649,41,46,43,51,50,39,29,1,2
E00071702,14,15,15,13,36,36,45,19,31
E00071703,28,56,24,16,63,47,65,19,9
E00071704,25,33,28,19,47,50,37,14,26
E00071705,78,77,47,87,109,65,37,12,13
E00071706,37,38,20,44,55,39,47,16,18
E00071707,39,33,19,35,49,44,58,17,27
E00071709,25,33,18,28,60,50,38,18,16
E00071710,52,69,37,55,80,40,21,6,6
E00071711,41,78,26,32,100,67,35,11,16
E00071712,106,74,57,89,105,42,22,2,2
E00071713,33,30,12,30,45,26,37,14,18
