geocode,all
E00007031,18.29
E00007033,17.18
E00007192,9.22
E00007193,73.23
E00007194,16.92
E00007195,100.56
E00007196,76.86
E00007197,100.55
E00007198,93.3
E00007199,132.52
E00007200,88.52
E00007201,120.61
E00007202,103.6
E00007203,109.51
E00007205,89.97
E00007206,80.23
E00007668,25.68
E00007686,36.67
E00007687,73.37
E00007688,34.23
E00007689,65.75
E00007690,65.79
E00007691,79.23
E00007692,66.93
E00007693,54.31
E00007694,78.32
E00007695,88.12
E00007696,98.34
E00007697,39.51
E00007698,60.56
E00007699,97.11
E00007700,72.74
E00007701,119.12
E00007702,110.44
E00007703,105.02
E00007704,69.31
E00007705,74.05
E00007706,73.4
E00007707,56.37
E00110832,1.53
E00110834,23.16
E00110837,13.99
E00110838,20.06
E00110840,19.32
E00110841,61.79
E00110843,102.99
E00110844,12.8
E00118344,56.69
E00118345,87.84
E00118346,25.24
E00118347,31.26
E00118348,18.97
E00118349,61.59
E00118350,76.71
E00118351,88.52
E00118352,46.42
E00118353,8.96
E00118354,25.79
E00118355,26.79
E00118356,44.65
E00118357,92.97
E00118358,57.48
E00118359,35.48
E00118360,67.78
E00118361,1.24
E00118362,50.16
E00118363,25.98
E00118364,65.96
E00118365,62.72
E00118366,83.08
E00118367,63.54
E00118368,74.75
E00118369,8.53
E00118370,63.83
E00118371,45.15
E00118372,47.5
E00118373,91.07
E00118374,80.1
E00118375,31.89
E00118376,31.46
E00118377,45.5
E00118378,54.25
E00118379,75.84
E00118380,63.13
E00118381,85.0
E00118382,41.61
E00118383,79.38
E00118384,75.06
E00118385,76.11
E00118386,80.85
E00118387,71.92
E00118388,12.9
E00118389,64.02
E00118390,128.39
E00118391,76.88
E00118392,106.88
E00118393,87.43
E00118394,79.03
E00118395,51.82
E00118396,54.42
E00118397,78.25
E00118398,66.6
E00118399,69.14
E00118400,54.11
E00118401,41.95
E00118402,53.99
E00118403,6.54
E00118404,68.82
E00118405,80.68
E00118406,90.22
E00118407,103.05
E00118408,68.68
E00118409,53.42
E00118410,8.29
E00118411,72.07
E00118412,0.98
E00118413,76.48
E00118414,58.38
E00118416,47.44
E00118417,79.53
E00118418,60.93
E00118419,66.12
E00118420,71.28
E00118421,72.84
E00118422,66.61
E00118423,77.56
E00118424,60.89
E00118425,39.85
E00118426,59.75
E00118427,29.24
E00118429,50.0
E00118430,48.52
E00118432,25.3
E00118433,61.9
E00118434,13.33
E00118435,20.36
E00118438,14.15
E00118441,1.19
E00118442,29.76
E00118444,28.72
E00118445,7.48
E00118448,21.05
E00118449,23.7
E00118450,60.64
E00118451,92.73
E00118495,58.21
E00118496,63.53
E00118497,70.1
E00118498,73.42
E00118499,78.24
E00118500,62.38
E00118501,51.93
E00118502,45.45
E00118503,21.31
E00118504,96.18
E00118505,88.0
E00118506,91.5
E00118507,91.04
E00118508,65.2
E00118531,21.45
E00118532,74.63
E00118533,16.14
E00118534,77.62
E00118535,72.22
E00118536,55.8
E00118537,8.18
E00118538,88.96
E00118539,60.19
E00118540,71.59
E00118541,96.43
E00118542,39.67
E00118543,77.86
E00118544,86.82
E00118545,64.5
E00118546,26.82
E00118547,94.25
E00118548,75.73
E00118549,14.47
E00118550,53.65
E00118551,66.87
E00118552,41.42
E00118553,88.64
E00118554,161.76
E00118555,15.41
E00118556,57.38
E00118557,18.98
E00118558,98.58
E00118559,88.98
E00118560,22.5
E00118561,8.63
E00118562,34.24
E00118563,17.36
E00118564,77.75
E00118565,89.54
E00118566,101.28
E00118567,90.65
E00118568,13.55
E00118569,57.77
E00118570,70.32
E00118571,91.79
E00118572,51.24
E00118573,94.87
E00118574,82.01
E00118575,88.86
E00118577,16.34
E00118595,58.05
E00118596,32.98
E00118597,97.51
E00118598,74.84
E00118599,96.31
E00118600,15.62
E00118601,33.92
E00118602,60.0
E00118603,82.44
E00169719,65.53
E00169720,99.01
E00169721,70.17
E00169722,203.92
E00169723,38.41
E00169724,1.24
E00169725,94.56
E00169726,39.19
E00170073,48.81
