geocode,all
E00131960,39.85
E00131961,26.28
E00131962,118.55
E00131964,51.37
E00131965,38.36
E00131966,72.97
E00131979,19.37
E00131980,64.94
E00131981,2.94
E00131982,95.95
E00131983,49.92
E00131984,30.65
E00131985,40.47
E00131986,81.9
E00131987,113.38
E00131988,43.82
E00131989,54.43
E00131990,68.26
E00131991,46.83
E00131994,16.3
E00131995,21.47
E00132002,39.76
E00132005,5.98
E00132006,59.19
E00132008,4.09
E00132011,10.48
E00132012,2.69
E00132013,0.16
E00132021,1.8
E00132022,0.39
E00132023,6.41
E00132024,0.44
E00132025,0.5
E00132027,0.94
E00132028,16.15
E00132029,39.23
E00132030,57.49
E00132031,5.81
E00132032,53.7
E00132033,14.2
E00132034,14.79
E00132035,44.12
E00132036,0.16
E00132037,0.98
E00132038,48.4
E00132039,81.91
E00132040,48.93
E00132041,38.73
E00132042,24.52
E00132043,24.18
E00132044,17.73
E00132045,19.05
E00132046,40.59
E00132047,1.9
E00132048,1.03
E00132049,3.76
E00132061,22.2
E00132062,13.49
E00132063,22.32
E00132064,30.57
E00132065,29.32
E00132066,47.02
E00132067,35.87
E00132068,60.75
E00132069,39.56
E00132070,54.99
E00132071,49.51
E00132072,36.37
E00132073,90.06
E00132074,40.64
E00132075,51.55
E00132076,36.51
E00132077,23.43
E00132078,46.22
E00132079,71.24
E00132080,41.62
E00132081,59.21
E00132082,42.01
E00132083,43.92
E00132084,59.45
E00132085,53.87
E00132086,47.63
E00132087,26.1
E00132088,7.63
E00132089,46.76
E00132090,2.68
E00132091,12.15
E00132092,64.06
E00132093,58.95
E00132094,28.95
E00132095,75.69
E00132096,33.72
E00132097,39.36
E00132098,41.69
E00132099,20.38
E00132100,82.31
E00132101,40.7
E00132102,49.11
E00132103,44.5
E00132104,63.86
E00132105,125.09
E00132106,73.77
E00132107,33.11
E00132108,31.29
E00132109,57.69
E00132110,50.66
E00132111,0.13
E00132112,0.16
E00132113,0.21
E00132114,3.58
E00132115,13.21
E00132116,0.15
E00132117,7.55
E00132118,0.37
E00132119,13.6
E00132120,12.72
E00132121,6.95
E00132122,29.52
E00132123,23.34
E00132124,27.12
E00132125,37.77
E00132126,6.18
E00132127,3.6
E00132128,45.34
E00132129,81.27
E00132130,50.49
E00132131,20.96
E00132132,12.63
E00132133,32.26
E00132134,9.25
E00132135,32.67
E00132136,26.05
E00132137,49.13
E00132138,67.97
E00132139,69.28
E00132140,49.69
E00132141,9.28
E00132142,10.83
E00132143,30.51
E00132144,29.09
E00132145,0.47
E00132146,1.95
E00132147,45.23
E00132148,0.73
E00132149,5.97
E00132150,5.67
E00132151,24.34
E00132152,16.27
E00132153,27.84
E00132201,6.45
E00132202,35.28
E00132203,1.02
E00132204,26.37
E00132206,1.21
E00132207,0.28
E00132208,1.93
E00132209,20.21
E00132210,12.27
E00132211,6.42
E00132212,14.39
E00132213,3.05
E00132214,3.28
E00132215,1.75
E00132217,64.23
E00132218,0.2
E00132228,1.03
E00132229,0.12
E00132230,0.2
E00132231,0.35
E00132232,0.3
E00132233,0.49
E00132234,0.12
E00132347,0.13
E00132348,0.4
E00132349,0.18
E00132942,10.83
E00132943,25.58
E00132944,1.58
E00132945,22.5
E00132946,0.14
E00132947,3.2
E00132948,15.95
E00132949,0.45
E00133029,0.29
E00133030,4.9
E00133031,1.45
E00133032,5.08
E00133033,10.54
E00133034,26.45
E00133035,10.12
E00133036,0.2
E00133037,20.95
E00133038,28.41
E00133039,1.86
E00133040,24.36
E00133041,33.87
E00133042,8.53
E00133043,0.1
E00133044,3.21
E00133045,0.21
E00133069,0.48
E00133070,0.17
E00133074,0.29
E00133075,0.2
E00133089,0.19
E00133090,0.61
E00133091,0.48
E00133092,0.74
E00133155,0.15
E00133263,1.57
E00169322,151.43
E00169323,25.64
E00169324,11.07
E00169325,33.94
E00169326,33.92
E00169339,27.86
E00169340,6.68
E00169341,2.8
E00169342,77.68
E00169343,34.67
E00169347,62.0
