geocode,female,male
E01006412,788,669
E01006413,690,729
E01006414,738,628
E01006415,1093,1008
E01006416,800,651
E01006417,630,680
E01006418,720,637
E01006419,763,729
E01006420,1069,997
E01006421,621,589
E01006422,645,624
E01006423,701,725
E01006424,1061,1009
E01006425,701,661
E01006426,638,592
E01006427,761,689
E01006428,763,748
E01006429,616,515
E01006430,725,607
E01006431,861,811
E01006432,789,737
E01006433,753,686
E01006434,825,696
E01006435,826,730
E01006436,763,703
E01006437,734,635
E01006438,620,580
E01006439,815,798
E01006440,778,676
E01006441,1234,1168
E01006442,647,625
E01006443,735,660
E01006444,757,626
E01006445,727,602
E01006446,735,629
E01006447,703,654
E01006448,963,714
E01006449,790,714
E01006450,766,656
E01006451,779,702
E01006452,808,720
E01006453,666,557
E01006454,627,595
E01006455,954,740
E01006456,781,814
E01006457,631,557
E01006458,759,654
E01006465,858,828
E01006467,703,572
E01006470,720,655
E01006471,804,683
E01006472,812,753
E01006473,663,585
E01006474,803,680
E01006475,805,721
E01006476,720,708
E01006477,735,651
E01006478,729,632
E01006479,744,651
E01006480,734,635
E01006481,716,630
E01006482,842,688
E01006483,694,647
E01006484,727,649
E01006485,789,755
E01006486,603,569
E01006487,810,719
E01006488,928,825
E01006489,743,691
E01006490,1461,1296
E01006491,1003,967
E01006492,700,658
E01006493,636,479
E01006494,846,583
E01006495,979,893
E01006506,679,672
E01006507,769,659
E01006508,726,668
E01006509,879,761
E01006510,621,578
E01006512,810,1070
E01006513,1480,1461
E01006514,931,1177
E01006515,613,595
E01006518,853,843
E01006519,658,628
E01006520,769,937
E01006521,824,836
E01006522,736,995
E01006523,757,751
E01006524,1310,1121
E01006525,608,601
E01006526,727,677
E01006527,771,683
E01006528,706,755
E01006529,664,640
E01006530,757,674
E01006531,772,686
E01006532,774,783
E01006533,728,680
E01006534,789,753
E01006535,873,766
E01006536,974,874
E01006537,1164,1093
E01006538,679,639
E01006539,726,711
E01006540,733,776
E01006541,807,786
E01006542,699,698
E01006543,649,598
E01006544,916,742
E01006545,804,708
E01006546,653,666
E01006547,721,769
E01006548,850,825
E01006549,664,998
E01006550,819,776
E01006551,787,794
E01006552,928,1101
E01006553,961,919
E01006554,821,871
E01006556,924,1087
E01006557,1030,1024
E01006558,687,670
E01006560,895,965
E01006562,805,709
E01006563,887,857
E01006564,884,837
E01006565,844,705
E01006566,776,730
E01006567,793,862
E01006568,872,745
E01006569,757,672
E01006570,757,722
E01006571,781,689
E01006572,679,528
E01006573,786,715
E01006574,727,661
E01006575,687,607
E01006576,890,803
E01006577,776,727
E01006578,723,657
E01006579,847,796
E01006580,685,650
E01006581,821,738
E01006582,843,799
E01006583,1016,742
E01006584,704,689
E01006585,700,654
E01006586,964,935
E01006587,796,828
E01006588,800,769
E01006589,790,728
E01006590,784,858
E01006591,827,806
E01006592,844,721
E01006593,783,758
E01006594,743,667
E01006595,940,805
E01006596,745,706
E01006597,895,772
E01006598,744,617
E01006599,632,489
E01006600,769,638
E01006603,739,671
E01006604,725,642
E01006605,791,740
E01006606,792,729
E01006607,813,718
E01006608,611,604
E01006609,674,609
E01006610,750,647
E01006611,645,646
E01006612,767,728
E01006613,705,655
E01006614,687,635
E01006615,691,611
E01006616,732,696
E01006617,754,667
E01006618,874,765
E01006619,846,753
E01006620,747,670
E01006621,751,717
E01006622,768,751
E01006623,738,724
E01006624,800,756
E01006625,741,675
E01006626,772,676
E01006627,724,654
E01006628,1003,871
E01006629,660,595
E01006630,729,609
E01006632,914,928
E01006633,736,696
E01006637,895,701
E01006638,687,532
E01006639,822,687
E01006640,994,886
E01006641,924,816
E01006642,718,572
E01006643,991,831
E01006644,1053,987
E01006645,753,671
E01006646,906,993
E01006647,770,652
