geocode,bad,fair,good
E06000001,7488,14607,69933
E06000002,10543,19719,108150
E06000003,10599,21449,103129
E06000004,12132,26385,153093
E06000005,6203,15116,84245
E06000006,9865,17504,98377
E06000007,10825,24446,166957
E06000008,10763,20725,116001
E06000009,13466,23977,104622
E06000010,18177,38102,200127
E06000011,18010,48307,267862
E06000012,9660,23779,126177
E06000013,9662,24667,133117
E06000014,8188,23752,166111
E06000015,14662,35193,198897
E06000016,19902,44278,265659
E06000017,1291,4532,31546
E06000018,19729,41581,244370
E06000019,9592,25517,148368
E06000020,10395,22609,133637
E06000021,20008,38179,190821
E06000022,7429,20856,147731
E06000023,23481,52446,352307
E06000024,10658,27670,164238
E06000025,11011,30940,220816
E06000026,16696,35756,203932
E06000027,9892,21355,99712
E06000030,9578,25056,174522
E06000031,9501,24362,149768
E06000032,10017,25277,167907
E06000033,9968,24420,139270
E06000034,7516,19389,130800
E06000035,13277,34307,216341
E06000036,3677,11394,98134
E06000037,4865,16456,132501
E06000038,5846,16770,133082
E06000039,6297,16288,117620
E06000040,4953,14234,125373
E06000041,4247,14566,135567
E06000042,10288,26929,211604
E06000043,14428,32298,226643
E06000044,10354,25464,169238
E06000045,12071,29278,195533
E06000046,8953,22378,106934
E06000047,41901,82404,388937
E06000049,18161,47306,304660
E06000050,18260,42604,268744
E06000051,15436,41475,249218
E06000052,33528,79181,419564
E06000053,66,248,1889
E06000054,19080,57221,394680
E06000055,7144,19812,130523
E06000056,9800,29202,215379
E06000057,20000,48580,247448
E06000058,20783,52396,305709
E06000059,17963,51990,295200
E06000060,17509,53987,433787
E06000061,15596,41916,259339
E06000062,16027,45306,313768
E07000008,4503,12021,107343
E07000009,3326,10131,70361
E07000010,5883,15760,73619
E07000011,6681,19682,143145
E07000012,4775,15792,128188
E07000026,6028,14210,76184
E07000027,5786,10898,52403
E07000028,6407,15030,86087
E07000029,4820,10516,55267
E07000030,2349,7195,43020
E07000031,4695,14117,84846
E07000032,7352,18336,96621
E07000033,6544,12965,56357
E07000034,7908,16984,78896
E07000035,3228,9718,58170
E07000036,6304,16762,89015
E07000037,4716,12011,74165
E07000038,6828,15734,76461
E07000039,4638,12348,77625
E07000040,6777,19960,105720
E07000041,5622,14075,98076
E07000042,3535,10398,63817
E07000043,5258,13264,75145
E07000044,4077,11075,67988
E07000045,6822,18237,99161
E07000046,3967,9843,50029
E07000047,2752,7646,43155
E07000061,6150,15251,78011
E07000062,6715,14276,69263
E07000063,5249,13900,78353
E07000064,5739,14960,69889
E07000065,6631,19408,122876
E07000066,9657,23145,141695
E07000067,6417,18291,122376
E07000068,2951,8565,62085
E07000069,4982,12963,70066
E07000070,6143,19261,142906
E07000071,7350,20925,144799
E07000072,5734,15435,103490
E07000073,4392,11203,66349
E07000074,2928,8269,50432
E07000075,3596,10832,68859
E07000076,10510,25052,102486
E07000077,2594,8620,68229
E07000078,4621,13631,97480
E07000079,3161,10220,69500
E07000080,4461,11879,65621
E07000081,5950,15933,99805
E07000082,4848,14441,93490
E07000083,3511,10213,68219
E07000084,5801,18047,143951
E07000085,4280,12885,98443
E07000086,4910,14538,105751
E07000087,4489,13638,93454
E07000088,4036,11224,67362
E07000089,2402,8432,80199
E07000090,6747,17188,96749
E07000091,8618,24871,142973
E07000092,3398,10099,80310
E07000093,4384,13530,98484
E07000094,3997,12354,100244
E07000095,4332,11544,77733
E07000096,5833,16778,122236
E07000098,4153,11433,84445
E07000099,4988,14965,107161
E07000102,3405,9772,74140
E07000103,3737,9911,76653
E07000105,5416,15027,97513
E07000106,7832,20211,123102
E07000107,4314,11837,81214
E07000108,7019,16745,87910
E07000109,5221,13629,82870
E07000110,6832,19291,129020
E07000111,4573,13180,97140
E07000112,6928,16465,84576
E07000113,7800,19118,108917
E07000114,10060,22377,101749
E07000115,4761,14263,101781
E07000116,4449,12788,97812
E07000117,6719,13682,66658
E07000118,5925,14222,87008
E07000119,4732,11619,59406
E07000120,6140,12225,62369
E07000121,8007,18960,111408
E07000122,6230,13431,69791
E07000123,8501,18585,113116
E07000124,2292,7049,47791
E07000125,4433,9603,53946
E07000126,5597,14240,89220
E07000127,6984,14800,88901
E07000128,7735,17189,82825
E07000129,3905,11764,78246
E07000130,6937,20620,138543
E07000131,2993,9707,72682
E07000132,4839,13974,86265
E07000133,1840,6295,42241
E07000134,4811,12978,75679
E07000135,2695,7524,45951
E07000136,3862,10252,50523
E07000137,11208,24915,100278
E07000138,4991,13005,75545
E07000139,5428,14941,87397
E07000140,5382,13968,68920
E07000141,6397,17767,109624
E07000142,4782,13100,71368
E07000143,7166,19565,103760
E07000144,5846,17475,101325
E07000145,6911,16130,74236
E07000146,9007,23441,115003
E07000147,6247,17412,77840
E07000148,7499,18620,106393
E07000149,5557,16575,101880
E07000163,2489,7387,45533
E07000164,3839,11235,74066
E07000165,5989,18633,133247
E07000166,1916,5988,44061
E07000167,2391,7329,42031
E07000168,7243,17588,83962
E07000169,3820,10654,68975
E07000170,8560,19484,91453
E07000171,7605,17794,87464
E07000172,5766,15614,88107
E07000173,5982,16473,91088
E07000174,8354,16922,79190
E07000175,6767,16874,91176
E07000176,4439,12779,93911
E07000177,5458,15844,120566
E07000178,5481,14320,132105
E07000179,4498,14409,115350
E07000180,4070,13063,103855
E07000181,3672,11685,89422
E07000187,5237,14619,89423
E07000188,6323,16930,91335
E07000189,7778,22282,131183
E07000192,6604,14091,76767
E07000193,5611,15302,92670
E07000194,5156,13259,82239
E07000195,8042,17802,98027
E07000196,5808,14901,87422
E07000197,6613,17316,106940
E07000198,5750,14432,76924
E07000199,4406,10314,62093
E07000200,3808,11624,72308
E07000202,6760,18053,108571
E07000203,3825,12432,80474
E07000207,4080,12360,114435
E07000208,2551,7988,64563
E07000209,4327,13442,119414
E07000210,3041,9607,72727
E07000211,5009,14866,117960
E07000212,2973,8767,68770
E07000213,3921,11509,80168
E07000214,2786,8613,74745
E07000215,3118,9450,70430
E07000216,3959,12768,104845
E07000217,3363,10184,85651
E07000218,3706,8725,49583
E07000219,7778,18133,99341
E07000220,4478,12580,83017
E07000221,5110,15315,100060
E07000222,5549,15719,116380
E07000223,3521,9181,48480
E07000224,8470,23299,117749
E07000225,4913,14900,93981
E07000226,4711,12856,89030
E07000227,4634,14580,112087
E07000228,4950,14938,119972
E07000229,5509,15082,84049
E07000234,4514,11885,77238
E07000235,3955,10494,60182
E07000236,4556,10913,68745
E07000237,4795,12625,81348
E07000238,5483,15608,95853
E07000239,5883,14881,77211
E07000240,4518,13802,122344
E07000241,4368,12427,93740
E07000242,4631,14325,118731
E07000243,3838,10652,69467
E07000244,13108,35663,190781
E07000245,7308,21316,142132
E07000246,7607,20595,116660
E08000001,18334,39139,219313
E08000002,10868,25430,148762
E08000003,35690,62651,404786
E08000004,15606,32778,176513
E08000005,16005,31303,164391
E08000006,17710,32849,183374
E08000007,15923,37601,229751
E08000008,15993,33009,170322
E08000009,11839,27549,187190
E08000010,22835,46797,248217
E08000011,13815,21420,110658
E08000012,40884,65422,360109
E08000013,14507,26198,134603
E08000014,19986,40620,213184
E08000015,23983,45687,250113
E08000016,19422,37956,173843
E08000017,21933,45748,234721
E08000018,19533,39278,198469
E08000019,34372,75733,442593
E08000021,19130,38018,223029
E08000022,13659,30156,156986
E08000023,12221,23700,112206
E08000024,23633,43951,207922
E08000025,71791,148782,852472
E08000026,19191,42006,255763
E08000027,20367,47828,244730
E08000028,23713,48087,236263
E08000029,10738,27056,168880
E08000030,19495,41653,208175
E08000031,17943,39096,192431
E08000032,30708,71580,420164
E08000033,11279,28091,164456
E08000034,24319,58042,340097
E08000035,40652,95515,615318
E08000036,25034,50595,250208
E08000037,15929,31158,153127
E09000001,246,643,6486
