geocode,asian,black,mixed,other,white
E00015166,189,15,13,30,163
E00015167,120,63,23,12,247
E00015168,32,43,15,19,224
E00015169,10,74,26,8,147
E00015171,42,38,12,5,137
E00015172,10,24,10,3,88
E00015173,26,5,9,5,198
E00015175,23,52,11,4,129
E00015176,177,6,5,5,152
E00015178,23,43,16,5,82
E00015179,26,75,22,8,134
E00015180,51,86,26,14,174
E00015181,49,3,7,3,184
E00015182,25,10,9,2,145
E00015183,17,13,20,6,148
E00015184,17,44,9,3,93
E00015185,8,28,11,2,235
E00015186,23,46,14,6,87
E00015187,23,31,16,4,133
E00015188,6,36,6,3,88
E00015189,33,83,12,20,124
E00015190,24,129,48,10,146
E00015191,16,58,15,6,91
E00015192,19,75,17,6,115
E00015193,8,15,11,4,73
E00015194,2,51,24,11,83
E00015195,43,109,18,12,167
E00015196,15,19,16,7,106
E00015197,7,41,15,2,178
E00015198,11,45,27,1,172
E00015199,44,65,33,5,232
E00015201,9,3,4,1,242
E00015202,42,21,7,1,86
E00015620,14,104,15,10,123
E00015622,24,47,24,7,189
E00015623,47,47,16,9,268
E00015624,14,14,19,10,220
E00015625,18,149,33,12,128
E00015627,12,19,8,6,257
E00015628,35,40,27,8,283
E00015629,24,104,29,12,123
E00015630,33,85,17,17,238
E00015631,20,25,18,3,83
E00015632,14,76,18,9,120
E00015634,36,163,38,22,194
E00015635,16,15,19,7,304
E00015636,20,95,30,5,190
E00015637,34,34,28,4,186
E00015638,19,23,23,4,218
E00015660,24,74,25,8,173
E00015661,11,10,10,6,310
E00015662,22,103,24,11,166
E00015663,14,100,39,5,141
E00015664,7,87,17,3,209
E00015665,15,27,11,5,171
E00015667,17,55,22,2,154
E00015668,20,81,11,4,101
E00015669,23,87,11,4,84
E00015670,13,76,16,8,135
E00015671,15,76,15,16,106
E00015672,25,25,23,4,306
E00015673,17,48,27,9,163
E00015674,17,7,11,0,212
E00015675,35,133,42,0,203
E00015676,11,73,31,24,212
E00015677,11,174,27,5,143
E00015678,25,18,35,12,339
E00015679,17,21,20,5,251
E00015680,9,23,22,7,204
E00015681,44,1,7,10,132
E00015682,7,57,9,7,129
E00015683,5,60,18,5,82
E00015684,16,7,11,0,307
E00015686,14,36,14,12,177
E00015687,44,106,18,20,158
E00015688,18,10,5,4,210
E00015689,8,102,29,4,98
E00015690,31,125,23,12,146
E00015691,29,101,6,1,98
E00015692,24,150,22,10,110
E00015693,23,136,20,7,137
E00015694,4,22,14,5,222
E00015695,18,77,32,7,157
E00015696,13,98,20,2,181
E00015697,36,141,21,9,133
E00015698,18,99,19,8,104
