geocode,female,male
E00042111,114,113
E00042112,143,137
E00042127,174,168
E00042179,147,113
E00042180,267,272
E00042183,153,164
E00042184,216,213
E00042186,88,101
E00042187,295,291
E00042188,165,175
E00042190,175,180
E00042192,112,114
E00042195,186,165
E00042197,128,138
E00042200,157,127
E00042203,132,105
E00042206,132,137
E00042208,121,113
E00042213,218,234
E00042214,136,146
E00042216,131,136
E00042220,171,182
E00042221,101,99
E00042224,144,148
E00042225,146,145
E00042227,133,122
E00042402,124,105
E00042403,203,197
E00042404,181,171
E00042405,130,138
E00042406,273,305
E00042407,142,156
E00042408,180,193
E00042409,126,146
E00042410,148,158
E00042411,103,147
E00042412,166,190
E00042413,161,202
E00042414,108,124
E00042415,147,181
E00042416,119,114
E00042417,134,113
E00042418,150,153
E00042419,170,235
E00042420,139,129
E00042421,109,109
E00042424,142,168
E00042425,161,167
E00042426,151,175
E00042427,194,194
E00042428,161,183
E00042429,161,162
E00042430,112,132
E00042431,129,120
E00042432,133,229
E00042433,110,127
E00042434,137,122
E00042435,150,204
E00042436,110,122
E00042437,147,170
E00042438,191,210
E00042557,143,163
E00042558,102,98
E00042559,188,166
E00042560,172,153
E00042562,153,137
E00042564,162,145
E00042768,129,112
E00042769,153,148
E00042770,153,127
E00042772,170,164
E00042773,119,113
E00042774,123,94
E00042775,182,174
E00042776,195,193
E00042780,139,159
E00042781,121,111
E00042782,154,153
E00042783,168,129
E00042784,116,103
E00042785,117,114
E00042786,167,177
E00042787,122,200
E00042788,118,148
E00042789,159,149
E00042790,126,117
E00042791,163,137
E00042792,163,128
E00042793,167,135
E00042794,171,195
E00042795,182,176
E00042796,135,144
E00042797,86,100
E00042798,159,146
E00042799,117,102
E00042800,123,114
E00042802,156,176
E00042931,138,113
E00042932,162,144
E00042933,185,162
E00042934,164,155
E00042935,135,123
E00042937,129,115
E00042939,154,142
E00042940,145,128
E00042941,159,147
E00042942,156,123
E00042943,153,162
E00042944,124,124
E00042945,135,111
E00042946,163,132
E00042947,124,116
E00042948,110,118
E00042949,146,139
E00042950,142,100
E00042951,192,178
E00042952,156,157
E00042953,179,125
E00042954,120,124
E00042955,130,106
E00042956,156,131
E00042957,140,117
E00042958,151,130
E00042959,152,154
E00042960,152,168
