geocode,bad,fair,good
E01009719,72,193,1178
E01009720,48,137,1231
E01009721,138,322,1438
E01009722,51,177,1142
E01009723,36,134,1088
E01009724,54,168,1275
E01009725,102,222,1115
E01009726,68,183,1081
E01009727,59,162,1132
E01009728,52,193,1106
E01009729,102,221,1247
E01009730,38,136,1314
E01009731,79,191,1296
E01009740,97,239,1346
E01009741,190,377,1724
E01009742,147,273,1148
E01009743,124,334,1337
E01009744,151,288,1432
E01009745,104,270,1339
E01009831,123,307,1039
E01009832,141,282,1227
E01009834,128,282,1195
E01009836,198,298,1338
E01009837,118,239,1247
E01009845,44,198,1279
E01009846,78,207,1188
E01009847,84,232,1149
E01009848,77,215,1138
E01009849,104,235,1202
E01009850,62,192,1226
E01009851,82,215,1141
E01009852,63,198,1232
E01009853,63,230,1094
E01009854,51,185,1297
E01009855,63,193,1376
E01009856,132,289,1562
E01009857,112,242,1259
E01009858,83,216,1266
E01009859,39,188,1389
E01009860,56,242,1235
E01009903,55,215,1188
E01009904,88,233,1126
E01009905,46,192,1151
E01009906,123,313,1185
E01009907,70,182,1216
E01009908,55,191,1406
E01009909,100,228,1034
E01009910,106,277,1196
E01009914,70,223,1136
E01009915,137,277,1307
E01009916,94,253,1348
E01009917,67,167,1032
E01009918,118,273,1033
E01009919,67,212,961
E01009920,66,144,1199
E01013986,115,236,1351
E01013987,59,247,1321
E01013988,138,330,1396
E01013989,124,221,1221
E01013991,50,161,1121
E01013998,46,191,1092
E01014000,68,204,1124
E01014001,59,168,1207
E01014002,101,312,984
E01014003,91,232,1189
E01014004,84,195,1140
E01014005,116,255,1181
E01014006,74,179,1326
E01014007,84,228,1418
E01014010,73,214,1339
E01014011,78,162,1273
E01014012,119,230,1327
E01014013,72,202,1662
E01014014,50,174,1587
E01014015,78,198,1363
E01014022,68,212,1771
E01014023,68,189,1503
E01014024,52,170,1064
E01014025,53,225,1132
E01014027,58,164,1031
E01014028,65,201,1179
E01014029,73,213,1228
E01014030,65,164,1159
E01014041,92,306,1117
E01014042,104,243,1315
E01014043,66,212,847
E01014044,76,184,1213
E01014045,81,222,1268
E01014046,73,237,1140
E01014047,127,238,1074
E01014048,143,256,1057
E01014075,69,221,1413
E01014076,97,263,1821
E01014077,68,227,1260
E01014078,88,212,1161
E01014081,74,173,1194
E01014082,101,239,1552
E01014083,91,214,1301
E01014084,96,236,1210
E01014085,70,188,1162
E01014086,89,214,1145
E01014087,67,181,1223
E01014088,68,196,1150
E01014089,80,203,1193
E01014090,67,170,1262
E01014091,48,193,1257
E01014094,77,202,1246
E01014095,56,194,1244
E01014096,66,164,1273
E01014097,61,191,1063
E01014100,69,191,1287
E01028829,55,201,1055
E01028848,97,260,1287
E01028849,132,297,1532
E01028858,92,298,1733
E01028993,68,187,1285
E01028995,66,195,1299
E01028996,39,175,1104
E01028999,78,254,1228
E01029000,82,191,868
E01029001,75,230,1663
E01029002,95,212,1013
E01029004,55,148,842
E01029006,134,298,1187
E01029007,89,162,888
E01029009,55,192,897
E01029010,77,183,1130
E01029011,116,229,1128
E01029012,65,211,1642
E01029015,65,163,1171
E01029649,72,211,875
E01029650,75,205,1247
E01029651,126,249,1170
E01029652,62,204,1464
E01029653,72,188,1005
E01032137,61,216,1257
E01032138,35,175,1209
E01032139,48,163,1459
E01032140,39,199,1464
E01032141,48,177,1254
E01032179,59,190,1426
E01032180,109,258,1465
E01032181,152,273,1679
E01032182,127,234,1655
E01032183,54,179,1173
E01032184,108,288,1145
E01032185,64,201,1163
E01032186,122,172,1151
E01032187,119,333,1265
E01032188,114,280,1581
E01032189,89,259,1634
E01032190,70,247,1532
E01032191,124,310,1878
E01032192,95,235,1270
E01032193,90,304,1778
E01032194,86,269,1093
E01032195,83,271,1258
E01032196,101,298,1193
E01032197,60,214,1229
E01032199,85,194,1473
E01032200,141,289,1633
E01032201,103,225,1260
E01032202,133,283,1319
E01032203,100,240,1154
E01032204,122,272,1214
E01032205,43,168,859
E01032206,76,203,901
E01032207,57,134,1250
E01032208,81,215,1168
E01032209,43,134,1306
E01032210,67,169,894
E01032211,82,297,1400
E01032212,85,217,1616
E01032213,61,210,1318
E01032214,163,394,1631
E01032215,85,224,814
E01032216,86,229,1212
E01032217,77,244,1250
E01032218,79,200,1298
E01032219,43,169,1407
E01032220,51,159,1282
E01032221,37,141,1207
E01032222,44,169,1176
E01032223,55,223,1864
E01032279,51,148,1100
E01032280,90,195,1325
E01032281,47,145,1174
E01032282,82,206,1471
E01032283,86,248,1309
E01032284,70,228,1673
E01032285,63,190,1440
E01032286,57,214,1418
E01032287,68,228,1319
E01032288,85,231,1262
E01032289,66,209,1211
E01032290,73,236,1213
E01032292,78,200,1351
E01032294,74,177,1195
E01032295,97,283,2039
E01032296,73,228,1349
E01032297,53,183,1369
E01032298,87,265,1442
E01032299,77,167,1295
E01032300,68,191,1328
E01032301,91,240,1097
E01032302,117,214,910
E01032303,84,199,892
E01032304,119,255,1073
E01032305,73,240,1342
E01032306,98,220,1216
E01032307,119,262,1410
E01032308,96,187,1303
E01032309,94,190,1296
E01032310,76,223,1163
E01032311,108,256,1161
E01032312,71,178,1216
E01032313,98,182,1068
E01032314,46,116,973
E01032315,57,213,1826
E01032316,63,182,930
E01032317,81,195,1230
E01032318,106,248,1230
E01032319,83,247,1380
E01032320,46,176,1594
E01032321,109,206,1177
E01032322,150,328,1340
E01032323,42,185,1254
E01032324,36,145,1184
E01032325,44,97,1456
E01032326,50,167,1191
E01032327,85,215,1264
E01032328,93,205,1189
E01032329,99,273,1616
E01032330,39,151,1027
E01032331,147,263,976
E01032332,140,267,790
E01032333,101,240,1621
E01032334,73,194,2083
E01032335,24,111,1467
E01032336,19,99,1447
E01032337,42,169,1687
E01032338,47,142,1889
E01032339,32,125,1506
E01032346,37,132,1162
E01032354,145,334,1973
E01032355,78,168,1047
E01032357,88,183,916
E01032358,101,239,1110
E01032359,163,403,1237
E01032360,106,283,1544
E01032361,62,169,1463
E01032362,54,176,1749
E01032363,35,181,1305
E01032364,36,155,1470
E01032365,132,285,1386
E01032366,84,245,1273
E01032367,68,224,1195
E01032368,107,178,943
E01032369,97,181,1265
E01032370,56,165,1044
E01032371,80,210,1058
E01032372,58,165,1229
E01032373,38,153,1062
E01032386,50,158,1122
E01032387,58,166,1160
E01032399,99,226,1365
E01032400,64,232,1955
E01032401,65,217,1214
E01032402,21,103,1382
E01032403,58,170,1216
E01032404,111,292,1957
E01032418,41,185,1089
E01032419,67,220,1026
E01032420,35,111,1115
E01032421,39,160,1044
E01032422,53,142,1252
E01032423,116,293,1090
E01032424,112,260,1051
E01032425,100,251,1079
E01032426,85,252,1102
E01032427,105,229,1229
E01032428,90,262,1283
E01032429,52,244,1224
E01032430,92,257,1329
E01032431,60,190,1191
E01032432,89,206,1159
E01032433,54,152,1097
E01032434,125,234,1291
E01032435,101,253,1092
E01032436,80,217,1225
E01032437,135,250,1416
E01032438,67,215,1232
E01032439,70,198,1105
E01032440,110,233,847
E01032441,46,193,1018
E01032442,47,169,1255
E01032443,63,227,1045
E01032444,71,190,946
E01032445,117,271,1132
E01032446,60,208,1172
E01032447,51,174,1243
E01032448,42,150,1035
E01032449,91,211,1292
E01032450,157,369,1743
E01032451,61,228,1242
E01032452,83,246,1238
E01032453,177,316,1188
E01032454,116,275,1275
E01032455,77,229,1200
E01032456,90,205,925
E01032457,95,189,1064
E01032458,70,223,1074
E01032459,84,194,1160
E01032460,135,292,1358
