geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E02000024,84,291,2190,490,447,56,30,25,1573
E02000025,53,355,1916,212,255,48,19,18,1176
E02000026,20,188,1570,143,195,32,30,24,822
E02000027,31,489,2067,301,208,44,32,28,968
E02000028,34,231,1510,165,247,30,15,14,948
E02000029,43,364,1983,268,225,38,37,18,1219
E02000030,31,249,2188,201,464,37,41,14,931
E02000031,47,301,1366,160,294,34,39,13,1245
E02000032,33,199,1872,193,251,29,26,29,1173
E02000033,42,441,1838,182,204,54,31,22,1252
E02000034,58,438,1877,253,259,63,23,25,1180
E02000035,51,318,1417,226,302,33,26,9,1631
E02000036,38,551,2449,207,326,38,38,39,1247
E02000037,33,382,2233,210,399,27,30,50,1017
E02000277,52,374,1774,216,72,32,13,22,602
E02000278,63,503,1705,249,75,21,20,19,598
E02000279,67,600,2177,257,138,32,55,20,1259
E02000280,74,300,2069,365,222,28,29,33,973
E02000281,79,480,2152,311,134,32,22,34,676
E02000282,46,696,1637,245,65,26,34,9,508
E02000283,65,439,1914,219,93,20,26,28,607
E02000284,71,315,1767,406,236,35,26,20,1315
E02000285,49,183,1788,334,156,39,20,31,672
E02000286,47,239,1872,375,238,25,27,25,1433
E02000287,20,118,1537,140,289,15,29,13,845
E02000288,65,821,1967,391,91,19,21,15,784
E02000289,27,166,1645,115,197,18,28,28,829
E02000290,38,535,1125,240,67,7,19,11,582
E02000291,88,465,1779,335,170,32,28,20,1247
E02000292,71,511,2194,352,173,43,31,31,1094
E02000293,35,151,1554,153,240,19,16,26,827
E02000294,35,682,1778,201,89,30,27,15,660
E02000295,28,252,1780,169,239,24,27,26,1389
E02000296,39,451,1694,256,212,26,30,25,1831
E02000297,70,344,2575,249,267,27,24,44,1108
E02000298,61,200,1778,159,317,26,24,23,1532
E02000299,43,898,1534,237,102,18,24,20,763
E02000300,32,680,1505,204,93,18,27,13,788
E02000301,44,949,1516,224,76,21,29,12,810
E02000302,34,453,1868,169,194,36,31,24,1015
E02000303,39,641,1283,199,95,21,25,18,607
E02000304,62,188,1735,182,368,28,23,17,1475
E02000305,89,489,1637,231,299,45,20,20,1861
E02000306,35,880,1059,232,64,13,34,14,755
E02000307,39,680,2026,197,135,25,30,17,1020
E02000433,17,217,1698,143,396,22,24,20,977
E02000895,39,276,1877,147,162,27,21,57,776
E02000898,47,327,1870,181,147,42,19,41,877
E02000899,43,365,1996,225,113,46,38,59,932
E02003258,51,158,3700,226,159,18,23,15,295
E02003259,49,147,2237,263,76,33,18,19,177
E02003260,66,371,2204,325,64,17,23,40,167
E02003261,42,123,2005,205,124,15,11,27,141
E02003262,68,252,2778,384,107,17,23,71,385
E02003263,94,323,3628,548,144,27,34,53,356
