geocode,bad,fair,good
E00000922,20,49,305
E00000923,32,58,107
E00000924,18,50,265
E00000925,13,26,363
E00000926,10,27,323
E00000927,6,51,334
E00000928,14,40,318
E00000929,12,35,370
E00000930,19,39,351
E00000931,11,39,352
E00000932,8,52,358
E00000933,17,54,343
E00000934,9,44,367
E00000935,23,50,327
E00000936,17,45,304
E00000937,20,58,344
E00000938,22,34,305
E00000939,17,53,377
E00000940,22,47,244
E00000942,30,35,140
E00000943,19,50,269
E00000944,7,52,375
E00000945,14,46,305
E00000946,13,38,384
E00000961,25,38,369
E00000962,26,52,231
E00000963,18,42,329
E00000964,16,29,280
E00000965,15,28,252
E00001108,9,30,369
E00001117,7,24,285
E00001118,17,40,374
E00001119,12,28,291
E00001120,20,37,294
E00001121,24,48,274
E00001122,12,28,286
E00001123,18,33,307
E00001124,22,45,310
E00001125,14,39,319
E00001126,13,31,259
E00001127,8,33,277
E00001128,9,39,403
E00001129,20,36,315
E00001130,20,32,328
E00001131,14,39,289
E00001132,16,42,262
E00001133,18,31,267
E00001134,27,54,284
E00001136,21,57,394
E00001137,23,48,309
E00001138,10,41,306
E00001139,9,41,312
E00001140,26,34,206
E00001206,39,35,302
E00001207,11,27,268
E00001208,13,37,354
E00001209,8,27,302
E00001210,8,33,301
E00001211,23,72,368
E00001212,5,23,259
E00001213,26,29,261
E00001214,17,51,174
E00001215,13,37,247
E00001216,12,28,241
E00001217,4,25,263
E00001218,10,39,227
E00001219,6,23,257
E00001220,16,38,325
E00001221,5,27,279
E00001222,5,20,288
E00001223,3,44,322
E00001224,13,34,238
E00001225,8,37,307
E00001226,12,38,281
E00001227,9,37,281
E00001228,11,31,309
E00001229,7,31,325
E00001230,12,43,283
E00001231,15,24,190
E00001232,8,16,139
E00001233,8,32,326
E00001234,26,63,232
E00001235,17,32,367
E00001236,7,29,256
E00001237,7,34,274
E00001238,6,46,279
E00001239,12,27,226
E00001240,12,24,286
E00001241,13,39,241
E00001242,13,21,274
E00001243,11,15,257
E00001244,10,47,249
E00001245,11,38,176
E00001246,23,31,190
E00001247,6,45,215
E00001249,21,34,279
E00001250,5,21,262
E00001251,13,49,253
E00001252,20,54,167
E00001253,12,27,168
E00001254,52,41,301
E00001259,13,36,247
E00001266,21,45,176
E00001267,16,34,219
E00001295,14,44,322
E00001296,8,23,328
E00001297,10,18,323
E00001298,7,26,368
E00001299,13,32,281
E00001300,4,18,352
E00001301,10,21,350
E00001303,38,42,247
E00001304,16,51,233
E00001308,18,35,267
E00001309,13,36,204
E00001333,11,37,230
E00001334,9,39,221
E00001335,9,24,325
E00001336,16,40,270
E00001337,18,19,324
E00001340,18,39,312
E00001341,8,34,260
E00001342,14,29,225
E00001346,10,44,315
E00001349,13,47,194
E00001350,2,30,259
E00001351,19,56,170
E00001353,15,38,341
E00001354,11,38,295
E00001355,9,35,338
E00001356,35,55,211
E00001357,13,32,176
E00001367,10,28,288
E00001368,11,34,290
E00001369,7,29,312
E00001370,18,47,292
E00001371,14,34,215
E00001372,11,23,343
E00001373,12,50,351
E00001374,14,40,285
E00001375,8,23,337
E00001376,14,34,301
E00001380,3,29,348
E00001381,7,29,307
E00001382,13,28,321
E00001383,11,39,243
