geocode,asian,black,mixed,other,white
W00003479,0,6,0,0,217
W00003480,0,4,1,1,288
W00003481,3,0,4,0,220
W00003482,2,2,1,0,282
W00003494,0,0,0,0,316
W00003495,13,0,1,0,424
W00003630,5,1,5,1,382
W00003631,0,0,1,2,368
W00003636,0,0,3,0,241
W00003637,0,1,0,1,288
W00003638,5,1,4,0,340
W00003639,0,0,4,0,288
W00003640,2,0,2,1,349
W00003641,0,0,0,0,266
W00003642,0,0,2,0,225
W00003643,1,0,2,0,209
W00003644,0,1,1,0,270
W00003645,0,0,0,0,246
W00003646,1,2,5,0,210
W00003664,3,0,2,0,207
W00003670,4,0,1,0,341
W00003671,0,0,0,0,524
W00003672,0,0,0,0,247
W00003673,1,0,1,0,145
W00003674,2,0,0,0,207
W00003675,3,0,3,0,225
W00003676,0,0,3,2,232
W00003677,1,0,2,0,261
W00003678,0,0,2,4,229
W00003681,2,0,3,3,377
W00003682,1,0,2,2,298
W00003683,3,0,0,0,290
W00003684,2,0,2,0,210
W00003692,1,0,1,0,355
W00003693,1,0,0,0,280
W00003695,0,0,2,3,346
W00003696,1,1,1,0,296
W00003697,0,0,0,0,351
W00003811,1,0,0,0,334
W00003812,0,5,1,0,321
W00003813,2,0,2,0,285
W00003814,1,0,1,0,387
W00003815,2,0,3,1,488
W00010004,0,0,2,2,410
