geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E00067231,5,2,175,15,30,3,1,0,1
E00067233,1,0,158,8,11,2,0,0,0
E00067234,2,1,89,7,6,0,1,0,0
E00067235,2,1,70,4,1,0,0,1,0
E00067236,6,1,126,11,10,2,0,0,0
E00067237,1,1,110,15,10,1,1,0,2
E00067238,3,3,132,4,13,0,0,0,1
E00067239,2,0,93,9,2,2,0,0,1
E00067240,4,2,170,3,8,2,1,0,0
E00067242,2,1,121,26,4,1,1,0,0
E00067244,1,1,132,12,5,1,2,0,2
E00067245,4,2,119,14,5,1,0,1,1
E00067246,5,4,155,20,3,1,1,0,0
E00067247,1,0,214,22,20,0,0,0,1
E00067248,3,2,160,32,13,4,1,0,2
E00067249,6,2,107,18,1,0,2,1,0
E00067250,1,0,58,7,17,0,1,0,0
E00067251,6,3,109,5,9,0,0,0,0
E00067252,4,3,141,15,9,1,1,0,1
E00067253,4,4,208,6,2,1,2,0,1
E00067254,2,4,123,4,5,2,0,0,0
E00067255,3,0,89,13,19,3,3,0,0
E00067256,2,1,90,3,2,2,2,1,2
E00067257,6,0,93,8,8,0,0,0,1
E00067258,7,3,243,14,9,0,2,0,2
E00067259,4,2,107,4,5,2,0,0,0
E00067260,7,0,123,10,5,1,0,1,1
E00067261,2,4,105,7,3,3,0,0,1
E00067262,2,2,101,4,5,0,2,0,0
E00067263,6,3,158,18,20,0,1,0,1
E00067266,1,0,75,0,4,0,1,0,2
E00067267,1,1,112,5,13,0,1,0,2
E00067268,3,2,94,8,5,1,1,0,1
E00067269,2,1,120,3,6,2,5,0,0
E00067270,0,2,98,10,6,2,1,1,0
E00067271,3,0,76,7,1,1,0,0,0
E00067272,1,1,77,1,20,0,0,0,0
E00134042,0,0,46,1,9,0,0,0,0
E00134043,5,1,182,25,43,1,2,0,4
E00134044,1,0,52,5,9,0,0,0,0
E00134045,0,0,34,2,20,0,1,0,0
E00134046,0,1,134,11,7,0,1,1,3
E00134047,1,0,70,2,4,1,0,0,0
E00134048,7,4,135,24,9,1,5,0,2
E00134049,2,2,73,16,8,2,2,0,1
E00134050,1,6,135,30,6,2,2,0,0
E00134051,2,0,61,4,6,1,1,0,0
E00134053,1,3,202,10,23,2,1,0,4
E00134054,1,0,84,10,7,1,2,0,0
E00134055,1,0,150,10,15,1,1,0,1
E00134056,2,2,81,8,5,3,1,0,0
E00134057,1,2,105,8,9,3,2,0,1
E00134058,0,2,109,4,21,0,0,0,0
E00134059,2,5,126,11,23,2,4,0,2
E00134060,0,0,99,5,16,1,2,0,1
E00134061,4,0,144,9,24,1,0,0,0
E00134067,3,3,169,4,20,1,0,0,0
E00134086,5,1,146,10,16,1,3,0,2
E00134088,2,1,125,16,36,1,0,0,3
E00134089,5,0,81,8,9,0,0,0,0
E00134090,2,0,69,9,5,0,0,0,0
E00134091,1,0,116,9,16,0,1,0,0
E00134092,3,0,129,13,25,0,0,0,1
E00134093,1,1,83,6,30,0,3,1,0
E00134129,0,2,94,5,6,0,0,0,1
E00134130,1,3,133,7,27,0,2,0,0
E00134131,0,3,130,11,9,0,0,0,1
E00134132,1,4,127,16,11,3,1,0,1
E00134133,0,5,137,7,19,0,3,0,1
E00134140,1,0,44,2,3,1,1,0,1
E00134141,1,2,91,5,10,1,2,1,0
E00134142,2,1,265,9,13,0,1,0,3
E00134143,0,0,127,10,6,0,0,0,2
E00134144,3,2,180,3,16,0,3,0,0
E00134145,0,1,148,6,10,1,4,0,2
E00134146,2,1,102,10,11,2,3,0,2
E00134147,2,4,180,5,11,0,3,0,2
E00134149,1,1,149,8,6,4,0,1,0
E00134150,0,0,118,6,24,0,1,0,1
E00134151,1,3,125,8,19,0,1,0,0
E00134157,2,1,100,10,17,1,3,0,1
E00134158,2,0,84,6,16,0,1,2,1
E00134183,0,1,132,8,33,1,1,0,0
E00134184,3,1,178,15,38,2,3,0,4
E00134185,5,1,157,17,28,1,2,0,1
E00134186,1,0,141,18,20,1,1,0,1
E00134187,2,0,99,5,16,2,3,0,0
E00134188,2,0,160,6,24,1,0,0,0
E00134189,0,0,115,4,11,2,3,0,0
E00134190,1,5,160,10,22,0,0,0,1
E00134192,1,3,92,5,8,1,1,0,1
E00134193,2,1,184,15,15,2,1,0,1
E00134207,1,1,69,4,10,0,1,0,0
E00172858,8,49,118,47,5,1,3,0,2
E00172864,1,0,133,16,13,1,0,0,0
