geocode,bad,fair,good
E02002985,257,718,4238
E02002986,333,827,3864
E02002987,203,695,4506
E02002988,236,644,4589
E02002989,229,731,4364
E02002990,173,576,5171
E02002991,433,1174,8652
E02002992,215,612,5111
E02002993,266,567,4683
E02002994,342,1091,8766
E02002995,391,813,4111
E02002996,248,844,9541
E02002997,228,632,5609
E02002998,276,673,4933
E02002999,289,762,4478
E02003000,424,1155,7623
E02003001,181,595,4729
E02003002,260,714,4445
E02003003,239,671,4771
E02003004,293,741,5268
E02003005,193,678,5283
E02003006,349,967,7565
E02003007,411,1121,6775
E02003008,289,736,4595
E02003009,212,753,4910
E02003010,227,652,4975
E02003011,232,714,4176
E02003012,783,1537,8379
E02003013,873,1833,9250
E02003014,580,1283,5892
E02003015,349,770,4682
E02003016,433,954,6142
E02003017,360,780,4902
E02003018,355,805,4568
E02003019,657,1346,7336
E02003020,216,667,5350
E02003021,202,648,5921
E02003022,186,591,5090
E02003023,429,904,4638
E02003024,539,1314,6906
E02003025,522,1047,5197
E02003026,275,793,8201
E02003027,327,956,10628
E02003028,234,737,7553
E02003029,401,877,4944
E02003030,371,871,5934
E02003031,254,742,9257
E02003032,398,956,5928
E02003033,214,584,8201
E02003034,668,1304,10291
E02003036,279,633,7645
E02003037,190,551,7993
E02003038,373,923,5063
E02003039,564,1141,6340
E02003040,530,1207,7388
E02003041,139,438,5617
E02003043,244,716,9978
E02003044,255,702,4841
E02003045,200,524,6166
E02003046,443,1096,7675
E02003047,464,1076,8497
E02003048,280,744,5492
E02003049,391,1038,5843
E02003050,599,1156,6697
E02003051,338,687,5639
E02003052,343,789,5370
E02003053,427,1006,6633
E02003054,301,792,5360
E02003055,609,1238,6453
E02003056,694,1159,5363
E02003057,353,861,4608
E02003058,649,1319,7019
E02003059,366,822,4450
E02003060,721,1638,8443
E02003061,488,974,4292
E02003062,573,1041,4222
E02003063,338,998,5704
E02003064,664,1145,4726
E02003065,352,1078,7073
E02003066,218,666,5130
E02003067,279,758,6489
E02003068,312,854,5014
E02003070,439,1221,10448
E02003072,427,1339,7279
E02003073,221,678,5686
E02003075,189,603,4996
E02003077,197,688,5090
E02003090,280,832,5806
E02003091,284,790,5499
E02003092,245,860,6810
E02003093,234,752,5595
E02003094,326,934,7092
E02003095,271,760,6092
E02003096,266,803,5384
E02003097,263,824,5133
E02003098,218,727,9093
E02003099,345,1016,5464
E02003100,577,1528,8406
E02003101,226,784,9551
E02003102,278,738,5504
E02003103,236,765,6215
E02003104,306,921,6427
E02003105,286,853,5159
E02003106,293,891,9323
E02003107,524,1403,8680
E02003108,423,1067,7817
E02003109,212,677,5096
E02003110,171,769,9429
E02003111,291,841,5162
E02003112,393,969,5019
E02003113,381,1109,8677
E02003114,385,1061,5542
E02003115,545,1275,7339
E02003116,487,1230,5840
E02003117,501,1126,6955
E02003118,368,1072,8759
E02003119,583,1273,8488
E02003120,420,1061,6912
E02003121,393,1229,8548
E02003172,485,1067,4675
E02003173,524,1162,4922
E02003174,456,1210,6430
E02003175,387,1134,7461
E02003176,598,1219,5202
E02003177,291,881,6805
E02003178,523,1209,6610
E02003179,577,1039,4853
E02003180,410,1013,8058
E02003181,310,886,7300
E02003182,257,753,5551
E02003183,308,775,5986
E02003194,231,700,5310
E02003195,283,709,4620
E02003196,390,1233,8680
E02003197,319,758,5738
E02003198,333,901,6030
E02003199,447,1309,7424
E02003200,693,1634,7635
E02003201,712,1529,8332
E02003214,498,1049,4781
E02003215,302,888,5803
E02003216,467,1415,7213
E02003217,446,978,5091
E02003218,464,970,5141
E02003219,276,715,5695
E02003220,441,1305,8528
E02003221,371,970,5109
E02003222,169,489,5648
E02003223,359,1092,8221
E02003224,345,1126,7271
E02003225,203,578,5175
E02003226,371,964,7017
E02003227,539,984,4816
E02003228,258,806,5526
E02003229,190,547,4924
E02003230,281,769,6223
E02003231,656,1301,6557
E02003232,342,729,7074
E02003233,559,1322,6978
E02003234,402,1202,7080
E02003235,302,904,6096
E02003236,534,1404,8574
E02003368,193,626,4756
E02003376,198,709,4860
E02003384,185,672,5528
E02003550,394,1033,6451
E02003552,510,981,4677
E02003554,315,807,4957
E02003555,443,1102,5780
E02003558,407,912,5293
E02003559,284,850,6679
E02003560,526,1037,5602
E02003563,416,989,6312
E02003567,401,984,6280
E02003568,304,731,7474
E02003569,363,853,6212
E02003571,264,727,6173
E02004236,251,786,4736
E02004237,407,1119,6257
E02004238,498,1397,5199
E02004239,293,971,4323
E02004240,445,997,4635
E02004241,490,1220,7300
