geocode,bicycle,bus,car_van,foot,home,moto,other,taxi,train_metro
E01009719,11,29,599,67,9,4,1,0,27
E01009720,6,23,707,47,35,0,3,0,21
E01009721,5,53,733,61,35,6,3,2,52
E01009722,10,24,580,45,19,7,5,5,21
E01009723,7,11,623,38,27,3,5,0,30
E01009724,16,33,731,38,35,2,2,0,37
E01009725,5,72,397,73,16,4,2,4,11
E01009726,10,39,530,63,15,5,4,2,40
E01009727,12,30,611,80,29,8,1,1,19
E01009728,8,28,586,67,19,5,1,4,17
E01009729,6,35,572,70,23,4,1,1,25
E01009730,12,28,740,43,38,4,3,0,38
E01009731,11,55,675,62,42,8,1,2,52
E01009740,18,81,540,86,15,10,4,3,16
E01009741,17,109,524,212,35,18,8,3,25
E01009742,15,48,478,41,17,12,3,3,9
E01009743,23,57,455,91,6,5,7,4,10
E01009744,14,55,577,130,24,9,4,2,25
E01009745,15,70,692,76,34,13,2,1,25
E01009831,3,57,439,42,17,8,2,3,15
E01009832,15,60,443,47,23,2,2,3,21
E01009834,10,44,500,67,20,9,1,4,39
E01009836,7,60,390,82,18,7,5,2,17
E01009837,10,43,481,51,23,4,4,7,45
E01009845,2,5,558,33,75,3,1,0,40
E01009846,4,13,566,29,38,4,2,1,33
E01009847,7,26,528,64,24,5,1,2,28
E01009848,7,26,480,69,29,6,3,2,40
E01009849,17,56,535,56,35,4,0,1,25
E01009850,8,9,484,67,63,5,4,1,60
E01009851,6,15,563,38,29,6,2,2,40
E01009852,7,16,515,23,60,3,3,1,38
E01009853,5,15,458,21,44,2,4,0,39
E01009854,3,6,572,27,58,3,3,1,49
E01009855,4,7,578,15,66,4,4,1,36
E01009856,6,67,584,116,45,3,3,3,78
E01009857,9,39,444,64,35,9,2,1,82
E01009858,10,25,360,72,41,0,5,0,65
E01009859,5,27,615,44,59,2,3,2,77
E01009860,2,24,536,31,32,5,2,1,41
E01009903,11,11,531,38,42,2,0,1,31
E01009904,8,15,538,41,40,2,6,2,29
E01009905,8,32,530,86,38,5,1,1,48
E01009906,9,56,460,109,34,4,4,5,40
E01009907,9,46,496,98,33,3,3,0,52
E01009908,10,36,583,110,61,3,6,2,56
E01009909,11,30,486,42,21,6,1,3,28
E01009910,12,55,469,64,21,7,1,0,19
E01009914,2,25,596,17,18,7,3,0,12
E01009915,14,40,739,46,38,9,3,1,24
E01009916,9,59,678,47,31,5,1,1,19
E01009917,4,33,542,34,13,5,2,2,8
E01009918,11,59,453,56,12,7,2,2,10
E01009919,6,34,500,18,26,6,1,0,14
E01009920,10,39,667,55,12,16,1,3,21
E01013986,39,15,447,289,27,3,6,8,5
E01013987,39,11,512,153,39,7,6,3,8
E01013988,49,4,518,189,41,3,12,2,19
E01013989,50,17,410,197,20,5,3,11,2
E01013991,9,11,499,28,90,7,7,0,4
E01013998,5,9,478,41,103,3,2,0,6
E01014000,6,5,505,54,129,3,5,0,6
E01014001,4,8,534,52,117,2,8,0,4
E01014002,7,8,421,85,58,3,6,0,2
E01014003,10,11,519,142,47,2,3,0,1
E01014004,1,6,488,62,130,3,7,0,4
E01014005,5,18,419,213,49,5,5,0,1
E01014006,25,12,619,44,80,5,2,1,6
E01014007,26,3,702,66,55,4,10,5,6
E01014010,34,18,360,440,53,2,14,4,9
E01014011,60,8,373,318,46,4,14,3,8
E01014012,37,18,620,67,51,7,4,0,3
E01014013,70,47,643,107,45,5,8,0,7
E01014014,14,8,714,61,161,7,9,1,14
E01014015,11,6,641,56,122,9,9,2,7
E01014022,23,22,950,42,84,5,6,3,11
E01014023,12,13,756,42,83,8,5,4,3
E01014024,4,3,437,44,154,5,10,0,5
E01014025,6,9,488,47,90,2,16,0,5
E01014027,13,8,415,27,121,4,12,3,13
E01014028,7,4,443,40,107,7,7,1,31
E01014029,18,5,410,47,89,6,6,0,31
E01014030,7,4,518,28,90,3,8,1,14
E01014041,13,5,482,127,32,1,3,1,5
E01014042,14,13,462,161,31,1,6,1,4
E01014043,15,5,372,66,20,3,1,0,2
E01014044,16,12,613,78,24,4,2,0,2
E01014045,23,4,590,125,64,1,6,1,6
E01014046,16,5,488,115,57,5,5,2,5
E01014047,11,7,369,154,26,2,3,1,9
E01014048,12,9,381,221,49,1,3,2,11
E01014075,60,13,549,201,40,10,7,4,4
E01014076,107,10,651,410,55,7,16,11,14
E01014077,59,16,576,116,23,6,5,5,0
E01014078,56,15,451,164,20,7,2,2,3
E01014081,8,17,571,33,68,5,4,4,10
E01014082,9,32,675,221,48,6,9,0,3
E01014083,44,9,577,96,32,11,6,2,4
E01014084,52,22,479,213,28,5,5,8,6
E01014085,53,31,454,154,18,9,8,6,3
E01014086,59,9,352,292,26,8,4,4,3
E01014087,65,26,618,127,28,11,6,4,9
E01014088,53,34,603,104,13,6,7,4,6
E01014089,52,27,523,125,23,4,5,10,2
E01014090,38,12,528,98,31,7,6,3,1
E01014091,60,6,461,117,33,5,3,6,8
E01014094,33,21,527,136,23,8,8,1,4
E01014095,55,14,475,138,13,6,7,10,8
E01014096,2,1,567,65,117,5,3,0,8
E01014097,3,7,473,50,119,5,7,2,9
E01014100,16,12,608,35,87,10,9,1,9
E01028829,0,6,514,38,45,1,1,1,10
E01028848,4,17,650,42,38,6,0,0,6
E01028849,7,32,674,92,36,9,3,0,2
E01028858,1,13,751,90,177,6,10,3,13
E01028993,5,5,540,62,148,6,6,0,12
E01028995,13,8,557,150,68,2,1,0,2
E01028996,5,1,442,48,99,4,10,1,8
E01028999,3,9,582,49,90,2,8,2,13
E01029000,5,2,406,27,82,2,11,0,13
E01029001,7,14,722,101,114,3,6,1,14
E01029002,5,2,412,107,48,4,1,0,7
E01029004,8,1,345,86,108,3,16,0,8
E01029006,13,1,404,150,72,1,3,3,14
E01029007,6,4,287,137,18,4,1,3,13
E01029009,11,5,404,107,26,5,1,0,3
E01029010,8,6,478,170,22,5,7,1,6
E01029011,17,5,440,176,40,3,3,4,8
E01029012,22,8,689,146,60,2,6,2,11
E01029015,1,2,499,62,140,4,5,1,6
E01029649,3,4,383,48,56,3,1,0,14
E01029650,7,8,576,53,71,6,1,0,19
E01029651,4,8,541,34,84,5,6,1,19
E01029652,4,10,738,36,89,1,7,1,25
E01029653,3,13,467,46,29,4,1,0,16
E01032137,2,6,609,34,58,3,4,0,25
E01032138,2,3,512,28,64,3,2,0,28
E01032139,3,8,595,45,69,1,4,0,62
E01032140,9,2,576,41,68,2,1,1,54
E01032141,3,3,548,33,73,2,7,0,39
E01032179,8,10,619,30,144,7,5,2,25
E01032180,12,5,682,40,119,8,8,1,11
E01032181,5,4,750,35,144,5,7,1,19
E01032182,15,17,765,46,120,7,6,0,13
E01032183,14,9,537,46,62,6,1,0,8
E01032184,15,12,449,58,40,4,4,0,17
E01032185,17,3,420,43,53,5,3,1,21
E01032186,9,12,340,95,48,2,2,0,36
E01032187,23,19,471,112,40,11,4,9,23
E01032188,24,25,714,102,37,10,4,2,18
E01032189,12,11,769,58,57,2,3,2,35
E01032190,19,5,684,41,99,10,4,0,9
E01032191,11,14,935,44,124,9,13,1,16
E01032192,10,11,560,31,55,10,1,0,14
E01032193,4,8,788,50,171,3,7,0,21
E01032194,17,13,471,79,33,11,6,0,13
E01032195,27,12,549,96,45,4,5,0,20
E01032196,21,18,527,104,61,8,2,2,12
E01032197,22,8,482,77,76,4,2,2,21
E01032199,8,11,617,44,113,5,7,0,13
E01032200,10,7,725,49,152,8,12,0,25
E01032201,11,13,454,87,35,5,4,1,9
E01032202,15,28,464,111,26,5,2,2,11
E01032203,31,16,494,108,35,4,8,1,16
E01032204,18,37,381,92,14,3,5,3,7
E01032205,6,4,360,29,70,2,10,1,5
E01032206,10,10,432,17,51,4,3,1,2
E01032207,8,17,600,23,63,6,3,3,9
E01032208,15,12,380,121,84,7,5,7,34
E01032209,6,6,295,101,56,2,7,1,22
