geocode,asian,black,mixed,other,white
W01000506,6,4,8,2,1402
W01000507,5,2,7,0,1182
W01000508,11,21,10,2,1134
W01000509,28,1,8,2,1745
W01000510,27,0,12,15,1172
W01000511,15,3,20,0,1136
W01000519,4,4,12,2,1605
W01000522,0,0,5,0,1288
W01000524,8,2,10,2,1952
W01000529,5,0,10,2,1599
W01000531,3,1,6,1,1824
W01000532,9,5,8,0,1957
W01000533,2,0,3,7,1427
W01000544,6,0,17,1,1058
W01000545,8,1,10,3,2023
W01000546,3,0,6,0,1119
W01000547,2,2,4,0,1172
W01000551,1,1,16,0,1292
W01000553,3,0,3,0,1226
W01000554,3,0,11,1,1811
W01000555,26,1,14,2,1373
W01000556,0,1,2,0,1146
W01000557,2,1,9,0,1520
W01000558,10,0,18,2,2028
W01000559,3,4,9,2,1433
W01000560,0,1,4,2,1200
W01000561,5,0,5,2,1244
W01000562,4,0,9,1,1682
W01000563,8,2,1,6,1190
W01000564,20,1,6,2,1182
W01000565,12,5,9,2,1845
W01000566,3,0,2,9,1532
W01000567,10,0,15,2,1961
W01000568,72,15,7,6,2201
W01000569,40,1,4,2,1280
W01000570,29,4,15,5,1421
W01000571,47,6,22,12,2173
W01000572,166,22,11,25,1626
W01000573,65,7,22,1,2401
W01000574,7,1,10,1,1858
W01000575,23,11,16,2,2465
W01000576,33,1,8,2,2218
W01000577,15,0,6,2,1575
W01000578,6,1,7,1,1656
W01000579,7,1,11,0,2333
W01000580,7,7,8,3,2311
W01000581,2,0,4,0,1458
W01000582,8,2,16,0,1633
W01000583,7,0,4,1,1433
W01000584,19,1,12,1,2050
W01000585,5,1,2,0,1400
W01000586,20,8,21,3,2150
W01000587,43,4,19,6,1931
W01000588,5,1,5,2,2144
W01000589,1,0,5,0,1146
W01000590,6,2,2,0,1077
W01000591,6,0,3,2,1176
W01000592,3,0,12,1,1288
W01000593,43,1,26,2,2691
W01000594,8,4,16,4,2222
W01000595,9,0,19,2,1893
W01000596,12,9,8,3,1477
W01000597,7,0,3,0,1151
W01000598,10,7,12,4,2186
W01000599,9,2,7,3,2129
W01000600,21,5,15,5,1612
W01000601,4,1,14,3,1522
W01000602,13,2,18,11,1262
W01000603,18,9,24,1,1845
W01000604,11,1,10,1,1491
W01000605,14,0,13,0,1807
W01000606,8,0,5,3,1634
W01000607,15,0,14,2,2029
W01000608,9,1,3,7,1414
W01000609,10,2,14,2,2380
W01000610,16,4,9,3,1678
W01000611,35,0,4,3,1622
W01000612,10,0,6,0,1825
W01000613,10,2,20,2,2184
W01000614,3,1,1,0,1400
W01000615,8,7,11,5,1504
W01000616,32,1,8,1,1051
W01000617,7,0,14,3,1463
W01000618,4,3,20,1,1849
W01000619,31,1,16,4,2060
W01000620,24,2,4,24,976
W01000621,21,1,19,3,1510
W01000622,10,1,3,1,1521
W01000623,9,0,8,0,1956
W01000624,16,2,8,0,2289
W01000632,4,0,6,1,1446
W01000633,6,1,4,2,1399
W01000634,7,0,6,1,1363
W01000637,24,5,8,10,1380
W01000638,31,3,5,7,1147
W01000639,18,7,8,5,1323
W01000640,89,11,14,7,1040
W01000641,78,9,24,9,1955
W01000642,26,6,7,3,1683
W01000643,38,5,6,5,1635
W01000644,45,7,19,6,1780
W01000645,22,5,10,12,1648
W01000646,9,1,13,13,2178
W01000648,9,2,9,1,1459
W01000649,4,2,7,3,1522
W01000670,8,4,6,3,1598
W01000671,7,4,8,2,1883
W01000672,3,0,10,1,1615
W01000673,5,0,15,0,1202
W01000674,4,2,20,0,2061
W01000685,8,0,5,0,1576
W01000688,8,7,10,2,1781
W01000689,7,1,9,1,1601
W01000693,2,0,0,0,1077
W01000694,30,1,3,1,1267
W01000695,7,2,9,2,1514
W01000696,2,1,0,0,1565
W01000700,7,0,15,1,1983
W01000710,13,3,6,0,2249
W01000711,8,2,13,0,2007
W01000720,9,0,8,3,1612
W01000721,4,2,5,0,1352
W01000722,15,0,4,1,1284
W01000723,1,1,5,5,1358
W01000728,0,0,8,2,2062
W01000729,4,0,0,1,1260
W01000730,3,0,17,0,1256
W01000735,13,2,21,4,2232
