geocode,employee,inactive,self-employed,student,unemployed
E02000024,3788,1857,1207,231,247
E02000025,3132,1614,801,165,253
E02000026,2237,1380,711,96,166
E02000027,3269,2207,719,252,392
E02000028,2430,1148,649,143,170
E02000029,3294,1650,784,163,319
E02000030,2896,2060,1160,136,225
E02000031,2519,1468,860,139,161
E02000032,2769,1679,920,149,187
E02000033,3123,1711,812,168,367
E02000034,3085,1751,944,178,264
E02000035,2988,1601,892,164,235
E02000036,3633,2233,1150,219,348
E02000037,3074,1956,1144,211,293
E02000277,2564,1487,464,195,325
E02000278,2605,2181,476,258,456
E02000279,3720,2505,691,307,621
E02000280,3241,1707,734,155,283
E02000281,3152,1842,618,220,399
E02000282,2655,2314,463,237,526
E02000283,2709,1993,561,217,408
E02000284,3390,1507,702,129,272
E02000285,2624,1269,538,142,184
E02000286,3403,1639,771,136,218
E02000287,2018,1717,858,199,165
E02000288,3341,2594,583,381,518
E02000289,2262,1461,667,155,176
E02000290,2118,1799,340,240,410
E02000291,3319,1845,702,217,373
E02000292,3566,1924,741,258,358
E02000293,2155,1281,764,123,147
E02000294,2750,2285,524,346,371
E02000295,2955,1765,861,170,289
E02000296,3359,2077,935,362,364
E02000297,3575,1923,969,214,226
E02000298,3014,1533,988,138,175
E02000299,2885,2255,573,263,444
E02000300,2668,1933,516,259,400
E02000301,2996,2661,493,269,549
E02000302,2890,1915,765,230,303
E02000303,2259,2295,487,262,463
E02000304,2903,1644,1052,163,194
E02000305,3506,1617,1003,247,286
E02000306,2468,2418,446,281,586
E02000307,3208,2323,767,283,468
E02000433,2418,1602,1007,109,153
E02000895,2594,1827,676,159,270
E02000898,2805,1740,626,161,281
E02000899,2952,1631,723,191,270
E02003258,3868,1547,629,194,222
E02003259,2561,1325,330,170,241
E02003260,2713,1937,385,280,509
E02003261,2155,1380,431,135,162
E02003262,3411,2264,525,217,438
E02003263,4240,2476,728,336,451
E02003264,3612,1699,711,264,213
E02003265,3632,1599,505,208,203
E02003266,3295,1950,434,276,432
E02003267,3370,3411,927,478,510
E02003268,3443,2445,673,277,450
E02003269,3996,1931,731,306,338
E02003270,2949,1747,459,209,257
E02003271,4727,1523,638,251,289
E02003272,2589,2891,632,391,526
E02003273,3952,2019,676,347,439
E02003274,2648,3060,527,590,584
E02003275,4262,2894,594,1162,650
E02003276,2452,1997,453,485,443
E02003277,3459,2224,530,418,457
E02003278,4344,2617,680,1065,523
E02003459,3565,1534,846,159,156
E02003460,3804,1709,932,144,218
E02003461,3287,1288,498,163,168
E02003462,3717,1218,563,155,196
E02003463,2957,1331,472,164,189
E02003464,2675,1281,332,171,356
E02003465,2797,1146,440,135,145
E02003466,3178,1208,457,156,260
E02003467,2489,1221,318,178,294
E02003468,3267,1419,522,124,215
E02003469,2737,1075,400,139,172
E02003470,1862,1209,214,124,374
E02003471,2780,1218,371,162,297
E02003472,4237,1437,454,251,511
E02003473,2709,937,368,177,170
E02003474,3917,1412,584,206,274
E02003475,7212,1834,911,350,434
E02003476,3260,1859,320,251,473
E02003477,5057,1880,815,257,316
E02003478,3055,1140,499,167,198
E02003479,3137,1376,383,197,336
E02003480,3962,1138,489,215,251
E02003481,2427,1667,301,138,447
E02003482,2620,1038,582,159,114
E02003483,5023,1305,699,269,269
E02003484,3278,1175,486,177,237
E02003485,3332,1600,417,180,308
E02003486,4318,1099,552,206,237
E02003487,2957,1516,408,135,253
E02003488,2682,1579,380,134,233
E02003489,2963,1232,439,131,197
E02003490,2387,1587,279,124,342
E02003599,2539,920,312,112,206
E02003600,2609,1143,465,107,168
E02003601,3072,1251,752,127,156
E02003602,2234,1247,707,103,120
E02003603,4454,1600,644,197,249
E02003604,2917,1199,475,142,172
E02003605,2957,2255,656,245,154
E02003606,2906,1542,793,151,153
E02003607,3515,1536,841,167,178
E02003608,4862,1828,937,228,265
E02003609,4472,1638,757,192,192
E02003610,2873,1249,662,168,136
E02003611,3746,1415,694,163,175
E02003612,4363,1577,834,147,181
E02003613,2418,1095,502,105,125
E02003614,3620,1135,610,185,145
E02003615,3550,1811,819,201,170
E02003616,2098,1194,627,103,99
E02003617,3341,1837,960,145,137
E02003618,3487,1766,688,162,184
E02003619,3946,1983,969,186,187
E02003620,3251,1675,529,180,228
E02003621,3158,1744,528,160,183
E02003622,3349,1878,429,210,391
E02003623,3260,1580,699,177,136
E02003624,2036,1519,387,442,164
E02003625,3092,1965,434,358,411
E02003626,2339,978,325,155,155
E02003627,3835,1806,602,323,394
E02003628,2618,2021,542,239,412
E02003629,3724,1862,447,211,416
E02003630,3813,1895,455,263,500
E02003631,2339,991,304,177,203
E02003632,2658,1106,347,135,209
E02003633,3185,1514,458,202,258
E02003634,4087,1625,688,175,291
E02003635,2168,1043,408,109,102
E02003636,3052,1327,640,158,139
E02003637,3751,1842,927,193,188
E02003638,3223,1433,532,157,197
E02003639,3688,1561,584,142,279
E02003640,2596,1234,471,108,157
E02003641,2574,965,415,114,110
E02003642,3356,1698,403,205,435
E02003643,4702,1428,648,172,242
E02003644,3515,1551,542,202,329
E02003645,2818,1235,459,174,143
E02003646,3532,1721,614,188,315
E02003647,3580,1566,624,191,282
E02003648,1930,1022,309,112,242
E02003649,2995,1370,518,180,183
E02003650,2506,1470,801,101,145
E02003651,2448,1269,525,100,112
E02003652,3399,1750,719,221,159
E02003653,2647,1422,399,210,138
E02003654,2171,1121,637,104,96
E02003655,3929,1566,1128,152,156
E02003656,2302,1054,580,88,102
E02003657,2231,1170,796,110,118
E02003658,2799,1335,809,135,108
E02003659,3320,1429,896,158,145
E02003660,3806,1731,1101,150,158
E02003661,2138,1266,717,106,97
E02003662,2943,956,388,129,163
E02003663,2315,971,301,142,194
E02003664,2562,1073,339,123,223
E02003665,2579,1111,394,126,157
E02003666,2911,1226,481,153,240
E02003667,4948,1164,617,124,232
E02003668,3552,1700,629,194,167
E02003669,2688,1328,396,156,274
E02003670,4222,1359,565,212,220
E02003671,2803,855,344,103,221
E02003672,3778,1854,1055,157,166
E02003673,3187,1590,899,133,126
E02003674,1988,1037,633,75,77
E02003675,3229,1430,708,134,132
E02003676,2755,1683,1124,124,95
E02003677,3631,1900,800,173,290
E02003678,2111,1074,609,102,133
E02003679,2565,1147,623,93,164
E02003680,3633,2002,1079,197,165
E02003681,3587,1939,887,199,180
E02003682,3006,1315,694,108,132
E02003683,2144,1298,621,100,131
E02003685,2756,1560,906,126,121
E02003696,2962,1634,674,139,145
E02003697,2177,1271,753,82,63
E02003698,3233,1649,876,184,86
E02003699,2329,990,589,97,106
E02003701,4535,2172,814,370,305
E02003702,3287,1445,1108,128,150
E02003703,3233,1500,586,299,230
E02003704,2424,1083,614,127,92
E02003705,2660,1460,478,294,214
E02003706,2632,1206,420,162,219
E02003707,2688,1029,513,158,210
E02003708,3142,2071,606,450,410
E02003709,2288,1074,352,128,252
E02003710,3946,2264,660,613,258
E02003711,4009,1318,675,204,227
E02003755,3546,1697,645,166,231
E02003756,2853,1186,517,123,132
E02003757,2748,1229,479,112,126
E02003758,4151,1563,864,177,172
E02003760,3555,1551,271,164,376
E02003761,2598,1199,308,123,128
E02003762,3699,1737,548,149,137
E02003763,4797,1633,594,209,245
E02003764,4785,1314,453,218,248
E02003765,2728,1257,455,117,160
E02003766,3058,1121,459,119,172
E02003767,2531,1336,672,109,103
E02003768,3823,1888,813,178,131
E02003769,2871,1973,597,135,152
E02003770,3451,1485,617,140,159
E02003771,2631,1170,406,125,179
E02003772,3089,1263,479,142,124
E02003773,4868,1914,580,246,326
E02003774,2509,1114,341,104,163
E02003787,2939,1350,753,137,140
E02003793,3090,1423,733,127,137
E02004843,2939,1379,635,137,154
E02004844,2856,1303,584,137,203
E02004845,3029,1332,614,118,192
E02004846,2385,1308,572,125,109
E02004847,3935,1855,818,154,354
E02004848,2866,1338,646,173,203
E02004849,2534,1331,856,142,173
E02004850,2999,1430,597,160,245
E02004851,2300,1191,461,111,194
E02004852,2998,1431,577,139,235
E02004853,2341,1305,529,130,212
E02004854,2808,1406,552,153,209
E02004855,2883,1564,440,168,342
E02004856,2150,948,661,87,122
E02004857,2258,1013,568,115,110
E02004858,2163,859,401,99,121
E02004859,1954,1077,570,94,74
E02004860,2814,979,349,114,227
E02004861,1920,1124,586,73,68
E02004862,3258,1445,485,165,342
E02004863,2970,1486,413,174,361
E02004864,2627,1060,660,92,98
E02004865,2330,898,365,101,163
E02004866,2753,1116,438,170,170
E02004867,2265,1131,559,105,109
E02004868,2247,1068,412,102,168
E02004869,2269,937,582,99,130
E02004870,3991,1601,627,218,305
E02004871,2108,899,351,122,160
E02004872,2765,1376,526,140,171
E02004873,4677,1614,918,181,209
E02004874,2596,1112,421,174,189
E02004875,3549,1723,684,251,267
E02004876,3212,2165,1034,150,163
E02004877,1967,979,595,97,102
E02004878,2622,1262,721,116,119
E02004879,2847,1609,913,126,150
E02004887,2710,1451,821,110,146
E02004889,4488,1798,731,202,279
E02004890,3915,1338,651,178,166
E02004891,3136,1291,683,87,150
E02004892,2178,1056,388,91,178
E02004893,2516,725,439,100,113
E02004894,3848,1396,726,122,171
E02004895,3692,1809,896,191,161
E02004896,2693,1789,751,170,165
E02004897,2559,1372,563,134,146
E02004898,2666,1640,666,181,208
E02004899,2085,910,646,101,127
E02004900,2753,1575,1099,110,141
E02004901,3200,1695,574,182,345
E02004902,3145,1363,672,164,278
E02004903,2686,1286,664,171,160
E02004904,2511,1013,514,111,235
E02004905,2413,1278,887,103,127
E02004906,4007,1631,872,253,329
E02004907,3657,1654,929,173,205
E02004908,3414,1870,1163,143,184
E02004909,2390,825,344,86,94
E02004910,4897,1875,769,198,196
E02004911,2583,1250,336,116,194
E02004912,4381,1641,734,223,269
E02004913,6240,2257,1571,258,255
E02004914,3011,1376,511,127,248
E02004915,2281,1043,259,99,194
E02004916,2672,1614,557,179,162
E02004917,2481,1499,381,154,205
E02004918,3913,1178,612,174,264
E02004919,3194,1302,502,173,234
E02004920,4303,1998,776,198,299
E02004921,3097,1368,573,162,150
E02004922,3549,1859,1054,130,191
E02004923,3937,1861,1061,173,190
E02004924,2652,1340,712,134,100
E02004925,2937,1348,655,108,130
E02004926,2754,1416,762,114,97
E02004927,2339,1256,596,119,128
E02004928,2478,1419,631,112,89
E02004929,2245,1237,695,95,96
E02004930,2949,1129,599,142,133
