geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E02001682,2405,28,218,770,10
E02001683,3072,23,451,442,14
E02001684,1402,31,528,1324,26
E02001685,1811,28,282,1463,28
E02001686,2392,28,263,477,8
E02001688,1381,37,646,1703,32
E02001689,1255,36,1058,985,17
E02001690,2136,38,430,714,7
E02001691,1737,39,1502,591,7
E02001692,1021,15,273,1442,14
E02001693,1131,18,205,1274,5
E02001694,2017,23,284,483,7
E02001695,2041,12,165,481,3
E02001696,2082,40,191,1749,3
E02001697,2589,26,343,402,26
E02001698,2839,31,166,162,4
E02001699,1828,25,218,1039,14
E02001700,3422,47,313,794,9
E02001701,2323,28,230,163,19
E02001702,1361,25,179,1951,6
E02001703,1818,10,125,459,23
E02001704,1755,40,184,1397,4
E02001705,2048,35,492,619,6
E02001706,1579,34,184,1123,4
E02001707,2251,38,386,886,38
E02001708,2980,25,470,643,4
E02001709,3215,25,792,179,7
E02001710,2138,61,425,1732,25
E02001711,2076,53,325,1648,27
E02001712,2882,43,813,453,23
E02001713,3270,40,602,462,15
E02001714,3168,46,504,173,10
E02001715,2248,61,462,1888,53
E02001718,1204,39,201,979,4
E02001719,2707,55,527,463,7
E02001720,1251,42,1863,165,22
E02001721,2810,55,424,1352,6
E02001722,2455,61,301,1364,14
E02001723,1413,27,410,721,4
E02001724,1236,37,1879,363,60
E02001725,1168,50,1936,1362,20
E02001726,2710,63,607,1290,17
E02001727,2378,50,324,1098,27
E02001728,2705,60,488,987,8
E02001729,1227,58,1430,1416,14
E02001730,1060,82,1889,1788,16
E02001731,873,80,2089,2520,25
E02001732,1058,22,249,859,5
E02001733,1784,68,945,2871,7
E02001734,1391,55,446,1331,10
E02001735,696,34,192,1960,2
E02001736,1322,111,1264,2241,21
E02001737,644,92,171,2032,29
E02001738,2306,22,114,27,2
E02001739,2034,16,236,1034,35
E02001740,2035,18,174,62,5
E02001741,2604,33,277,367,2
E02001742,2183,11,221,172,17
E02001743,2262,35,672,200,26
E02001744,2012,29,260,568,8
E02001745,1854,16,219,691,6
E02001746,2528,34,497,531,8
E02001747,2441,26,214,197,2
E02001748,2039,30,370,792,22
E02001749,1933,21,233,576,9
E02001750,2330,30,187,288,6
E02001751,1825,26,198,660,7
E02001752,1521,22,253,988,5
E02001753,1986,58,624,551,11
E02001754,2147,20,531,138,13
E02001755,2596,22,363,515,4
E02001756,2072,27,440,1831,21
E02001757,1998,20,209,524,2
E02001758,1719,17,152,523,39
E02001759,1941,34,857,419,10
E02001760,1358,47,580,1477,9
E02001761,1628,23,178,612,7
E02001762,1997,15,202,226,31
E02001763,1385,32,254,1205,6
E02001764,1346,29,785,1693,30
E02001765,1404,26,564,1297,21
E02001766,1717,31,918,626,3
E02001767,1935,38,518,887,7
E02001768,2256,31,735,721,69
E02001769,1322,52,798,1778,23
E02001770,2102,33,633,240,27
E02001771,1566,26,131,1037,46
E02001772,1608,15,381,451,12
E02001773,2038,32,117,182,12
E02001774,1214,23,317,998,7
E02001775,1202,26,138,1081,3
E02001776,1938,36,437,1310,8
E02001777,1848,15,355,672,7
E02001778,1447,27,722,738,5
E02001779,1119,14,220,1156,10
E02001780,1231,15,104,959,9
E02001781,1110,18,133,1305,1
E02001782,2106,35,182,1508,4
E02001783,1310,25,197,1446,2
E02001784,1512,22,132,1297,7
E02001785,2253,28,187,1069,18
E02001786,1739,17,163,1248,11
E02001787,1495,8,146,799,9
E02001788,1622,27,247,737,3
E02001789,2303,18,118,30,2
E02001790,1992,32,165,442,2
E02001791,2196,23,153,45,10
E02001792,2711,20,232,78,7
E02001793,1508,13,384,1912,5
E02001794,1717,22,289,1700,4
E02001795,1711,25,656,1183,2
E02001796,2725,55,940,683,23
E02001797,1999,18,164,299,6
E02001798,1896,30,259,1256,4
E02001799,2033,25,582,1780,4
E02001800,1798,16,241,947,12
E02001801,1451,29,779,247,9
E02001802,1068,11,249,1308,2
E02001803,1187,40,1809,1136,16
E02001804,1624,15,225,839,3
E02001805,1952,19,342,178,10
E02001806,1432,30,1223,1451,7
E02001807,1791,16,304,907,9
E02001808,1797,30,574,64,3
E02001809,1954,23,208,694,2
E02001810,2401,13,287,969,29
E02001811,2095,30,258,1698,6
E02001812,3815,37,425,70,7
E02001813,1693,42,310,2261,12
E02001814,1683,26,297,755,1
E02001815,3154,31,239,808,12
E02001816,1575,25,282,1466,9
E02001817,1517,24,290,855,28
E02001818,2126,26,345,1028,5
E02001819,2500,19,218,277,40
E02001820,2313,28,261,1016,0
E02001821,1790,11,136,494,22
E02001822,2370,25,389,379,2
E02001823,1915,20,294,829,6
E02001824,2457,26,289,939,11
E02001825,2084,30,311,794,13
E02001826,1528,16,308,1054,11
E02002483,2890,32,308,559,58
E02002484,1754,72,558,2147,22
E02002485,1689,44,462,1244,35
E02002487,1048,35,1211,445,26
E02002488,2104,30,238,139,1
E02002489,1627,64,1059,773,9
E02002490,1605,33,720,496,3
E02002491,1639,63,246,918,21
E02002492,1772,52,265,833,2
E02002493,2240,29,207,215,7
E02002494,1483,51,373,1485,7
E02002496,1183,111,1752,1278,25
E02002497,1100,78,744,877,16
E02002498,1223,86,1813,680,18
E02002499,1343,65,319,1264,14
E02002500,1509,35,601,180,14
E02002501,1123,43,283,773,6
E02002502,1656,103,427,1987,7
E02002503,1431,34,277,798,27
E02002504,2733,56,740,130,60
E02002505,1133,58,274,1053,13
E02002506,850,44,359,1167,6
E02002507,2161,27,265,41,4
E02002508,1878,21,166,51,2
E02002509,1564,38,281,453,7
E02002510,2217,16,194,46,9
E02002512,1929,22,153,75,26
E02002513,1975,52,316,1473,8
E02002514,2238,59,254,1222,54
E02002515,1817,38,1172,230,13
E02002516,1544,23,222,634,9
E02002517,1449,38,198,697,4
E02002518,3828,56,420,156,50
E02002519,1607,25,211,1301,9
E02002520,4664,61,519,490,38
E02002521,1864,29,585,385,2
E02002523,791,19,321,1574,11
E02002524,1670,16,283,316,6
E02002525,2475,29,431,815,22
E02002526,2111,33,494,529,22
E02002527,1285,22,465,478,4
E02002529,1727,26,214,651,2
E02002530,1832,42,363,640,4
E02002532,1582,52,516,766,17
E02002533,2099,20,206,112,0
E02002534,2249,30,166,24,0
E02002535,3539,24,319,160,20
E02002536,2872,28,559,769,11
E02002537,2050,19,494,1104,6
E02002538,1520,15,367,524,3
E02002539,3124,41,225,124,3
E02002540,2449,22,192,121,24
E02002541,2058,38,490,282,2
E02002542,1906,21,349,1075,7
E02002543,1576,14,327,1409,30
E02002544,1772,31,633,949,6
E02002545,2021,15,175,76,7
E02002546,1644,21,543,886,9
E02002547,2263,22,156,311,13
E02002548,1669,71,1413,1815,18
E02002549,2951,36,208,153,13
E02002550,1942,31,357,335,5
E02002551,1003,35,901,792,8
E02002552,1725,12,277,773,11
E02002553,1621,25,371,563,5
E02002554,1196,27,251,870,11
E02002555,3429,36,459,206,7
E02002556,2420,24,245,20,17
E02002557,4194,15,540,31,12
E02002558,3281,44,536,277,7
E02002559,2827,47,596,162,14
E02002560,2107,18,311,73,2
E02002561,1985,15,215,286,6
E02002562,1448,25,772,686,2
E02002563,1546,29,203,557,8
E02002564,2484,27,355,1233,38
E02002565,1722,34,878,29,4
E02002566,1278,48,1585,558,6
E02002567,1761,30,522,890,6
E02002568,1970,24,439,192,9
E02002569,3475,46,226,141,24
E02002570,1944,40,906,823,10
E02002571,1625,24,446,648,15
E02002572,1361,21,630,699,16
E02002573,2756,34,429,251,18
E02003988,1957,59,441,482,9
E02004008,2009,78,403,262,19
E02004010,1831,61,605,816,41
E02004011,3400,56,495,309,51
E02004013,3119,109,707,319,65
E02004014,2373,86,588,249,8
E02004017,2712,58,586,492,17
E02004018,2112,65,785,800,21
E02004019,2818,54,333,175,17
E02004020,2978,30,325,247,17
E02004023,1781,90,502,266,22
E02004024,2600,59,360,74,14
E02004025,2890,51,378,326,11
E02004290,2135,15,189,178,1
E02004291,1946,28,434,714,9
E02004292,2800,37,303,365,18
