geocode,female,male
E01005580,809,771
E01005581,795,793
E01005583,845,844
E01005585,686,733
E01005586,776,747
E01005587,758,709
E01005588,750,627
E01005589,773,749
E01005590,846,806
E01005591,785,641
E01005592,847,763
E01005593,813,733
E01005594,742,713
E01005595,741,679
E01005596,955,970
E01005597,829,771
E01005598,793,769
E01010986,860,830
E01010987,964,827
E01012571,718,756
E01012576,738,888
E01012592,974,950
E01012614,867,878
E01012615,765,730
E01012616,887,895
E01012617,718,675
E01012632,1051,1039
E01012637,819,764
E01012638,817,845
E01012640,864,887
E01012641,900,812
E01012646,854,815
E01012647,690,652
E01012660,571,599
E01012661,729,769
E01025037,746,690
E01025038,705,653
E01025039,594,618
E01025040,727,745
E01025042,1101,1096
E01025054,847,867
E01025055,738,768
E01025056,667,674
E01025075,841,836
E01025076,721,646
E01025077,715,657
E01025078,739,789
E01025079,812,854
E01025080,797,801
E01025081,826,825
E01025082,879,836
E01025083,1057,946
E01025084,799,835
E01025355,1151,1097
E01025356,756,752
E01025357,680,640
E01025358,1141,1059
E01025359,810,824
E01025360,984,968
E01025361,1082,980
E01025362,993,978
E01025363,731,632
E01025364,662,648
E01025365,787,709
E01025366,792,765
E01025367,888,888
E01025368,811,785
E01025369,646,584
E01025370,595,608
E01025371,723,677
E01025373,798,763
E01025374,738,739
E01025375,841,831
E01025376,1157,1085
E01025377,704,709
E01025378,744,756
E01025379,778,628
E01025380,760,726
E01025381,772,701
E01025382,860,862
E01025383,1144,1166
E01025384,647,600
E01025385,659,591
E01025387,647,673
E01025388,728,737
E01025389,647,585
E01025390,575,517
E01025391,767,724
E01025392,586,617
E01025393,721,709
E01025394,767,751
E01025395,788,777
E01025396,708,667
E01025397,833,855
E01025398,709,697
E01032485,892,874
E01032486,739,675
E01033217,472,565
E01033220,566,728
E01033258,1454,1527
E01033281,1305,1307
