geocode,all
E00056913,2.12
E00056914,52.04
E00056915,32.35
E00056916,77.46
E00056917,55.06
E00056918,53.2
E00056919,45.5
E00056920,29.09
E00056921,44.19
E00056922,45.78
E00056923,27.92
E00056924,51.32
E00056925,68.16
E00056926,27.5
E00056927,53.82
E00056928,35.52
E00056929,16.71
E00056930,46.53
E00056931,13.2
E00056932,43.02
E00056933,30.84
E00056934,28.69
E00056935,70.31
E00056936,45.93
E00056937,131.15
E00056938,48.11
E00056939,16.8
E00056940,65.61
E00056941,58.7
E00056942,7.28
E00056943,14.51
E00056944,1.09
E00056945,56.6
E00056946,0.64
E00056947,13.85
E00056948,9.97
E00056949,3.52
E00056950,0.9
E00056951,40.29
E00056952,5.1
E00056953,30.62
E00056954,0.39
E00056955,6.6
E00056956,7.3
E00056957,28.03
E00056958,38.11
E00056959,0.22
E00056960,0.49
E00056961,0.28
E00056962,0.88
E00056963,1.67
E00056964,35.49
E00056965,9.6
E00056966,7.15
E00056967,29.33
E00056972,51.96
E00056973,0.66
E00056981,8.31
E00056982,48.98
E00056983,27.51
E00056984,98.14
E00056986,53.06
E00056987,16.12
E00056988,17.96
E00056989,7.42
E00057408,56.21
E00057409,16.82
E00057410,50.78
E00057411,25.53
E00057412,49.32
E00057413,99.0
E00057414,51.44
E00057415,44.8
E00057416,44.3
E00057417,11.34
E00057418,10.28
E00057419,26.34
E00057420,43.34
E00057431,5.22
E00057432,23.42
E00057433,42.68
E00057434,34.53
E00057435,54.46
E00057436,32.11
E00057437,43.37
E00057438,70.66
E00057439,55.1
E00057440,44.57
E00057441,60.8
E00057442,53.97
E00057443,49.79
E00057444,73.67
E00057445,49.65
E00057446,45.81
E00057447,73.12
E00057448,60.38
E00057449,42.79
E00057450,52.24
E00057451,97.12
E00057452,43.79
E00057453,36.76
E00057454,28.66
E00057455,8.99
E00057456,40.75
E00057457,50.7
E00057458,88.4
E00057459,57.3
E00057460,13.6
E00057461,44.91
E00057462,31.65
E00057463,85.04
E00057464,44.02
E00057465,18.84
E00057466,1.74
E00057467,42.03
E00057471,30.28
E00057472,22.54
E00057473,1.5
E00057474,2.21
E00057475,8.55
E00058968,31.05
E00058969,8.25
E00058970,12.0
E00058971,19.54
E00058972,13.85
E00058973,25.96
E00058974,28.29
E00058975,3.11
E00058976,18.29
E00058977,2.98
E00058978,49.68
E00058979,56.34
E00058980,33.33
E00058981,23.98
E00058982,13.31
E00058983,20.73
E00058984,2.8
E00058985,0.09
E00058986,26.73
E00058987,63.98
E00058988,56.14
E00058989,3.53
E00058990,4.23
E00058991,2.36
E00058992,32.03
E00058993,68.75
E00059008,4.22
E00059010,0.34
E00059011,39.7
E00059012,39.43
E00059013,43.52
E00059014,14.17
E00059015,30.92
E00059016,12.61
E00059017,23.5
E00059018,70.5
E00059019,33.57
E00059020,30.94
E00059021,50.95
E00059022,51.13
E00059023,43.38
E00059024,29.73
E00059025,9.2
E00059026,59.62
E00059027,44.65
E00059028,48.82
E00059029,32.6
E00059030,23.32
E00059031,23.37
E00059032,53.64
E00059033,37.16
E00059034,33.47
E00059035,114.02
E00059036,8.94
E00059038,27.52
E00059040,58.63
E00059041,31.73
E00059042,60.6
E00059043,18.5
E00059044,31.87
E00059045,11.45
E00059047,36.29
E00067325,0.84
E00067327,43.29
E00067328,38.17
E00067329,45.56
E00067330,21.85
E00067331,2.74
E00067332,15.22
E00067333,64.54
E00067334,1.98
E00067335,28.92
E00067336,34.37
E00067337,8.4
E00067394,12.78
E00067395,46.67
E00067396,18.94
E00067397,8.2
E00067398,67.3
E00067399,38.45
E00067400,44.92
E00067401,25.1
E00067402,5.08
E00067403,39.3
E00067404,47.88
E00067405,17.45
E00067406,55.72
E00067407,56.76
E00067408,16.57
E00067409,56.57
E00067410,14.51
E00067411,29.77
E00067412,58.4
E00067413,9.3
E00067414,64.33
E00067415,64.33
E00067416,69.14
E00067417,60.54
E00067418,34.58
E00067419,63.13
E00067420,61.76
