geocode,employee,inactive,self-employed,student,unemployed
E00032565,122,81,37,7,5
E00032732,50,70,4,1,27
E00032733,152,73,25,9,10
E00032734,112,70,14,7,6
E00032735,116,95,10,9,19
E00032736,117,80,9,5,16
E00032737,95,87,12,10,23
E00032738,97,83,2,6,26
E00032739,96,88,12,4,11
E00032740,106,94,15,3,9
E00032741,109,44,13,7,9
E00032742,104,75,14,3,6
E00032743,110,65,22,7,8
E00032744,101,70,11,5,16
E00032745,158,48,13,4,5
E00032746,196,59,23,10,17
E00032747,134,71,8,7,8
E00032748,89,115,9,6,25
E00032749,119,87,11,4,11
E00032750,78,125,1,10,19
E00032751,137,69,14,11,14
E00032757,87,74,12,4,27
E00032758,133,100,16,13,8
E00032759,170,63,19,12,7
E00032760,81,70,11,2,4
E00032761,60,51,6,2,7
E00032762,39,81,16,0,10
E00032763,132,58,13,5,9
E00032764,97,50,16,5,3
E00032765,90,77,10,4,14
E00032766,105,42,13,3,10
E00032767,73,67,6,3,12
E00032768,55,78,7,1,22
E00032769,59,72,6,1,15
E00032771,64,52,16,3,5
E00032773,80,85,9,3,21
E00032774,74,72,6,7,9
E00032912,189,101,16,12,9
E00032913,224,56,21,16,7
E00032914,101,58,10,3,7
E00032915,112,65,12,8,7
E00032916,198,57,14,12,8
E00032917,112,66,11,9,10
E00032918,106,62,4,9,5
E00032919,110,62,12,2,10
E00032920,143,68,14,13,8
E00032921,90,77,14,9,9
E00032922,101,58,14,4,15
E00032923,135,70,6,5,4
E00032924,148,61,15,9,10
E00032925,188,67,22,9,3
E00032926,160,73,26,6,10
E00032927,78,59,7,2,15
E00032928,89,73,14,7,12
E00032929,117,82,14,3,8
E00032930,87,99,8,5,16
E00032931,110,75,7,4,12
E00032932,110,94,6,1,19
E00032933,71,65,9,5,8
E00032934,70,68,20,4,3
E00032935,103,76,23,12,7
E00032936,90,57,15,7,1
E00032937,72,78,9,3,5
E00032938,100,79,6,4,5
E00032939,141,43,17,11,14
E00032940,136,46,15,8,11
E00032941,110,102,10,7,22
E00032942,18,68,5,1,2
E00032943,94,64,14,1,9
E00032944,141,123,31,5,14
E00032945,135,75,16,7,8
E00032946,172,34,13,7,3
E00032947,45,76,3,2,11
E00032948,90,72,15,2,14
E00032949,115,77,19,2,9
E00032950,77,84,4,10,25
E00032951,94,58,12,1,6
E00032952,121,71,15,6,11
E00032953,59,94,1,6,32
E00032954,75,99,9,6,22
E00032955,75,84,11,4,16
E00032956,119,76,25,4,12
E00032957,88,67,4,8,20
E00032958,130,67,17,8,5
E00032959,130,76,12,6,6
E00032960,117,56,14,7,5
