geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E06000001,24194,554,5971,9515,200
E06000002,32723,981,9509,13654,336
E06000003,39705,642,7434,11568,256
E06000004,54225,667,10387,13625,255
E06000005,30289,462,8513,7228,178
E06000006,33796,541,5212,13441,322
E06000007,60915,721,9549,13318,637
E06000008,36793,886,8993,10391,290
E06000009,39650,709,16770,6999,239
E06000010,55785,1688,22984,31634,505
E06000011,107706,2217,19648,13028,433
E06000012,46070,706,12627,10091,213
E06000013,49137,996,9477,10895,179
E06000014,55227,1035,14980,11679,631
E06000015,62765,1199,17193,20250,864
E06000016,61170,1912,27999,31270,774
E06000017,10556,268,2333,1685,160
E06000018,56867,1894,29098,37486,786
E06000019,53014,1485,12147,10903,770
E06000020,42417,814,9979,13106,292
E06000021,63928,1789,15440,25999,419
E06000022,49068,1018,12447,10614,368
E06000023,98708,2543,43028,37083,1385
E06000024,64365,947,14270,8103,542
E06000025,80586,1222,14600,10633,497
E06000026,64157,1188,22026,21095,841
E06000027,39424,574,13696,4762,554
E06000030,57902,789,14169,14382,1118
E06000031,43877,855,14168,14434,689
E06000032,44696,778,16816,11715,288
E06000033,48666,670,16439,8597,306
E06000034,41278,498,8772,11503,302
E06000035,71853,1093,18153,13996,1114
E06000036,31419,520,5734,7678,527
E06000037,43435,1027,8555,8628,695
E06000038,34479,624,16394,10242,1130
E06000039,26755,501,12348,10476,686
E06000040,39676,1135,9432,7748,358
E06000041,48103,559,6755,4236,679
E06000042,56913,857,17066,17763,5985
E06000043,64790,1559,35959,18187,1045
E06000044,46897,1042,21098,15611,825
E06000045,48873,1052,24449,22867,1013
E06000046,42817,744,10639,6523,362
E06000047,147347,2822,28142,45004,488
E06000049,118766,1817,19938,18141,779
E06000050,100105,1707,17734,20808,1088
E06000051,89688,2287,19421,17448,830
E06000052,158524,3848,38605,27655,1757
E06000053,412,96,294,179,8
E06000054,131083,3089,29968,28591,1463
E06000055,41937,848,10110,10252,665
E06000056,75743,1189,12612,13981,874
E06000057,91207,2559,18417,25841,510
E06000058,107726,1750,37281,19314,1308
E06000059,113870,2624,21736,19484,1024
E06000060,144852,2583,25875,25471,1946
E06000061,90354,1759,18718,20878,926
E06000062,104795,2019,23489,23030,1762
E07000008,22171,736,12258,11023,526
E07000009,23719,869,4576,4944,506
E07000010,28436,584,6341,5054,205
E07000011,49398,718,9770,8939,508
E07000012,42129,853,7174,8546,1258
E07000026,29217,698,4142,8088,200
E07000027,22938,354,4442,3454,36
E07000028,32999,703,6914,7394,332
E07000029,21671,436,2665,5668,96
E07000030,16258,568,3685,2321,211
E07000031,33967,868,6633,4853,231
E07000032,38974,722,6200,6484,216
E07000033,21963,505,4276,5965,92
E07000034,29547,448,5813,10832,156
E07000035,22269,650,3860,3736,229
E07000036,35290,560,6265,6335,242
E07000037,28059,482,5231,4945,229
E07000038,30531,407,3183,8781,168
E07000039,29416,481,5087,3877,131
E07000040,44283,913,8041,5515,319
E07000041,29443,607,10336,8386,470
E07000042,22626,601,5091,4135,305
E07000043,27383,690,7341,4316,271
E07000044,26440,564,5259,4195,400
E07000045,39678,659,8358,4813,495
E07000046,19998,521,4746,2524,197
E07000047,16630,380,3409,2158,148
E07000061,27788,482,10494,5953,295
E07000062,22706,409,11863,5988,193
E07000063,30648,531,6108,4609,285
E07000064,30060,614,5742,4242,219
E07000065,49355,1037,6973,4808,503
E07000066,47972,630,7448,15976,720
E07000067,41872,671,8083,10055,362
E07000068,23028,386,3452,3586,194
E07000069,30101,319,3968,1949,103
E07000070,50978,770,8349,9120,450
E07000071,47507,743,13390,9669,325
E07000072,37565,675,5742,7803,206
E07000073,19429,301,3756,10808,326
E07000074,20251,291,2493,2685,97
E07000075,27822,272,2844,2547,79
E07000076,45752,808,10064,5243,238
E07000077,22425,501,4108,3961,321
E07000078,32879,538,10925,6227,360
E07000079,23803,1086,5518,5388,441
E07000080,25371,538,3835,4237,186
E07000081,33858,479,8755,6714,557
E07000082,34988,633,5791,6097,285
E07000083,25844,411,4351,4190,330
E07000084,46936,903,8172,12346,958
E07000085,34919,710,5517,5681,431
E07000086,38362,414,6438,6411,552
E07000087,37460,412,4645,3785,277
E07000088,23115,342,5777,5815,381
E07000089,27747,353,4286,2718,406
E07000090,35387,519,5087,10037,281
E07000091,57603,1019,9293,8440,484
E07000092,23089,302,6379,5927,647
E07000093,33501,832,6128,6854,311
E07000094,31646,946,6604,7243,426
E07000095,27460,284,4199,5297,418
E07000096,38877,536,7107,13045,373
E07000098,26897,497,4981,6932,471
E07000099,35072,585,6993,10304,472
E07000102,25532,356,3708,5318,194
E07000103,22608,289,7371,5987,426
E07000105,32685,700,6849,6915,638
E07000106,40107,879,11876,7409,500
E07000107,26819,393,6385,5947,537
E07000108,32142,805,8254,6864,245
E07000109,26099,495,6524,7008,305
E07000110,44700,754,9256,8066,671
E07000111,34200,747,5057,6218,798
E07000112,30715,619,10520,5311,214
E07000113,37951,677,8446,7942,569
E07000114,36907,712,14151,7537,206
E07000115,34246,546,4869,7762,717
E07000116,30999,656,7995,7148,376
E07000117,24408,515,7267,5281,79
E07000118,33783,423,4587,5843,283
E07000119,25622,455,6066,2607,135
E07000120,23238,395,6235,4389,84
E07000121,39999,765,10929,5762,367
E07000122,25580,602,6760,4333,73
E07000123,34909,835,10365,11061,397
E07000124,18423,363,3278,1836,145
E07000125,20250,371,4106,4244,87
E07000126,36337,397,4308,4845,215
E07000127,33122,588,4744,6656,271
E07000128,36676,561,6397,3401,246
E07000129,31309,306,3876,2948,247
E07000130,47961,769,9396,7851,539
E07000131,27238,401,3922,2923,414
E07000132,34826,443,5156,4685,267
E07000133,15498,338,3054,2402,198
E07000134,28360,457,4411,5598,302
E07000135,17239,212,2117,1610,161
E07000136,17430,375,4291,4965,230
E07000137,42137,1012,10554,6705,482
E07000138,21932,599,8345,8729,220
E07000139,34187,686,6184,4694,221
E07000140,27035,527,4714,4728,260
E07000141,39809,943,8389,7701,502
E07000142,27859,662,5253,4246,365
E07000143,37427,977,8294,7511,310
E07000144,42343,603,5519,4567,304
E07000145,27073,679,6926,7255,146
E07000146,43707,1324,9278,8393,275
E07000147,32293,986,6664,5904,199
E07000148,26442,653,13089,19702,433
E07000149,39555,836,5916,5965,537
E07000163,17973,500,3782,2212,116
E07000164,26508,760,5770,4923,156
E07000165,47738,1127,11771,6138,395
E07000166,12910,491,4519,2183,104
E07000167,15124,648,3773,2896,83
E07000168,32520,839,9640,6134,302
E07000169,25911,490,3796,4161,201
E07000170,35261,673,6504,8258,235
E07000171,33115,826,5975,7579,172
E07000172,34270,570,6594,5218,168
E07000173,37138,526,6488,4926,271
E07000174,29908,537,6115,8199,169
E07000175,34455,737,6278,7050,253
E07000176,35142,424,6082,3854,333
E07000177,39303,904,9206,6872,443
E07000178,25873,1081,15634,11828,959
E07000179,39461,810,7211,6163,459
E07000180,34750,827,6733,6583,514
E07000181,30141,742,6423,5387,548
E07000187,32438,761,7136,5473,349
E07000188,34802,662,7113,5951,273
E07000189,48855,1135,9272,9697,542
E07000192,28106,492,4938,6880,248
E07000193,32879,593,7152,6367,260
E07000194,31155,449,3932,5446,242
E07000195,36332,665,5511,9840,226
E07000196,33669,575,3772,6193,249
E07000197,39880,720,7206,7618,279
E07000198,33288,555,4103,3699,127
E07000199,21575,300,3476,6108,158
E07000200,26981,737,4714,4912,178
E07000202,32467,671,11421,12371,368
E07000203,30262,642,4515,4544,343
E07000207,38660,645,8006,5218,393
E07000208,22931,244,3962,2390,257
E07000209,37148,693,8522,6908,702
E07000210,26362,492,4270,4373,331
E07000211,40486,490,7169,6605,673
E07000212,22731,473,4974,4210,326
E07000213,28671,386,5004,4911,540
E07000214,25769,346,4073,3089,269
E07000215,25302,451,3666,3610,313
E07000216,36295,849,5577,6068,491
E07000217,27829,380,6186,4704,368
E07000218,18686,318,2913,3719,176
E07000219,37617,508,6683,7633,270
E07000220,29086,490,5903,5993,403
E07000221,37304,754,6596,6713,561
