geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E06000001,10890,11931,11577,10406,13730,12059,10073,3938,7424
E06000002,17707,18549,21455,16430,18883,17166,13211,5153,9858
E06000003,14651,16638,15720,14641,19877,17887,17287,6642,11834
E06000004,23295,24276,25253,23448,28731,25008,20393,7357,13849
E06000005,12653,12632,12678,13276,15635,13566,11890,4512,8722
E06000006,15737,15659,16165,15970,18314,16912,14273,4605,8111
E06000007,23864,24803,24591,26305,32613,25397,22421,8218,14016
E06000008,21756,20540,20669,20044,20719,16816,13573,4667,8705
E06000009,15654,16700,17109,16365,21514,18069,17144,6624,12886
E06000010,31332,31360,44314,34532,35598,29695,23479,8666,17430
E06000011,33030,39021,30852,35964,50437,46350,48138,17648,32739
E06000012,18971,19535,20508,18472,23303,20304,18051,6918,13554
E06000013,19659,19705,19491,19294,25235,22571,20469,7246,13776
E06000014,20025,23809,33905,25062,27453,22666,20838,7807,16486
E06000015,32726,31585,38280,33286,35632,26988,22755,8715,18785
E06000016,45077,44652,64977,47227,41180,35454,24033,8911,18328
E06000017,3704,5247,3647,4000,5328,4879,5046,1887,3631
E06000018,36388,42919,68998,41874,38147,29176,21939,8207,18032
E06000019,18760,21178,19112,20017,26852,24938,25022,9078,18520
E06000020,21351,22090,21751,21479,25503,20368,17944,5994,10161
E06000021,31281,30295,37245,31942,35163,29543,26337,9368,17834
E06000022,17938,22850,26136,20204,25020,21249,19605,7125,15889
E06000023,52470,48744,85123,66853,55383,43711,35300,12503,28147
E06000024,22677,22905,19854,23289,30401,26153,27122,9603,20562
E06000025,30533,33457,31064,33265,42019,32272,29213,10575,20369
E06000026,28283,31449,43231,30939,35305,30322,27296,9843,19716
E06000027,12967,14661,13479,13200,18402,17227,18763,6970,15290
E06000030,26356,24857,27934,31469,33240,25456,19443,6707,13694
E06000031,25328,22847,27548,27026,25966,20656,16291,5792,12177
E06000032,30813,26772,35433,30130,27334,20492,14888,6102,11237
E06000033,20711,20378,21114,23846,25838,20554,18887,6716,15614
E06000034,22236,19802,20966,24008,24093,17840,14735,4742,9283
E06000035,33191,35796,36622,34559,39461,31837,27051,9055,16353
E06000036,14772,14313,14070,17206,18606,14258,10046,3307,6627
E06000037,19082,19547,15847,20415,25081,20471,17159,5543,10677
E06000038,20493,17777,29687,27402,21014,15120,11275,4156,8774
E06000039,22771,17608,22925,25809,19086,14022,8696,3101,6187
E06000040,17949,17206,15952,20304,22840,17540,15635,5481,11653
E06000041,19582,19227,15499,21281,25240,20336,16763,5715,10737
E06000042,36376,30525,33652,40458,37020,30110,22041,6595,12044
E06000043,28306,31451,51127,43748,42348,27983,22249,7925,18232
E06000044,24579,26883,39752,27244,28128,21238,17475,6206,13551
E06000045,27254,29497,51169,34286,29399,23555,19593,6796,15333
E06000046,12954,16158,13498,13653,19540,18514,20736,7370,15842
E06000047,54233,61136,65783,58631,77056,68663,63269,23009,41462
E06000049,39938,43462,37635,43661,58217,49399,47517,16877,33421
E06000050,35493,38842,38307,39381,50375,43424,40518,14950,28318
E06000051,31330,36866,32238,33195,45737,41164,41359,15153,29087
E06000052,53439,61772,54730,56978,75106,72396,77835,26543,53474
E06000053,210,170,246,257,345,297,336,107,235
E06000054,55572,58473,50191,55467,72947,61597,56381,19935,40418
E06000055,19475,20405,19774,20995,23536,19123,16348,5716,12107
E06000056,30976,30815,28082,33474,41199,33654,28727,9510,17944
E06000057,32348,36141,32411,34028,46970,46293,43595,15304,28938
E06000058,38526,41407,52902,49275,52770,43613,43312,16194,40889
E06000059,34819,42071,32596,35075,51353,49798,54636,20294,44511
E06000060,62771,63720,53581,63832,80029,65957,55931,20001,39461
E06000061,39953,38862,36441,41670,49336,39600,36585,11826,22578
E06000062,47253,45668,46872,51152,58067,46638,41152,12970,25329
