geocode,all
E00106132,34.0
E00106133,34.0
E00106134,65.0
E00106135,34.0
E00106136,38.0
E00106137,35.0
E00106138,37.0
E00106139,32.0
E00106140,31.0
E00106141,49.0
E00106142,31.0
E00106143,34.0
E00106144,34.0
E00106145,31.0
E00106146,32.0
E00106147,47.0
E00106148,30.0
E00106149,30.0
E00106150,30.0
E00106151,31.0
E00106152,29.0
E00106153,33.0
E00106154,25.0
E00106155,38.0
E00106156,36.0
E00106157,30.0
E00106158,28.0
E00106159,27.0
E00106160,33.0
E00106162,44.0
E00106163,35.0
E00106164,41.0
E00106165,45.0
E00106166,35.0
E00106167,44.0
E00106168,50.0
E00106169,48.0
E00106170,41.0
E00106171,38.0
E00106172,33.0
E00106173,38.0
E00106174,31.0
E00106175,38.0
E00106176,38.0
E00106177,29.0
E00106178,36.0
E00106179,40.0
E00106180,45.0
E00106181,32.0
E00106182,43.0
E00106183,37.0
E00106184,37.0
E00106185,57.0
E00106186,51.0
E00106187,37.0
E00106188,36.0
E00106189,45.0
E00106190,37.0
E00106191,39.0
E00106192,58.0
E00106193,48.0
E00106194,42.0
E00106195,32.0
E00106196,29.0
E00106197,32.0
E00106198,31.0
E00106199,31.0
E00106200,40.0
E00106201,34.0
E00106202,33.0
E00106203,32.0
E00106204,29.0
E00106205,37.0
E00106206,34.0
E00106207,43.0
E00106208,43.0
E00106209,32.0
E00106210,34.0
E00106211,42.0
E00106212,32.0
E00106213,30.0
E00106214,30.0
E00106217,29.0
E00106218,35.0
E00106219,49.0
E00106220,39.0
E00106221,50.0
E00106222,29.0
E00106223,26.0
E00106224,45.0
E00106225,31.0
E00106226,36.0
E00106227,46.0
E00106228,40.0
E00106229,42.0
E00106230,35.0
E00106231,23.0
E00106232,51.0
E00106233,47.0
E00106234,30.0
E00106235,38.0
E00106236,36.0
E00106237,53.0
E00106238,39.0
E00106239,72.0
E00106240,57.0
E00106241,56.0
E00106242,61.0
E00106243,39.0
E00106244,36.0
E00106245,46.0
E00106246,39.0
E00106247,32.0
E00106248,64.0
E00106249,
E00106250,46.0
E00106251,64.0
E00106252,44.0
E00106253,46.0
E00106254,58.0
E00106255,48.0
E00106256,69.0
E00106257,44.0
E00106258,66.0
E00106259,36.0
E00106260,33.0
E00106261,34.0
E00106262,
E00106263,74.0
E00106264,41.0
E00106265,44.0
E00106266,44.0
E00106267,36.0
E00106268,73.0
E00106269,73.0
E00106270,48.0
E00106271,54.0
E00106272,59.0
E00106273,44.0
E00106274,72.0
E00106275,23.0
E00106276,38.0
E00106277,61.0
E00106278,60.0
E00106280,61.0
E00106281,57.0
E00106282,54.0
E00106283,66.0
E00106284,69.0
E00106285,58.0
E00106286,59.0
E00106287,46.0
E00106288,41.0
E00106289,40.0
E00106290,47.0
E00106291,38.0
E00106292,44.0
E00106293,38.0
E00106294,47.0
E00106295,35.0
E00106296,44.0
E00106297,40.0
E00106298,38.0
E00106299,44.0
E00106300,39.0
E00106301,41.0
E00106302,42.0
E00106303,37.0
E00106304,40.0
E00106305,42.0
E00106306,41.0
E00106307,39.0
E00106308,47.0
E00106309,40.0
E00106310,38.0
E00106311,48.0
E00106312,49.0
E00106313,61.0
E00106314,52.0
E00106315,48.0
E00106316,58.0
E00106317,40.0
E00106318,52.0
E00106319,48.0
E00106320,34.0
E00106321,40.0
E00106322,32.0
E00106323,49.0
E00106324,59.0
E00106325,45.0
E00106326,29.0
E00106327,42.0
E00106328,43.0
E00106329,66.0
E00106330,64.0
E00106331,66.0
E00106332,61.0
E00106333,55.0
E00106334,34.0
E00106335,62.0
E00106336,36.0
E00106337,36.0
E00106338,60.0
E00106339,58.0
E00106340,52.0
E00106341,60.0
E00106342,63.0
E00106343,54.0
E00106344,47.0
E00106345,68.0
E00106346,49.0
E00106347,54.0
E00106348,57.0
E00106349,60.0
E00106350,58.0
E00106351,51.0
E00106352,40.0
E00106353,53.0
E00106354,56.0
E00106355,45.0
E00106356,49.0
E00106357,44.0
E00106358,55.0
E00106359,38.0
E00106360,65.0
E00106361,44.0
E00106362,37.0
E00106363,49.0
E00106364,39.0
E00106365,38.0
E00106366,40.0
E00106367,42.0
E00106368,42.0
E00106369,37.0
E00106370,40.0
E00106371,34.0
E00106372,37.0
E00106373,71.0
E00106374,57.0
E00106375,71.0
E00106376,38.0
E00106377,57.0
E00106378,46.0
E00106379,44.0
E00106380,40.0
E00106381,45.0
E00106382,41.0
E00106383,39.0
E00106384,51.0
E00106385,36.0
E00106386,39.0
E00106387,38.0
E00106388,40.0
E00106389,38.0
E00106390,42.0
E00106391,47.0
E00106392,33.0
E00106393,42.0
E00106394,39.0
E00106395,58.0
E00106396,57.0
E00106397,20.0
E00106398,40.0
E00106399,45.0
E00106401,42.0
E00106402,40.0
E00106403,39.0
E00106404,43.0
E00106405,62.0
E00106406,40.0
E00106407,58.0
E00106408,59.0
E00106409,55.0
E00106410,53.0
E00106412,50.0
E00106413,63.0
E00106414,46.0
E00106415,52.0
E00106416,42.0
E00106418,38.0
E00106419,25.0
E00106421,40.0
E00106422,70.0
E00106423,35.0
E00106424,53.0
E00106425,52.0
E00106426,42.0
E00106427,48.0
E00106428,73.0
E00106429,45.0
E00106430,42.0
E00106431,53.0
E00106432,57.0
E00106433,34.0
E00106434,53.0
E00106435,46.0
E00106436,33.0
E00106437,34.0
E00106438,53.0
E00106439,46.0
E00106440,73.0
E00106441,34.0
E00106442,33.0
