geocode,all
E00063395,52.55
E00063402,19.56
E00063403,15.72
E00063404,35.16
E00063405,93.03
E00063406,124.01
E00063407,133.0
E00063408,94.3
E00063409,242.45
E00063410,233.53
E00063411,270.34
E00063451,41.12
E00063461,140.06
E00063462,66.59
E00063469,70.05
E00063470,13.85
E00063471,80.46
E00063472,40.05
E00063473,19.52
E00063474,3.77
E00063475,55.66
E00063476,26.5
E00063477,9.05
E00063478,31.1
E00063479,5.57
E00063480,74.77
E00063481,54.42
E00063482,116.55
E00063483,152.82
E00063490,41.22
E00063491,33.08
E00063492,96.53
E00063493,62.16
E00063494,91.26
E00063495,59.22
E00063496,101.1
E00063497,73.1
E00063498,36.81
E00063499,117.67
E00063500,87.46
E00063501,25.13
E00063502,55.05
E00063503,67.97
E00063504,23.09
E00063505,75.99
E00063506,84.89
E00063507,17.21
E00063508,76.36
E00063509,74.54
E00063510,67.86
E00063511,93.92
E00063512,70.53
E00063513,37.87
E00063514,22.7
E00063515,10.65
E00063517,24.45
E00063518,11.84
E00063520,25.46
E00063521,25.13
E00063522,49.24
E00063523,43.17
E00063525,37.84
E00063526,51.68
E00063527,28.08
E00063528,53.62
E00063529,55.09
E00063530,48.98
E00063531,39.2
E00063532,40.75
E00063533,48.86
E00063534,54.85
E00063535,49.71
E00063536,51.08
E00063537,72.61
E00063538,51.38
E00063539,22.4
E00063540,30.0
E00063541,35.75
E00063542,14.47
E00063543,57.07
E00063545,54.75
E00063546,16.6
E00063565,53.87
E00063566,6.39
E00063567,53.53
E00063568,20.14
E00063569,16.41
E00063570,44.71
E00063571,64.23
E00063572,8.99
E00063573,63.18
E00063574,61.96
E00063575,26.19
E00063576,62.92
E00063577,26.21
E00063578,2.04
E00063579,39.83
E00063580,39.29
E00063581,44.77
E00063582,26.14
E00063583,29.09
E00063584,61.63
E00063585,1.75
E00063586,0.3
E00063594,24.51
E00063599,22.16
E00063607,59.31
E00063608,37.25
E00063609,56.53
E00063610,48.96
E00063611,75.58
E00063612,62.96
E00063613,46.1
E00063614,67.98
E00063615,74.01
E00063616,61.58
E00063617,43.52
E00063618,90.17
E00063619,58.79
E00063620,30.57
E00063621,92.07
E00063622,5.95
E00063623,26.18
E00063624,92.52
E00063625,13.41
E00063626,25.7
E00063627,86.03
E00063628,35.17
E00063629,120.91
E00063630,29.5
E00063631,77.86
E00063632,57.5
E00063633,28.5
E00063634,23.15
E00063635,68.08
E00063636,44.75
E00063637,77.17
E00063638,80.7
E00063639,39.97
E00063640,31.92
E00063641,56.05
E00063642,43.63
E00063643,78.98
E00063644,95.91
E00063645,51.91
E00063646,98.85
E00063647,45.6
E00063648,43.47
E00063661,0.46
E00063662,0.59
E00063663,51.31
E00063664,36.92
E00063665,107.79
E00063666,58.72
E00063667,45.38
E00063668,8.41
E00063669,13.37
E00063671,22.24
E00063672,15.2
E00063673,188.6
E00063676,72.88
E00063677,77.36
E00063679,49.66
E00063744,50.18
E00063746,9.54
E00063749,133.33
E00063750,25.17
E00063751,129.56
E00063753,77.05
E00063755,82.58
E00063756,23.37
E00063757,18.46
E00063758,167.04
E00063759,97.4
E00063760,167.57
E00063762,118.83
E00063765,82.22
E00063767,64.61
E00063768,40.8
E00063769,5.85
E00063770,38.25
E00063771,30.61
E00063772,58.71
E00063773,92.86
E00063774,50.84
E00063775,85.36
E00063776,167.2
E00063777,29.17
E00063780,33.56
E00063781,1.25
E00063782,77.24
E00063785,101.97
E00063786,69.27
E00063787,59.34
E00063789,17.58
E00063790,108.63
E00063791,89.55
E00063792,56.37
E00063797,20.72
E00063800,156.57
E00063801,162.05
E00063802,53.33
E00063803,121.4
E00063804,56.07
E00063805,18.45
E00063806,14.21
E00063807,39.8
E00063808,71.91
E00063809,104.97
E00063810,132.63
E00063811,19.79
E00063819,33.33
E00063820,14.67
E00126493,0.38
E00126494,0.65
E00126495,5.01
E00126496,0.57
E00126497,2.62
E00126498,1.94
E00126499,0.56
E00126513,76.84
E00126514,49.23
E00126515,27.87
E00126516,61.16
E00126517,70.0
E00126518,8.82
E00126519,20.69
E00126520,69.06
E00126521,45.66
E00126522,84.29
E00126523,97.18
E00126524,89.63
E00126525,2.55
E00126526,31.13
E00126527,52.13
E00126528,75.22
E00126529,128.76
E00126530,108.3
E00126531,129.72
E00126532,140.0
E00126533,71.83
E00126534,60.55
E00126535,51.89
E00126536,61.01
E00126537,14.01
E00126538,20.81
E00126539,65.11
E00126540,39.63
E00126541,61.3
E00126542,66.11
E00126543,72.14
E00126544,87.45
E00126545,29.38
E00126546,79.25
E00126547,156.45
E00126548,67.79
E00126549,16.37
E00126550,15.97
E00126551,48.38
E00126552,11.57
E00126553,14.04
E00126554,1.69
E00126555,34.89
E00126556,52.36
E00126557,21.14
E00126558,21.36
E00126559,21.33
E00126560,17.06
E00126561,65.94
E00126562,75.78
E00126566,29.37
E00126567,87.8
E00126569,89.94
E00126574,110.92
E00126576,6.05
E00126577,42.7
E00126581,47.98
E00126582,77.42
E00126583,15.32
E00126584,54.74
E00126585,51.95
E00126586,36.7
E00126595,13.76
E00126596,34.21
E00126597,41.23
E00126598,27.39
E00126599,43.02
E00126611,112.41
E00126621,31.91
E00126624,27.5
E00126627,48.34
E00126629,43.66
E00126634,30.21
E00126636,5.23
E00126638,42.84
E00126640,16.15
E00126641,35.88
E00126642,43.04
E00126647,50.71
E00126650,51.45
E00126653,24.54
E00126655,16.24
E00126659,72.22
E00126660,25.52
E00126770,0.18
E00126771,29.2
E00126772,7.21
E00126773,10.96
E00126774,2.72
E00126775,46.41
E00126776,3.32
E00126777,9.07
E00126778,0.57
E00126779,10.38
E00126780,20.72
E00126781,17.76
E00126782,0.44
E00126783,3.6
E00126784,6.53
E00126785,17.82
E00126786,21.52
E00126787,29.75
E00126788,0.96
E00126789,56.67
E00126790,3.33
E00128902,2.6
E00128968,9.21
E00128969,9.79
E00128970,22.09
E00128971,4.3
E00128972,9.22
E00128973,50.93
E00128974,54.17
E00128975,15.13
