geocode,asian,black,mixed,other,white
E00109016,1,1,5,0,232
E00109017,3,0,0,0,309
E00109018,1,0,3,0,289
E00109019,6,0,6,1,229
E00109020,1,1,4,0,252
E00109021,1,4,3,0,300
E00109022,5,3,10,4,232
E00109023,4,0,2,0,276
E00109024,8,1,1,0,261
E00109025,3,1,1,0,328
E00109026,11,4,6,0,364
E00109027,13,2,8,0,413
E00109028,2,0,1,2,310
E00109029,22,2,7,3,223
E00109030,1,0,1,0,105
E00109031,0,0,0,0,266
E00109032,9,2,0,0,305
E00109033,0,0,0,0,237
E00109388,0,5,3,1,318
E00109389,3,0,2,0,189
E00109390,4,0,4,1,364
E00109391,6,10,2,0,259
E00109393,2,1,0,1,189
E00109395,3,1,1,0,343
E00109396,2,0,3,0,268
E00109397,1,0,0,1,291
E00109398,0,1,4,0,322
E00109399,3,0,2,0,321
E00109400,2,0,0,0,371
E00109401,1,5,4,1,351
E00109402,1,1,2,0,312
E00109403,1,0,0,4,294
E00109404,3,0,2,3,312
E00109405,2,1,2,0,306
E00109406,70,11,6,1,265
E00109407,1,0,0,0,301
E00109408,4,0,0,0,298
E00109409,3,2,9,1,366
E00109410,2,1,4,0,338
E00109411,8,2,5,1,227
E00109412,2,8,1,0,321
E00109413,8,6,1,1,281
E00109414,7,3,4,0,337
E00109415,10,5,9,0,356
E00109417,4,1,5,0,329
E00109418,2,0,4,0,266
E00109419,1,0,8,2,381
E00109420,9,1,10,0,582
E00109421,1,0,2,0,321
E00109422,14,0,7,0,341
E00109423,10,5,3,5,238
E00109424,3,1,0,2,227
E00109425,8,0,3,0,254
E00109426,9,0,1,0,404
E00109427,3,2,7,3,324
E00109428,10,5,3,0,303
E00109429,8,1,3,0,426
E00109430,8,1,3,0,312
E00109431,5,0,3,0,267
E00109432,27,5,5,0,278
E00109434,4,0,2,2,302
E00109435,2,1,5,0,306
E00109436,1,1,4,0,244
E00109437,2,0,2,0,336
E00109438,6,0,2,1,336
E00109439,2,1,4,0,319
E00109440,1,0,1,0,285
E00109441,0,1,4,1,316
E00109442,5,4,0,0,325
E00109443,4,7,2,3,296
E00109444,0,1,4,0,343
E00109446,19,7,11,0,462
E00109447,6,4,3,1,191
E00109448,3,1,0,1,257
E00109450,24,8,6,3,323
E00109452,6,4,1,0,262
E00109453,12,10,4,1,206
E00109454,10,0,2,1,252
E00109455,9,0,3,0,325
E00109456,6,0,7,0,319
E00109457,9,4,14,0,313
E00109458,3,1,13,0,259
E00109459,16,1,8,0,313
E00109460,13,2,8,0,438
E00109461,11,10,9,0,248
E00109462,9,1,0,0,261
E00109463,12,0,0,0,254
E00109464,5,3,5,1,287
E00109465,14,4,8,1,250
E00109466,6,9,10,0,230
E00109467,7,0,0,4,279
E00109468,9,6,3,6,222
E00109469,5,4,0,0,233
E00109470,3,7,6,0,170
E00109471,6,1,5,0,172
E00109472,4,3,1,0,204
E00109473,1,0,2,0,308
E00109474,1,0,8,1,372
E00109475,0,2,2,0,305
E00109476,3,0,5,0,337
E00109477,6,0,1,0,366
E00109478,1,0,4,0,320
E00109479,1,0,3,1,376
E00109480,6,1,4,9,318
E00109481,11,0,4,0,350
E00109482,1,6,5,0,322
E00109483,2,4,3,0,219
E00109484,1,1,8,0,248
E00109485,6,9,5,0,216
E00109486,5,5,0,1,228
E00109487,1,0,7,1,294
E00109488,2,11,7,0,271
E00109489,3,0,3,0,295
E00109490,4,0,7,1,341
E00109491,3,8,3,2,241
E00109492,1,0,2,0,308
E00109493,1,0,6,0,314
E00109494,4,4,1,0,385
E00109495,2,6,11,0,333
E00109496,3,3,14,0,279
E00109497,5,2,5,1,333
E00109498,0,4,4,0,262
E00109499,16,2,1,0,261
E00109500,4,0,3,0,356
E00109501,3,3,3,0,293
E00109502,3,5,2,3,299
E00109503,2,3,7,0,149
E00109504,18,6,2,0,261
E00109505,17,6,4,0,259
E00109506,15,11,6,1,192
E00109507,14,0,4,1,263
E00109508,7,0,8,0,270
E00109509,4,5,7,1,350
E00109510,3,3,3,0,281
E00109511,2,3,0,0,281
E00109512,6,5,4,5,328
E00109513,10,0,2,4,309
E00109514,7,0,1,1,250
E00109515,2,0,4,0,285
E00109516,4,0,2,1,332
E00109517,10,2,4,1,348
E00109518,3,1,6,0,307
E00109519,3,5,4,0,277
E00109520,5,6,10,1,204
E00109521,5,0,1,0,274
E00109522,1,0,1,0,351
E00109523,8,3,11,0,311
E00109524,6,1,13,0,271
E00109525,33,10,4,1,260
E00109526,6,7,5,3,199
E00109527,10,3,5,1,255
E00109528,7,8,11,0,180
E00109529,4,0,1,0,296
E00109530,22,7,8,3,260
E00109531,19,16,4,1,337
E00109532,4,5,1,0,271
E00109533,6,0,3,0,250
E00109534,2,0,1,0,256
E00109535,18,3,9,0,328
E00109536,5,0,1,1,286
E00109537,2,10,0,3,284
E00109538,18,0,4,0,328
E00109539,3,1,5,1,332
E00109540,19,0,6,3,393
E00109541,3,1,4,1,167
E00109542,2,0,4,0,288
E00109543,3,3,3,0,253
E00109544,1,1,6,1,261
E00109545,1,0,1,0,302
E00109546,6,2,5,11,427
E00109547,1,3,7,0,267
E00109548,6,0,4,1,333
E00109549,3,1,5,0,322
E00109550,6,5,11,0,381
E00109551,1,4,4,1,327
E00109552,2,0,10,0,279
E00109553,15,4,7,0,325
E00109554,14,0,4,1,268
E00109555,1,5,5,0,314
E00109556,4,0,7,0,309
E00109557,16,4,3,0,295
E00109558,10,1,10,0,471
E00109559,1,0,5,1,307
E00109560,4,5,6,1,289
E00109562,4,0,3,0,303
E00109563,3,4,6,0,288
E00109564,3,4,9,5,298
E00109565,1,1,3,0,260
E00109566,3,0,0,0,313
E00109567,11,11,7,2,294
E00109568,3,0,3,4,326
E00109569,14,6,2,1,330
E00109570,7,0,3,0,256
E00109571,1,0,4,0,227
E00109572,8,1,7,2,315
E00109573,2,6,8,1,323
E00109574,6,0,1,0,341
E00109575,1,0,3,0,316
E00109576,5,2,10,0,296
E00109577,5,1,2,0,291
E00109578,4,0,1,0,353
E00109579,10,0,6,2,346
E00109580,4,1,2,0,303
E00109581,1,0,3,0,319
E00109582,2,2,1,13,307
E00109583,0,0,3,17,293
E00109584,1,0,4,0,310
E00109585,7,3,3,8,344
E00109586,5,2,3,1,324
E00109587,7,1,6,0,320
E00109588,1,0,0,2,274
E00109589,9,7,2,8,275
E00109590,16,1,5,0,299
E00109591,19,4,13,1,364
E00109592,10,1,5,3,204
E00109593,33,1,5,0,363
E00109594,16,4,3,0,390
E00109595,25,9,5,2,473
E00109596,32,19,14,2,270
E00109597,27,2,14,11,224
E00109598,16,9,7,0,280
E00109599,29,14,13,5,280
E00109600,1,1,5,3,233
E00109602,6,6,4,3,217
E00109603,50,12,7,1,294
E00109604,7,7,10,0,255
E00109605,6,6,2,5,197
E00109606,19,6,6,2,299
E00109607,53,21,14,11,250
E00109609,30,23,3,4,357
E00109610,26,4,6,2,287
E00109611,9,2,6,1,341
E00109612,13,4,8,2,300
E00109613,3,1,2,0,203
E00109614,43,6,5,0,335
E00109615,10,0,6,1,318
E00109616,11,8,13,1,298
E00109617,13,11,7,0,294
E00109618,10,4,7,1,238
E00109619,7,8,9,0,186
E00109620,11,0,6,1,377
E00109621,16,5,16,2,344
E00109622,11,7,3,3,207
E00109623,14,1,10,7,259
E00109624,18,7,10,6,307
E00109625,28,3,4,2,224
E00109626,15,6,5,1,233
E00109627,14,4,13,4,281
E00109628,19,9,15,1,393
E00109629,4,1,8,1,190
E00109630,24,3,3,3,232
E00109631,15,7,7,0,269
E00109632,25,3,1,5,223
E00109633,18,5,5,2,191
E00109634,6,16,9,7,360
E00109636,5,13,1,0,227
E00109637,8,6,4,1,269
E00109638,2,1,4,1,291
E00109639,23,4,12,2,313
E00109640,24,16,6,5,224
E00109641,0,10,6,1,234
E00109642,57,1,7,0,266
E00109644,13,0,0,0,319
E00109645,1,4,8,1,310
E00109646,19,0,0,0,318
E00109647,19,5,3,0,264
E00109648,6,0,6,0,285
E00109649,14,1,2,0,321
E00109650,5,1,5,1,277
E00109651,12,1,1,1,303
E00109652,16,0,4,3,271
E00109653,17,4,2,0,272
E00109654,10,1,1,0,259
E00109655,2,1,6,0,285
E00109656,13,8,0,0,319
E00109657,4,5,4,1,310
E00109658,12,5,3,1,307
E00109659,1,4,0,1,316
E00109660,29,9,12,1,292
E00109661,11,1,1,0,190
E00109662,22,0,2,2,271
E00109663,8,1,2,0,235
E00109664,32,0,0,3,311
E00109665,4,15,4,0,278
E00109666,13,15,1,0,258
E00109667,8,13,5,1,262
E00109668,27,10,6,0,205
E00109669,1,0,0,0,273
E00109670,8,3,7,5,308
E00109671,1,1,2,1,277
E00109672,35,8,7,2,242
