geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E01001213,314,10,98,80,1
E01001214,336,9,101,30,1
E01001215,283,12,139,116,2
E01001216,292,9,112,52,11
E01001217,350,5,84,13,3
E01001218,253,14,158,263,4
E01001219,194,9,84,363,24
E01001220,91,22,51,305,2
E01001257,173,9,89,385,3
E01001258,421,4,132,69,8
E01001259,325,7,140,29,9
E01001261,295,16,263,114,70
E01001262,283,8,77,186,4
E01001263,300,4,121,220,2
E01001264,380,2,93,132,5
E01001265,332,8,208,75,4
E01001268,495,10,105,18,1
E01001270,427,5,104,24,5
E01001291,345,5,111,29,5
E01001292,375,9,103,13,4
E01001293,318,6,113,39,2
E01001294,382,8,119,24,5
E01001295,397,9,97,17,1
E01001296,282,4,65,50,3
E01001297,317,3,123,51,1
E01001298,335,16,113,65,0
E01001310,433,7,139,56,28
E01001315,317,3,79,70,26
E01001316,218,4,122,272,4
E01001317,371,9,138,158,10
E01001318,275,15,85,284,18
E01001319,352,4,87,42,5
E01001320,180,7,57,289,1
E01001321,456,11,116,145,30
E01001322,406,13,164,41,3
E01001323,391,12,230,48,3
E01001324,298,5,229,99,31
E01001325,361,11,52,176,2
E01001326,286,9,126,237,16
E01001327,321,9,97,165,8
E01001328,256,14,107,239,4
E01001329,350,7,119,150,5
E01001330,199,9,106,317,5
E01001331,177,10,143,285,3
E01001332,168,14,100,270,27
E01001333,202,19,161,178,3
E01001334,165,9,66,277,5
E01001335,369,8,69,71,7
E01001336,259,7,110,138,5
E01001338,297,8,112,98,3
E01001339,180,8,54,267,59
E01001340,102,4,114,231,55
E01001359,318,15,152,75,2
E01001360,339,14,123,24,5
E01001361,179,11,143,117,10
E01001362,291,8,138,69,5
E01001363,277,4,116,57,17
E01001364,196,20,66,215,19
E01001365,373,12,161,37,7
E01001366,296,13,163,66,5
E01001367,196,19,218,87,7
E01001368,270,8,95,82,1
E01001369,259,11,185,68,2
E01001370,310,6,155,55,6
E01001371,284,4,195,92,19
