geocode,female,male
E02000002,3619,3156
E02000003,5201,4844
E02000004,3232,2950
E02000005,4428,4134
E02000007,4692,4099
E02000008,6119,5450
E02000009,4315,4080
E02000010,4530,4085
E02000011,3141,3046
E02000012,5091,4797
E02000013,4369,4033
E02000014,4989,4413
E02000015,3928,3635
E02000016,3644,4032
E02000017,3974,4524
E02000018,4582,4308
E02000019,4279,3997
E02000020,4641,4635
E02000021,4107,3797
E02000022,4368,4409
E02000023,3322,3160
E02000065,3958,3708
E02000066,5048,4593
E02000067,4544,4206
E02000068,3790,3598
E02000069,3203,2991
E02000070,4087,3788
E02000071,3769,3531
E02000072,6114,5620
E02000073,5521,5203
E02000074,4079,3576
E02000075,4083,3865
E02000077,4075,3748
E02000078,3947,3718
E02000079,4137,3728
E02000080,4884,4546
E02000081,3860,3653
E02000082,4538,4338
E02000083,4988,4783
E02000084,5384,5257
E02000085,4128,3765
E02000086,3744,3584
E02000087,3863,3716
E02000088,3947,3790
E02000089,4046,3737
E02000090,4705,4021
E02000091,5142,4540
E02000092,3426,3000
E02000127,4568,3915
E02000128,3800,3494
E02000133,5006,4600
E02000134,5603,5170
E02000136,3004,2724
E02000140,4290,3751
E02000142,4324,3961
E02000144,4443,4238
E02000145,4330,3756
E02000146,4336,3988
E02000148,3424,3161
E02000149,4021,3687
E02000151,3946,3628
E02000152,3444,3128
E02000153,4005,3750
E02000154,4083,3876
E02000155,3567,3338
E02000157,4138,3826
E02000158,3839,3525
E02000159,3534,3278
E02000160,4040,3816
E02000161,4344,4066
E02000162,3577,3116
E02000163,3901,3749
E02000165,3579,3466
E02000313,3276,3290
E02000314,6419,6745
E02000315,4749,4331
E02000316,5191,5559
E02000317,4236,4134
E02000318,4784,5058
E02000319,5303,5668
E02000320,3417,3207
E02000321,3665,3535
E02000323,5220,5454
E02000324,3792,3523
E02000326,3661,3409
E02000327,3286,3539
E02000328,3374,3232
E02000329,3078,3102
E02000331,4026,3805
E02000332,3649,3604
E02000333,3182,3087
E02000334,3290,3179
E02000335,3320,3229
E02000337,4085,3821
E02000339,3044,2926
E02000340,3111,2977
E02000341,4027,3656
E02000342,3433,3020
E02000343,3403,3272
E02000344,3237,3150
E02000464,3380,3071
E02000465,4092,3838
E02000466,4382,3905
E02000467,5043,4600
E02000468,4091,3691
E02000469,3407,3036
E02000470,4045,3842
