geocode,female,male
E02001678,5232,4786
E02001679,3257,3016
E02001680,3142,2985
E02001681,3861,3598
E02001827,3143,2902
E02001828,3645,3275
E02001829,4470,4265
E02001830,4892,4545
E02001831,5428,4898
E02001832,4166,4002
E02001833,2953,2855
E02001834,3246,2893
E02001835,4174,4002
E02001836,4702,4478
E02001837,5494,5091
E02001838,3947,3726
E02001839,3377,3065
E02001840,4648,4123
E02001841,3075,2918
E02001842,3955,3708
E02001843,3290,3165
E02001844,4966,4750
E02001845,3270,3004
E02001846,4010,3819
E02001847,2828,2693
E02001848,3413,2959
E02001849,3526,3356
E02001850,4204,3969
E02001851,4450,4126
E02001852,3332,3212
E02001854,3970,3807
E02001855,5389,4582
E02001856,4259,4253
E02001857,6463,6439
E02001858,4240,4213
E02001859,5015,5100
E02001860,4139,4198
E02001861,4910,5251
E02001862,5053,4851
E02001863,3890,3949
E02001864,2892,2639
E02001865,5320,5612
E02001866,4217,4454
E02001867,3548,3353
E02001868,4443,4174
E02001869,3134,2926
E02001870,5914,5646
E02001871,4100,3621
E02001872,3819,3342
E02001873,5285,5249
E02001874,4659,4693
E02001875,4060,4108
E02001876,5890,6019
E02001877,5276,5379
E02001878,4481,4474
E02001879,4930,5446
E02001880,4978,4456
E02001881,4718,4616
E02002000,3981,3801
E02002001,3016,2935
E02002002,3645,3439
E02002003,4655,4446
E02002004,3892,3626
E02002005,4210,3880
E02002006,3225,3175
E02002007,4450,4281
E02002008,4203,4126
E02002009,3478,3232
E02002010,3534,3652
E02002011,3032,2832
E02002012,3918,3872
E02002013,3446,3251
E02002014,3522,3407
E02002015,2997,3027
E02002016,4022,3804
E02002017,4135,4144
E02002018,4600,4436
E02002019,3955,3902
E02002020,4804,4647
E02002043,4324,4156
E02002044,3906,3592
E02002045,3999,3755
E02002046,2935,2691
E02002047,3313,3152
E02002048,3258,3162
E02002049,2957,2975
E02002051,2852,2665
E02002052,5484,5166
E02002053,3052,2923
E02002054,2889,2694
E02002055,4602,4451
E02002056,4307,4317
E02002057,4602,4394
E02002058,5887,5790
E02002059,5323,5210
E02002060,3080,3193
E02002061,2791,3011
E02002062,3471,3695
E02002063,4657,4515
E02002064,6063,5907
E02002065,6056,6090
E02002066,3616,3595
E02002067,2806,2702
E02002068,6029,5954
E02002069,3308,3259
E02002070,4635,4505
E02002071,3391,3116
E02002072,4136,4210
E02002073,3948,3602
E02002081,2780,2599
E02002082,3109,2800
E02002083,2954,2884
E02002084,3292,2891
E02002085,3224,3028
E02002110,3446,3307
E02002111,2933,2990
E02002112,2743,2692
E02002113,3293,3175
E02002114,3093,2940
E02002115,3369,3195
E02002116,3454,3285
E02002117,3072,2979
E02002118,3751,3444
E02002119,3039,2951
E02002120,3197,3069
E02002121,3190,3021
E02002122,2774,2744
E02002123,3291,3140
E02002124,3596,3297
E02002125,3073,2845
E02002126,3197,3145
E02002127,4228,4103
E02002128,2850,2697
E02002129,2949,2953
E02002130,3367,3227
E02002131,4007,3840
E02002132,3407,2964
E02002133,3269,3376
E02002134,4239,3982
E02002135,3568,3513
E02002136,3826,3736
E02002137,3196,3089
E02002138,3178,3125
E02002139,4618,4880
E02002140,4042,3979
E02002141,3438,3252
E02002142,3423,3370
E02002143,5035,4992
E02002144,3411,3292
E02002145,3448,3351
E02002146,3354,3151
E02002147,3957,3901
E02002148,5683,5327
E02002149,5181,4846
E02002150,2966,2749
E02002151,3020,2806
E02002152,3265,2967
E02002153,3807,3695
E02002154,2903,2677
E02002155,3122,2707
E02002156,4349,4016
E02002157,3951,3791
E02002158,3883,3776
E02002159,3094,2929
E02002160,3570,3478
E02002161,3087,3201
E02002162,3946,3610
E02002163,5421,5829
E02002164,3104,3739
E02002165,3505,4224
E02002166,4589,4467
E02002167,3333,3215
E02002168,4988,5333
E02002169,4454,4193
E02002170,3246,3007
E02002171,3679,3688
E02002174,3859,3719
E02002175,3554,3477
E02002176,3945,3747
E02002177,4529,4503
E02002178,4088,4026
E02002179,3283,3118
E02002180,3279,3113
E02002181,3592,3487
E02002182,3414,3231
E02002586,5069,4747
E02002587,3598,3327
E02002588,3932,3568
E02002589,3288,3160
E02002796,3162,2973
E02002797,3862,3625
E02002798,5140,4998
E02002799,3093,2899
E02002800,3657,3474
E02002801,3920,3691
E02002802,4138,3874
E02002803,3595,4171
E02002804,4010,3623
E02002806,3046,3501
E02002807,4595,4426
E02002808,5585,6234
E02002810,4253,3967
E02002811,4724,5247
E02002812,3543,3422
E02002813,4933,5389
E02002814,3852,3508
E02002815,3799,3865
E02002816,4792,4614
E02002817,3292,3025
E02002818,3944,3721
E02002819,3666,3742
E02002820,4899,4809
E02002821,5691,5319
E02002822,3529,3209
E02002823,3889,3586
E02002824,4958,4698
E02002825,4370,4174
E02002826,3456,3198
E02002928,3013,2990
E02002929,3105,3125
E02002930,2785,2748
E02002931,3242,3128
E02002932,4356,4264
E02002933,4163,4044
E02002934,3080,2927
E02002935,3396,3283
E02002936,4382,4234
E02002937,5002,5131
E02002938,3348,3378
E02002939,3298,3121
E02002940,3096,2988
E02002941,4800,4745
E02002942,3144,3181
E02002943,4780,4739
E02002944,3913,3877
E02002945,4682,4699
E02002946,3988,3912
E02002947,3471,3452
E02002948,3616,3282
E02002949,2690,2639
E02002950,2742,2662
E02002951,3929,3785
E02002952,3527,3302
E02002953,3849,3501
E02002954,4233,4025
E02002955,3597,3449
E02002956,4698,4579
E02002957,4963,4787
E02002958,4102,3875
E02002959,4106,4330
E02002960,2924,2976
E02002961,3168,3312
E02002962,3608,3350
E02002963,3579,3715
E02002964,4394,4126
E02002965,3200,3926
E02002966,3932,5147
E02002967,5050,4697
E02002968,4559,4471
E02002969,4197,4456
E02002970,4145,3978
E02002971,2617,2635
E02002972,3187,3078
E02002973,3981,4064
E02002974,2859,2763
E02002975,3832,3826
E02002976,3100,2908
E02002977,3052,2832
E02002978,3199,3182
E02002979,2812,2810
E02002980,3125,2957
E02002981,4228,4032
E02002982,3544,3504
E02002983,2795,2785
E02002984,2922,2832
E02003800,3248,3025
E02003809,3844,3652
E02003810,4102,3871
E02003811,2952,2941
E02003812,2906,2699
E02003813,3162,3086
E02003814,3719,3628
E02003815,3427,3391
E02003816,3452,3371
E02003817,3603,3426
E02003818,2958,2854
E02003819,2995,2753
E02003820,3413,3379
E02003821,2787,2649
E02003822,5348,5286
E02003823,3389,3136
E02003824,2668,2582
E02003825,3321,3479
E02003826,3886,3627
E02003827,4400,4307
E02003828,3454,3259
E02003829,3280,3156
E02003830,3688,3606
E02003831,4643,4419
E02003832,2887,3121
E02003833,3267,3107
E02003834,3338,3399
E02003835,3960,3893
