geocode,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80plus
E00140750,44,21,33,49,44,36,32,27,34
E00140752,33,58,26,36,62,79,44,11,10
E00140753,26,24,27,33,48,47,38,8,17
E00140754,23,35,27,33,51,38,37,17,13
E00140755,31,36,19,27,39,29,35,10,22
E00140756,44,71,28,33,68,75,25,4,2
E00140757,32,17,32,30,23,38,25,17,10
E00140758,38,47,28,35,73,58,31,5,5
E00140759,26,20,21,27,42,51,55,10,16
E00140760,23,38,21,20,46,39,36,16,35
E00140761,12,8,11,15,23,35,48,19,34
E00140762,27,30,24,35,42,33,28,20,33
E00140763,22,25,27,29,51,26,49,20,42
E00140764,26,27,22,42,32,25,42,17,34
E00140765,31,36,29,39,47,39,36,26,29
E00140766,52,60,36,78,59,38,21,5,15
E00140767,35,30,30,37,32,35,22,11,23
E00140769,22,24,7,11,41,58,63,21,30
E00140770,21,25,7,12,25,37,65,22,40
E00140771,29,27,13,27,43,30,39,19,20
E00140772,50,41,10,41,69,40,46,17,27
E00140773,35,48,24,33,58,50,51,24,26
E00140774,9,11,11,12,18,29,55,35,47
E00140775,38,35,9,36,61,61,62,23,21
E00140776,34,45,29,32,57,55,48,15,31
E00140777,32,42,21,21,49,50,40,13,15
E00140778,20,31,15,10,35,21,26,5,9
E00140790,29,35,22,28,65,49,43,10,20
E00140791,18,13,14,10,16,22,28,8,17
E00140793,10,22,10,11,27,27,12,7,11
E00140795,15,24,11,13,32,23,25,23,23
E00140796,17,15,12,11,28,32,44,9,19
E00140799,32,39,17,26,44,57,43,18,23
E00140800,30,38,14,29,51,38,70,19,36
E00140801,54,43,19,42,77,88,70,21,36
E00140802,29,64,31,40,57,24,31,8,13
E00140803,20,24,18,23,39,45,37,15,53
E00140804,32,51,40,37,72,52,48,11,25
E00140805,34,41,63,42,58,39,29,14,15
E00140807,43,31,59,70,43,33,31,9,13
E00140808,43,41,33,50,30,29,19,10,18
E00140809,58,68,36,39,61,39,27,7,12
E00140810,59,63,49,54,55,31,24,6,7
E00140811,34,28,20,27,48,27,22,19,35
E00140812,59,55,44,57,60,37,23,19,18
E00140813,7,9,9,5,17,31,31,17,29
E00140814,64,53,21,53,71,42,23,9,16
E00140815,39,35,47,37,42,40,21,13,26
E00140816,26,44,23,12,62,33,24,14,35
E00140817,47,64,44,58,67,39,32,10,9
E00140818,46,56,33,53,87,38,16,8,13
E00140819,70,60,67,95,82,45,26,11,16
E00140820,32,15,56,56,36,56,32,13,121
E00140822,28,47,32,29,67,53,45,16,43
E00140823,40,52,28,40,61,32,41,23,31
E00140824,36,36,16,15,63,46,50,18,59
E00140825,28,29,32,45,39,37,41,14,23
E00140826,35,32,54,40,55,59,44,13,76
E00140827,37,36,31,25,44,49,41,20,35
E00140828,21,169,33,32,43,45,52,19,39
E00140829,49,51,14,25,87,38,21,3,12
E00140830,19,47,14,16,48,58,44,14,41
E00140831,24,38,17,16,45,31,45,14,74
E00140832,16,15,15,13,35,33,38,24,64
E00140833,36,37,30,32,51,54,54,19,58
E00140834,34,21,51,56,49,40,34,6,13
E00140835,40,45,53,55,64,36,22,9,17
E00140836,12,7,6,13,15,7,19,14,117
E00140837,67,42,23,64,55,27,29,3,6
E00140838,50,23,36,34,40,29,18,10,19
E00140839,17,38,16,23,40,40,44,9,50
E00140840,13,11,37,21,21,24,34,22,59
E00140841,40,20,56,60,25,13,11,3,7
E00140842,28,12,71,65,25,28,16,8,13
E00140843,6,17,18,26,20,30,36,19,60
E00140844,20,23,29,35,47,44,52,8,28
E00140845,22,31,56,50,44,15,17,4,7
E00140846,30,31,70,66,38,19,7,5,4
E00140847,51,18,83,56,28,18,7,2,9
E00140848,23,28,50,56,38,21,14,0,4
E00140849,33,20,52,60,38,26,14,2,7
E00140850,36,31,32,38,57,37,40,7,15
E00140851,37,20,64,52,56,34,27,4,3
E00140852,24,21,48,55,47,29,19,6,7
E00140853,55,27,66,68,51,35,22,7,6
E00140854,49,26,58,57,42,9,15,5,5
E00140855,30,32,76,69,63,20,27,4,8
E00140856,30,14,101,74,35,28,17,4,6
E00140857,25,12,70,65,31,22,19,11,48
E00140858,19,17,57,53,48,32,9,3,4
E00140859,9,14,13,26,30,19,28,19,47
E00140860,23,20,32,23,42,40,30,20,42
