geocode,employee,inactive,self-employed,student,unemployed
E00006021,100,105,35,1,13
E00006022,105,53,37,4,5
E00006023,146,73,40,7,6
E00006024,125,58,42,1,7
E00006025,102,48,29,6,6
E00006026,87,77,28,1,8
E00006027,72,108,18,13,23
E00006028,100,61,38,4,8
E00006029,85,83,21,14,25
E00006030,113,52,36,4,6
E00006031,73,133,18,18,25
E00006032,140,88,38,3,8
E00006033,107,76,27,7,10
E00006034,132,61,29,3,5
E00006035,83,53,25,8,14
E00006036,154,32,28,7,14
E00006037,151,47,40,5,16
E00006038,102,46,33,9,18
E00006039,153,39,39,6,8
E00006040,173,72,48,16,10
E00006041,112,64,36,2,4
E00006042,123,77,20,6,14
E00006043,38,53,15,7,14
E00006044,144,78,34,7,6
E00006045,154,49,37,6,7
E00006046,147,131,29,13,19
E00006047,137,62,47,5,6
E00006048,81,70,10,12,27
E00006049,115,74,39,1,5
E00006050,115,58,35,6,3
E00006051,63,85,11,5,15
E00006052,99,46,15,1,8
E00006053,109,71,38,3,9
E00006054,137,51,32,4,6
E00006055,146,64,41,10,6
E00006056,83,40,31,3,5
E00006091,116,90,55,5,11
E00006092,172,108,34,10,18
E00006093,167,44,33,4,5
E00006094,169,70,43,2,8
E00006095,98,75,34,4,11
E00006096,103,43,29,0,18
E00006097,131,80,35,7,8
E00006098,118,52,27,2,6
E00006099,114,38,23,5,4
E00006100,156,57,10,7,14
E00006101,117,38,28,4,8
E00006102,129,64,45,8,7
E00006103,102,40,20,6,7
E00006104,129,75,26,2,11
E00006105,145,71,41,10,18
E00006106,112,57,31,6,2
E00006107,92,68,31,3,7
E00006108,92,75,39,3,4
E00006109,106,69,25,1,5
E00006110,128,49,54,9,4
E00006111,94,85,42,12,11
E00006112,108,59,46,10,3
E00006113,178,47,33,9,7
E00006114,111,56,38,5,6
E00006115,190,73,63,4,10
E00006116,100,67,33,3,6
E00006118,122,51,45,3,9
E00006119,147,65,30,5,12
E00006120,84,46,31,4,1
E00006121,103,40,16,1,10
E00006122,93,54,23,3,3
E00006123,131,50,30,6,11
E00006124,175,51,45,7,15
E00006125,140,105,42,8,24
E00006126,306,45,70,17,9
E00006127,171,32,31,6,8
E00006128,105,37,26,7,8
E00006129,216,69,56,10,15
E00006130,230,76,36,15,19
E00006131,97,41,38,4,15
E00006132,70,51,18,5,4
E00006133,157,39,30,8,11
E00006134,126,46,26,11,10
E00006135,126,58,22,8,11
E00006136,203,40,30,7,7
E00006137,154,40,31,7,7
E00006163,107,30,30,9,5
E00006164,124,55,32,8,10
E00006165,148,52,38,7,6
E00006166,235,52,36,6,16
E00006167,150,65,22,4,10
E00006168,103,39,16,2,18
E00006169,109,35,37,2,10
E00006170,164,39,46,6,8
E00006171,163,73,21,7,5
E00006172,142,49,27,6,6
E00006173,97,54,16,6,9
E00006174,94,47,18,5,3
E00006176,182,64,49,11,14
E00006177,115,46,35,2,8
E00006178,128,40,34,8,12
E00006179,130,45,23,0,8
E00006181,207,102,69,22,28
E00006194,108,88,31,24,26
E00006198,191,105,63,31,17
E00006199,153,89,39,12,16
E00006200,113,57,11,9,12
E00006202,141,72,30,15,9
E00006205,191,75,48,23,11
E00006228,278,101,33,12,24
E00006229,168,62,29,16,9
E00006230,161,72,57,13,18
E00006231,121,117,28,11,25
E00006232,114,77,19,5,15
E00006234,128,63,22,6,17
E00006235,146,53,43,6,16
E00006236,76,80,23,7,15
E00006237,66,67,27,4,16
E00006238,111,58,39,8,15
E00006239,31,36,7,6,5
E00006240,115,62,33,8,16
E00006241,163,82,30,11,21
E00006242,120,59,38,7,6
E00006243,139,46,38,5,15
E00006244,141,51,48,8,17
E00006245,129,65,42,2,6
E00006246,125,96,38,6,16
E00006269,106,44,22,8,10
E00006293,127,60,26,5,8
E00006298,171,84,52,14,11
E00006299,154,103,53,14,15
E00006302,108,70,38,15,9
E00006303,125,90,33,11,10
E00006313,87,98,14,8,16
E00006314,215,78,75,13,16
E00006315,125,68,35,5,15
E00006316,147,67,53,9,15
E00006319,153,84,50,17,13
E00006321,127,46,35,8,13
E00006323,177,62,55,17,20
E00006325,148,101,62,10,12
E00006326,156,79,56,14,15
E00006330,145,104,58,14,14
E00006331,113,85,28,2,12
E00006332,86,78,12,10,17
E00006333,188,135,45,16,13
E00006335,145,66,31,6,16
E00006336,175,105,44,12,19
E00006339,123,67,43,12,9
E00006343,141,71,52,15,14
E00006345,123,46,49,8,14
E00006346,125,41,36,5,11
E00006348,124,61,36,8,8
E00006349,156,67,47,17,11
E00006350,164,93,37,11,21
E00006352,80,66,31,5,7
E00006353,95,72,27,4,6
E00006354,110,65,38,2,5
E00006355,131,61,40,5,10
E00006356,104,55,37,10,8
E00006357,156,72,41,7,5
E00006358,118,73,31,5,9
E00006359,95,42,25,3,8
E00006360,105,109,21,3,40
E00006361,96,48,32,8,4
E00006362,98,99,19,14,5
E00006363,100,65,17,1,6
E00006364,193,42,38,8,14
E00006365,113,46,16,4,6
E00006366,202,40,26,5,9
E00006367,153,66,33,6,8
E00006368,111,68,44,2,18
E00006369,120,52,38,5,14
E00006370,154,90,45,9,22
E00006371,112,49,29,8,17
E00006372,164,83,69,10,8
E00006373,152,46,34,9,5
E00006374,177,98,73,8,13
E00006375,148,59,65,17,11
E00006376,119,70,74,10,15
E00006377,115,57,32,3,6
E00006378,115,58,39,5,4
E00006379,175,82,43,7,11
E00006380,110,67,35,6,8
E00006381,117,74,34,6,10
E00006382,132,40,32,5,6
E00006383,85,63,39,14,23
E00006384,125,53,30,2,6
E00006385,131,67,51,7,16
E00006386,113,40,30,6,13
E00006387,127,99,33,6,6
E00006388,111,68,29,3,4
E00006389,126,85,35,5,9
E00006390,119,44,28,4,5
E00006391,113,55,45,5,4
E00006392,69,71,18,2,13
E00006393,132,51,28,7,3
E00006394,130,47,27,11,4
E00006395,113,90,32,8,5
E00006396,99,89,57,4,14
E00006397,125,109,44,6,7
E00006398,121,107,25,10,9
E00006399,122,43,17,3,11
E00006400,104,59,33,8,12
E00006401,74,90,24,8,9
E00006402,103,65,35,9,10
E00006403,133,79,39,9,9
E00006404,149,54,29,9,13
E00006405,128,60,41,4,13
E00006406,86,55,30,4,7
E00006407,91,89,23,14,23
E00006408,91,119,12,19,18
E00006409,124,76,36,10,15
E00006410,166,64,56,9,9
E00006411,129,49,46,7,8
E00006412,136,56,37,5,6
E00006413,157,67,48,8,9
E00006414,107,39,38,7,7
E00006415,150,58,41,4,16
E00006416,99,73,35,14,14
E00006417,138,51,43,8,6
E00006418,116,70,26,4,13
E00006419,180,65,47,9,14
E00006420,150,57,55,1,11
E00006421,154,71,56,10,11
E00006422,158,66,42,7,15
E00006423,145,52,40,8,5
E00006424,146,78,36,15,7
E00006425,103,72,61,12,22
E00006426,120,79,45,17,24
E00006427,147,58,26,14,4
E00006428,83,60,12,4,12
E00006429,116,62,30,7,23
E00006430,70,46,9,0,12
E00006431,100,65,33,8,15
E00006432,93,86,25,12,7
E00006433,109,52,37,11,8
E00006434,132,72,40,13,11
E00006435,49,67,8,5,6
E00006436,81,69,19,3,14
E00006437,48,68,25,2,3
E00006438,100,60,34,7,4
E00006439,106,82,45,10,10
E00006440,121,104,45,15,21
E00006441,112,50,34,10,8
E00006442,120,70,30,8,10
E00006517,203,87,82,15,25
E00006518,114,83,30,7,15
E00006519,144,74,48,11,16
E00006520,154,96,32,16,7
E00006521,161,72,44,11,13
E00006523,147,60,48,19,15
E00006524,152,66,42,12,9
E00006525,149,80,44,10,15
E00006526,169,75,55,10,12
E00006527,176,107,49,4,23
E00006528,157,64,47,16,9
E00006529,173,62,27,13,12
E00006530,132,62,33,11,11
E00006531,143,68,33,0,9
E00006532,158,50,36,8,12
E00006533,127,68,31,15,13
E00006534,215,112,50,16,19
E00006535,123,56,33,6,13
E00006536,139,59,31,4,11
E00006537,173,97,51,18,26
E00006538,144,82,30,7,4
E00006539,129,57,50,5,13
E00006540,165,104,37,15,14
E00006542,133,61,28,13,7
E00006544,145,68,50,11,11
E00006547,156,93,46,8,13
E00006550,146,92,37,6,16
E00006551,121,126,51,18,21
E00006552,185,96,38,18,14
E00006553,89,74,31,6,12
E00006554,128,105,46,9,18
E00006666,180,80,37,21,13
E00006673,166,84,65,8,10
E00006674,134,57,40,3,8
E00006675,151,78,46,9,16
E00006676,147,51,56,4,11
E00006677,114,102,54,8,15
E00006678,130,61,58,11,12
E00006679,112,90,32,12,22
E00006680,106,67,25,3,6
E00006681,160,91,49,8,12
E00006682,110,77,48,9,15
E00006683,156,68,36,6,10
E00006684,135,82,78,13,20
E00006685,117,25,29,6,5
E00006686,100,73,10,8,22
E00006687,109,68,33,11,11
E00006688,174,78,48,8,13
E00006689,144,106,44,15,17
E00006690,184,100,43,6,14
E00006691,161,101,34,12,10
E00006692,117,69,34,5,16
E00006693,105,52,49,10,14
E00006694,90,69,29,7,12
E00006695,168,83,58,7,19
E00006696,145,80,43,18,12
E00006697,98,41,39,9,14
E00006698,163,94,53,16,17
E00006699,169,110,65,16,10
E00006701,171,98,40,20,20
E00006702,135,81,38,2,14
E00006703,168,67,38,5,6
E00006704,135,64,42,6,21
E00006705,135,76,31,4,8
E00006706,140,82,67,4,8
E00006707,136,72,43,7,12
E00006708,130,93,28,13,22
E00006709,114,93,35,16,20
E00006710,112,73,58,6,7
E00006711,152,102,48,6,9
E00006712,137,104,48,9,14
E00006738,110,57,25,12,12
E00006739,137,64,30,7,14
E00006740,116,68,26,4,12
E00006741,85,47,46,4,10
E00006742,135,52,41,8,9
E00006743,146,82,47,10,10
E00006744,128,58,42,2,8
E00006745,183,71,65,9,8
E00006746,87,67,37,8,12
E00006747,244,74,47,11,10
E00006749,128,54,46,13,13
E00006889,123,39,27,8,8
E00006891,118,59,27,6,11
E00006892,47,38,24,2,9
E00006893,151,35,31,6,14
E00006894,189,77,51,10,10
E00006895,122,18,30,2,5
E00006896,157,42,37,5,15
E00006900,63,67,8,7,11
E00006901,178,67,38,14,17
E00006902,48,83,18,5,7
E00010717,97,98,42,8,10
E00010719,127,76,63,7,9
E00010720,150,60,48,21,8
E00010721,88,69,27,9,9
E00010722,156,85,52,16,18
E00010723,137,56,41,8,8
E00166845,122,40,33,4,19
E00166850,149,41,19,5,10
E00166857,220,83,50,16,16
E00166858,88,39,28,8,9
E00166862,164,67,38,24,15
E00174551,44,51,10,8,14
E00174553,204,123,30,15,23
E00174556,201,93,36,19,19
E00174682,196,105,25,29,23
E00174683,136,123,33,41,21
E00174684,144,58,29,17,12
E00174687,138,46,13,16,16
E00174690,90,59,27,15,12
E00174692,107,99,11,17,23
E00174693,194,106,31,10,19
E00174701,128,94,45,18,13
E00174704,111,86,27,12,15
E00174705,185,89,50,14,16
E00174713,151,95,29,18,14
E00174715,136,63,23,5,11
E00174721,117,85,16,14,11
E00174722,102,127,13,27,83
E00174723,151,103,43,28,17
E00174724,118,63,18,8,18
E00174727,116,108,24,20,10
E00174728,73,56,18,9,9
E00174729,136,58,23,15,17
E00174731,104,106,16,21,23
E00174733,92,92,17,9,7
E00174735,95,84,19,16,13
