geocode,female,male
E01004775,756,756
E01004776,912,890
E01004777,846,755
E01004778,586,600
E01004779,788,769
E01004780,1006,981
E01004781,919,897
E01004782,594,524
E01004783,741,749
E01004831,816,814
E01004835,720,768
E01004836,779,712
E01004837,819,813
E01004838,855,817
E01004839,1018,960
E01004840,829,823
E01004841,876,844
E01004842,896,806
E01004843,802,715
E01004844,800,781
E01004845,862,852
E01004881,787,650
E01004882,690,672
E01004883,713,718
E01004884,736,734
E01004885,697,669
E01004886,712,671
E01004887,720,695
E01004888,647,675
E01004889,766,667
E01004890,733,669
E01004891,811,783
E01004892,811,720
E01004893,752,780
E01004894,936,904
E01004895,704,621
E01004897,531,554
E01004899,782,757
E01004900,815,784
E01004901,893,919
E01004919,760,745
E01004920,850,734
E01004936,1025,1004
E01004938,759,734
E01004939,759,760
E01006229,781,746
E01006230,721,696
E01006231,739,738
E01006232,981,874
E01006233,760,737
E01006234,609,621
E01006235,778,746
E01006236,746,734
E01006237,785,791
E01006238,803,727
E01006253,797,747
E01006254,875,782
E01006255,761,744
E01006256,692,747
E01006257,652,655
E01006258,872,812
E01006259,655,666
E01006260,795,735
E01006271,905,880
E01006305,909,874
E01006306,719,827
E01006307,696,736
E01006308,844,796
E01006311,810,783
E01006312,743,738
E01006313,539,528
E01006314,865,814
E01006315,629,608
E01006316,743,743
E01006317,778,745
E01006318,717,729
E01006319,733,706
E01006320,676,702
E01006321,852,858
E01006350,921,902
E01006356,737,735
E01006357,917,810
E01006360,841,834
E01006361,791,825
E01006362,883,899
E01006363,801,741
E01006369,796,900
E01006370,720,878
E01006371,761,782
E01006372,880,795
E01006373,758,745
E01006374,802,747
E01006375,789,813
E01006386,710,824
E01006387,669,650
E01006388,835,856
E01006389,713,687
E01006390,777,762
E01006391,788,799
E01006392,733,766
E01006396,759,713
E01006397,575,560
E01006398,539,547
E01012572,764,788
E01012573,876,924
E01012575,662,622
E01012589,738,684
E01012590,721,635
E01012591,819,742
E01012593,889,886
E01012594,776,697
E01012595,976,927
E01012596,911,865
E01012597,860,907
E01012598,1481,1511
E01012599,573,596
E01012600,727,715
E01012601,784,747
E01012602,815,786
E01012603,805,775
E01012604,909,777
E01012609,798,779
E01012610,652,622
E01012611,535,516
E01012612,724,675
E01012613,672,675
E01012618,754,711
E01012619,708,692
E01012620,708,680
E01012621,781,709
E01012622,815,836
E01012623,758,775
E01012624,771,799
E01012625,812,821
E01012628,574,591
E01012629,546,599
E01012630,1099,1172
E01012631,640,652
E01012648,587,591
E01012649,750,712
E01012650,693,686
E01012651,869,824
E01012652,784,755
E01012653,650,644
E01012654,797,860
E01012655,784,1070
E01012657,970,1061
E01012658,907,918
E01012659,728,683
E01024915,1120,1061
E01024916,842,831
E01024917,862,861
E01024918,904,845
E01024919,1303,1269
E01024920,979,960
E01024921,1108,1015
E01024922,752,698
E01024923,606,628
E01024924,687,725
E01024925,894,814
E01024926,995,926
E01024927,863,804
E01024928,792,735
E01024929,680,665
E01024930,705,733
E01024931,782,705
E01024932,513,512
E01024933,693,663
E01024934,793,716
E01024935,746,672
E01024936,748,798
E01024937,766,722
E01024938,797,827
E01024939,887,857
E01024940,795,904
E01024941,785,783
E01024942,834,795
E01024943,1185,1108
E01024944,916,870
E01024945,1464,1425
E01024946,645,596
E01024947,660,688
E01024948,717,739
E01024949,1167,1128
E01024950,663,694
E01024951,599,606
E01024952,637,663
E01024953,698,698
E01024954,697,702
E01024955,726,749
E01024956,743,701
E01024957,749,692
E01024958,687,684
E01024959,875,865
E01024960,824,799
E01024961,817,785
E01024962,792,752
E01024963,782,733
E01024964,741,721
E01024965,709,691
E01024966,805,783
E01024967,668,634
E01024968,955,936
E01024969,733,631
E01024970,673,697
E01024971,677,619
E01024972,635,629
E01024973,1088,1047
E01024974,789,758
E01024975,659,2497
E01024976,800,755
E01024977,1141,1098
E01024978,670,671
E01024979,717,665
E01024980,713,675
E01025399,842,737
E01025400,980,865
E01025401,739,733
E01025402,725,710
E01025403,1012,1009
E01025404,610,599
E01025405,629,582
E01025406,627,596
E01025407,1022,928
E01025408,752,695
E01025409,679,643
E01025410,716,678
E01025411,1058,996
E01025412,749,729
E01025413,939,862
E01025414,783,788
E01025415,1028,1023
E01025416,778,771
E01025417,745,679
E01025418,724,675
E01025419,832,766
E01025420,1343,1413
E01025421,1154,1153
E01025422,706,634
E01025423,707,646
E01025424,655,606
E01025427,710,728
E01025428,824,730
E01025429,717,630
E01025430,1021,975
E01025431,873,871
E01025433,927,893
E01025434,987,975
E01025435,787,730
E01025436,1140,1137
E01025437,887,903
E01025438,668,651
E01025439,741,647
E01025440,725,687
E01025441,744,664
E01025442,531,544
E01025443,710,661
E01025444,672,644
E01025445,743,700
E01025446,793,724
E01025447,654,542
E01025448,802,806
E01025449,509,493
E01025450,544,492
E01025451,1001,975
E01025452,849,854
E01025453,847,818
E01025454,634,645
E01025455,752,706
E01025457,706,691
E01025458,751,725
E01025459,840,838
E01025460,1048,1004
E01025461,968,973
E01025462,848,881
E01025463,709,668
E01025464,644,653
E01025465,564,554
E01025466,765,726
E01025467,1060,953
E01025468,874,840
E01025469,809,758
E01025470,752,750
E01025471,789,738
E01025480,786,657
E01025481,737,714
E01025482,746,710
E01025492,667,619
E01025493,836,799
E01025505,729,696
E01025506,995,975
E01025510,717,648
E01025511,601,546
E01025512,665,607
E01025520,622,608
E01025521,869,818
E01025522,581,563
E01025523,845,808
E01025524,738,746
E01025525,832,793
E01025526,883,813
E01025527,708,682
E01025528,852,915
E01025529,907,916
E01025534,905,845
E01025536,812,712
E01025538,787,744
E01025539,715,640
E01025540,640,561
E01032928,977,952
E01032929,569,515
E01033218,797,784
E01033219,741,755
