geocode,female,male
E01021402,1044,1034
E01021403,767,794
E01021407,1082,1098
E01021408,916,862
E01021637,574,610
E01021638,650,594
E01021639,886,1089
E01021640,620,585
E01021641,703,700
E01021642,1037,966
E01021643,1259,1189
E01021644,854,856
E01021645,736,757
E01021646,1035,988
E01021647,891,900
E01021648,1172,1184
E01021649,958,916
E01021650,965,987
E01021651,801,825
E01021652,747,777
E01021653,654,678
E01021654,985,930
E01021655,709,685
E01021656,788,761
E01021657,822,760
E01021658,563,488
E01021659,1048,1031
E01021660,729,748
E01021661,907,869
E01021662,781,815
E01021663,566,533
E01021664,1045,1000
E01021665,712,652
E01021666,660,635
E01021667,773,704
E01021668,814,837
E01021669,806,719
E01021670,798,752
E01021671,745,712
E01021673,772,654
E01021674,705,653
E01021675,671,641
E01021676,775,678
E01021677,601,611
E01021678,651,688
E01021679,1171,1189
E01021680,1450,1376
E01021681,1341,1349
E01021682,1365,1324
E01021683,642,1726
E01021684,747,768
E01021685,995,922
E01021686,929,919
E01021687,843,787
E01021688,719,685
E01021689,760,693
E01021690,675,645
E01021691,757,709
E01021692,778,715
E01021693,870,794
E01021694,731,716
E01021695,585,564
E01021696,826,733
E01021697,832,828
E01021698,756,751
E01021699,809,681
E01021700,807,704
E01021702,693,638
E01021703,659,616
E01021704,754,762
E01021705,1008,1026
E01021706,718,634
E01021707,725,641
E01021708,724,697
E01021709,714,720
E01021710,1010,942
E01021711,687,608
E01021713,601,590
E01021714,875,907
E01021715,743,719
E01021717,881,845
E01021718,760,761
E01021719,778,763
E01021720,857,704
E01021721,1030,955
E01021722,879,796
E01021723,852,789
E01021724,876,794
E01021725,643,647
E01021726,787,740
E01021727,754,701
E01021728,816,820
E01021729,886,822
E01021730,892,838
E01021731,778,667
E01021732,807,716
E01021733,775,726
E01021734,700,657
E01021735,719,638
E01021736,1734,1657
E01021737,639,593
E01021738,1078,1026
E01021739,790,773
E01021740,897,838
E01021873,670,703
E01021874,693,655
E01021875,706,701
E01021878,715,686
E01021879,686,680
E01021880,716,712
E01021881,586,578
E01021882,1048,976
E01021885,550,581
E01021899,678,707
E01021900,548,549
E01021901,939,939
E01021904,745,760
E01021905,623,634
E01021906,774,736
E01021907,1078,1104
E01021908,993,984
E01021909,676,673
E01021910,742,727
E01021911,634,613
E01021967,1033,976
E01021968,938,838
E01021969,768,658
E01021970,893,746
E01021971,506,536
E01021972,626,643
E01021973,573,566
E01021974,576,585
E01021975,791,693
E01021976,733,675
E01021977,869,788
E01021978,1131,1102
E01021979,776,708
E01021980,909,856
E01021981,862,828
E01021982,910,874
E01021983,682,671
E01021984,1078,949
E01021985,724,608
E01021986,796,649
E01021987,668,557
E01021988,865,913
E01021989,766,685
E01021990,829,741
E01021991,503,514
E01021992,596,575
E01021993,1136,1117
E01021994,610,520
E01021995,731,638
E01021996,756,592
E01021997,628,695
E01021998,673,680
E01021999,927,801
E01022000,856,775
E01022001,832,836
E01022002,997,917
E01022004,874,782
E01022005,870,845
