geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E00053701,102,0,17,6,1
E00053702,97,0,35,1,0
E00053703,38,4,4,59,1
E00053704,102,1,26,2,0
E00053705,79,2,29,20,0
E00053707,109,2,26,1,0
E00053708,87,0,6,30,0
E00053709,115,1,5,1,1
E00053710,90,0,28,2,0
E00053711,98,1,30,0,0
E00053712,73,5,31,21,1
E00053713,96,0,27,1,2
E00053714,81,1,48,0,0
E00053715,112,0,8,5,0
E00053716,118,3,33,2,0
E00053717,103,1,13,9,1
E00053718,126,0,5,0,0
E00053721,121,3,5,3,1
E00053722,74,1,75,2,1
E00053724,132,0,46,3,0
E00053725,116,1,6,0,0
E00053727,132,1,8,0,2
E00053728,123,0,8,1,0
E00053729,132,1,9,1,0
E00053730,88,1,20,15,1
E00053731,80,2,24,3,0
E00053732,121,0,10,1,0
E00053733,125,2,8,0,0
E00053734,88,1,32,2,0
E00053735,56,3,3,35,1
E00053736,102,6,43,1,0
E00053737,84,3,37,0,1
E00053738,117,1,7,3,3
E00053739,105,1,19,3,1
E00053740,123,3,49,2,1
E00053741,67,2,15,0,1
E00054078,107,0,4,1,0
E00054081,33,5,11,93,0
E00054084,123,2,33,8,2
E00054088,21,5,13,81,1
E00054108,134,2,6,1,0
E00054114,148,2,41,5,0
E00054734,176,4,13,5,5
E00054737,72,1,2,0,0
E00054738,65,0,3,0,0
E00054740,114,3,24,1,0
E00140249,124,2,11,0,0
E00140250,89,2,9,21,0
E00140251,95,0,28,1,0
E00140252,115,3,13,0,1
E00140253,71,1,6,5,3
E00140254,99,0,19,8,0
E00140255,66,2,9,1,0
E00140256,54,5,6,33,1
E00140257,99,3,9,1,0
E00140258,111,0,12,1,0
E00140259,78,1,15,14,0
E00140260,68,3,8,1,0
E00140261,172,5,17,7,1
E00140283,103,3,21,13,0
E00140284,147,2,36,3,2
E00140285,122,2,15,0,0
E00140286,123,1,11,3,0
E00140287,117,2,13,0,0
E00140288,67,1,14,37,0
E00140289,94,0,22,3,0
E00140308,104,2,50,6,1
E00140309,50,1,15,62,6
E00140310,117,1,10,3,0
E00140311,98,4,26,7,0
E00140312,114,1,6,13,0
E00140313,80,2,25,19,0
E00140314,102,0,20,2,0
E00140315,108,2,19,3,0
E00140316,122,4,7,0,0
E00140317,129,3,19,0,0
E00140318,113,1,13,0,1
E00140319,61,5,12,59,0
E00140320,99,2,27,5,0
E00140400,32,7,14,65,0
E00140401,28,3,9,81,0
E00140402,66,3,15,44,2
E00140403,61,2,6,48,0
E00140409,116,4,45,3,0
E00140410,104,2,26,7,0
E00140411,92,1,25,22,1
E00140412,96,1,9,9,2
E00140413,86,3,14,10,0
E00140417,100,3,21,13,6
E00140418,114,1,10,13,5
E00140419,121,3,1,1,1
E00140420,124,2,15,3,1
E00140421,161,0,38,3,1
E00140422,73,2,7,34,0
E00140423,76,1,31,0,0
E00140424,89,0,24,6,0
E00140425,29,4,9,92,0
E00140426,45,0,5,0,1
E00140427,124,3,6,0,0
E00140428,123,5,16,7,0
E00140437,16,6,58,1,1
E00140438,113,3,28,14,1
E00140439,144,7,35,5,0
E00140440,112,3,38,2,0
