geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E02002722,2319,86,670,681,10
E02003742,2201,33,264,254,23
E02003743,2253,58,860,870,25
E02003744,3265,79,1074,1078,21
E02003745,3015,78,442,483,32
E02003746,2293,33,480,237,23
E02003748,2137,50,672,573,12
E02003750,2262,51,471,264,20
E02003751,2233,49,264,176,5
E02005417,2217,57,218,427,16
E02005425,2191,36,277,175,9
E02005426,2534,51,481,1040,45
E02005428,2521,52,556,531,26
E02005429,2540,41,476,169,18
E02005431,2630,70,544,384,15
E02005432,2420,118,591,163,11
E02005433,2306,61,571,283,38
E02005435,2137,18,773,303,61
E02005436,2408,59,563,392,32
E02005437,1137,26,1348,173,11
E02005438,1648,39,355,934,40
E02005440,1468,63,330,390,21
E02005466,2165,33,219,276,6
E02005467,2237,60,458,429,25
E02005472,2919,76,606,691,22
E02005474,2244,33,218,224,7
E02005503,2070,59,482,276,9
E02005504,2646,94,453,490,11
E02005505,2080,43,367,451,14
E02005506,2197,40,332,267,7
E02005507,3316,71,919,803,21
E02005508,2198,58,236,299,23
E02005509,2107,48,446,632,25
E02005510,2211,58,305,346,11
E02005511,2310,35,540,328,13
E02005512,2277,84,447,308,39
E02005513,2683,63,632,482,33
E02005514,1981,71,474,309,5
E02005520,2461,49,397,423,17
E02005521,2541,70,571,403,15
E02005522,1622,39,334,236,15
E02005523,2442,40,338,200,18
E02005524,1946,26,180,171,13
E02005525,3406,24,426,212,33
E02005526,1760,19,304,177,18
E02005527,2721,33,282,273,27
E02005528,2920,20,367,352,19
E02005529,2178,19,160,274,6
E02005530,1958,13,193,57,12
E02005531,1811,30,190,323,10
E02005532,2839,35,221,46,19
E02005533,2772,46,290,399,14
E02005534,2738,46,234,333,11
E02005535,2247,19,492,219,21
E02005536,2020,36,261,170,5
E02005537,1961,39,279,299,31
E02005538,3323,64,338,223,11
E02005539,2454,78,334,278,9
E02005540,3319,54,466,277,22
E02005541,1496,50,425,575,7
E02005542,1226,48,1057,719,17
E02005543,1159,53,1205,1330,16
E02005544,1474,34,815,595,9
E02005545,2377,35,189,109,22
E02005546,1862,66,519,1169,4
E02005547,2641,34,870,273,8
E02005548,1509,85,240,1216,6
E02005549,1980,26,183,128,6
E02005550,2253,52,285,363,9
E02005551,1887,46,454,268,6
E02005552,2153,141,524,500,12
E02005553,3256,83,474,393,22
E02005554,2261,130,517,331,9
E02005555,2434,23,231,78,11
E02005556,2566,25,321,193,17
E02005557,962,67,407,973,4
E02005558,2233,40,232,336,5
E02005559,1852,37,465,485,8
E02005560,1853,37,613,809,67
E02005561,1937,83,1196,1268,34
E02005562,2214,90,380,359,9
E02005563,2433,48,211,266,3
E02005564,2627,56,839,272,7
E02005565,2224,62,317,265,10
E02005566,3051,70,415,419,14
E02005567,3296,71,724,521,25
E02005568,2245,76,410,326,2
E02005569,2223,139,548,331,10
E02005570,2544,61,576,295,11
E02005571,1737,120,458,531,12
E02005572,2329,52,822,502,18
E02005573,1924,63,284,456,7
E02005574,2377,64,352,206,14
E02005575,2265,64,419,341,14
E02005576,2244,39,364,353,20
E02005577,1825,60,387,286,12
E02005578,1605,113,537,310,8
E02005579,3854,71,730,903,39
E02005580,2404,76,416,582,6
E02005581,2242,71,496,283,3
E02005582,2070,56,465,345,12
E02005583,2873,76,358,511,23
E02005584,2251,38,855,1575,17
E02005585,1542,35,695,2350,51
E02005586,2469,41,1534,788,34
E02005587,2287,39,280,1590,23
E02005588,1906,49,795,1921,37
E02005589,1852,57,811,1997,67
E02005590,1485,77,1472,2649,25
E02005592,2248,40,1574,223,11
E02005593,1076,38,436,1285,66
E02005594,2364,68,1535,1367,47
E02005595,2956,44,460,459,14
E02005596,1841,53,517,1940,7
E02005597,3944,49,526,839,99
E02005598,2577,46,349,238,35
E02005599,1913,31,271,277,15
E02005600,1772,32,225,255,10
E02005601,1839,32,414,429,49
E02005602,3515,74,432,399,13
E02005603,2683,40,419,312,66
E02005604,2626,81,319,411,14
E02005605,3316,50,393,392,22
E02005606,1801,47,283,183,4
E02005607,3466,86,411,463,58
E02006302,2345,35,337,164,14
E02006303,1551,50,299,1286,5
E02006304,2613,31,244,407,11
E02006907,1014,45,1343,649,25
E02006908,1151,29,782,909,9
