geocode,female,male
E00037085,130,110
E00037086,168,155
E00037087,166,165
E00037089,157,153
E00037093,163,152
E00037094,233,220
E00037096,143,131
E00037097,136,129
E00037098,119,113
E00037099,210,228
E00037100,125,161
E00037101,192,183
E00037102,182,167
E00037103,144,143
E00037104,161,143
E00037105,193,164
E00037106,137,136
E00037107,151,154
E00037108,159,163
E00037109,169,185
E00037110,223,213
E00037111,143,145
E00037112,150,146
E00037113,161,155
E00037114,179,192
E00037115,157,144
E00037116,152,138
E00037117,137,139
E00037118,174,160
E00037119,163,166
E00037120,130,146
E00037121,135,133
E00037122,146,139
E00037123,166,171
E00037124,172,165
E00037125,152,130
E00037126,145,138
E00037127,193,175
E00037128,185,163
E00037129,169,155
E00037130,122,119
E00037131,156,140
E00037132,131,133
E00037133,154,163
E00037134,177,147
E00037135,142,127
E00037136,143,134
E00037137,133,129
E00037138,133,134
E00037139,132,120
E00037140,147,141
E00037160,305,304
E00037161,133,111
E00037162,186,197
E00037165,263,273
E00037167,182,176
E00037168,148,149
E00037169,132,126
E00037170,117,134
E00037171,122,137
E00037172,131,142
E00037173,139,152
E00037174,147,154
E00037175,142,136
E00037176,161,174
E00037177,145,177
E00037178,161,160
E00037179,105,68
E00037180,137,158
E00037181,126,104
E00037182,145,122
E00037183,186,194
E00037184,150,169
E00037186,119,139
E00037187,139,135
E00037188,84,87
E00037189,134,158
E00037190,84,65
E00037191,65,120
E00037192,199,176
E00037193,151,177
E00037194,143,145
E00037195,180,170
E00037196,177,178
E00037197,92,109
E00037198,136,134
E00037199,113,101
E00037200,147,132
E00037201,129,143
E00037202,151,163
E00037203,115,103
E00037204,142,126
E00037205,152,154
E00037206,212,170
E00037207,157,176
E00037208,226,219
E00037209,89,52
E00037210,158,144
E00037211,143,145
E00037212,160,153
E00037213,133,123
E00037215,127,123
E00037216,140,134
E00037217,161,146
E00037218,166,158
E00037219,171,165
E00037220,171,161
E00037221,209,210
E00037222,165,181
E00037223,217,221
E00037224,174,142
E00037225,158,161
E00037226,192,170
E00037229,152,141
E00037231,84,111
E00037232,148,143
E00037233,216,183
E00037234,178,184
E00037235,167,174
E00037236,170,176
E00037237,162,150
E00037238,115,104
E00037239,184,179
E00037276,164,174
E00037277,154,154
E00037278,147,129
E00037279,156,145
E00037280,184,166
E00037281,140,112
E00037282,143,159
E00037283,131,107
E00037284,145,141
E00037285,127,135
E00037286,153,141
E00037287,185,166
E00037288,136,138
E00037289,128,118
E00037290,156,151
E00037291,126,132
E00037292,140,149
E00037293,128,133
E00037294,127,125
E00037295,158,178
E00037296,99,103
E00037297,148,132
E00037298,154,135
E00037299,142,140
E00037300,178,135
E00037301,187,166
E00037302,155,152
E00037303,130,110
E00037304,142,115
E00037305,182,162
E00037306,149,142
E00037307,118,138
E00037308,240,193
E00037309,173,162
E00037310,148,153
E00037311,170,150
E00037312,165,166
E00037313,176,160
E00037314,150,158
E00037315,160,119
E00037316,175,161
E00037317,160,150
E00037318,148,146
E00037319,218,211
E00037320,114,111
E00037321,154,145
E00037395,185,200
E00037397,171,164
E00037398,148,136
E00037399,205,202
E00037400,166,169
E00037401,214,192
E00037402,181,159
E00037403,147,136
E00037404,145,158
E00037411,133,116
E00037412,138,136
E00037413,159,136
E00037414,145,137
E00037415,158,139
E00037416,138,141
E00037417,129,138
E00037418,165,170
E00037419,221,205
E00037420,165,147
E00037421,129,125
E00037422,178,154
E00037423,149,142
E00037424,130,139
E00037425,135,157
E00037426,164,160
E00037427,167,188
E00037428,156,137
E00037429,148,140
E00037430,181,154
E00037431,143,155
E00037432,169,187
E00037433,148,123
E00037434,115,108
E00037435,154,161
E00037436,188,190
E00037437,156,137
E00037438,145,147
E00037439,232,244
E00037502,143,154
E00037503,109,124
E00037505,196,160
E00037507,167,163
E00037508,187,178
E00037509,110,104
E00037510,148,151
E00037511,126,130
E00037512,136,114
E00037513,131,122
E00037514,200,164
E00037515,134,135
E00037516,238,216
E00037517,149,138
E00037518,146,140
E00037519,180,168
E00037520,122,118
