geocode,owned,rent_free,rented_private,rented_social,shared_ownership
E01016717,357,7,111,116,41
E01016759,369,1,54,128,30
E01016760,729,10,75,137,24
E01016761,494,6,65,2,1
E01016762,340,4,58,105,10
E01016763,375,5,71,66,115
E01016764,400,6,69,51,78
E01016765,359,6,64,217,5
E01016766,322,5,54,128,27
E01016767,435,3,40,10,33
E01016769,419,4,73,23,62
E01016770,381,7,104,69,114
E01016771,294,3,86,101,7
E01016772,258,7,83,149,4
E01016773,528,6,70,95,98
E01016786,536,7,66,14,2
E01016787,406,7,76,169,2
E01016788,533,1,69,6,2
E01016789,361,2,91,31,17
E01016790,483,1,30,11,2
E01016791,506,4,62,20,3
E01016792,440,3,71,6,5
E01016793,551,4,116,77,44
E01016794,486,11,175,17,2
E01016795,475,3,152,50,6
E01016798,614,1,106,10,0
E01016799,532,12,107,117,10
E01016802,447,14,62,46,0
E01016804,284,5,168,261,1
E01016805,473,4,107,7,15
E01016806,233,9,92,281,82
E01016807,464,9,88,106,11
E01016808,412,2,72,15,32
E01016809,370,3,90,54,0
E01016812,510,3,85,43,1
E01016817,440,7,90,107,13
E01016818,532,15,193,93,7
E01016819,173,4,54,216,4
E01016835,273,11,96,291,6
E01016836,449,4,132,29,5
E01016837,453,7,185,51,2
E01016838,412,8,66,115,3
E01016839,234,10,80,264,25
E01016840,719,7,187,68,71
E01016841,468,15,275,180,46
E01025771,791,12,136,78,9
E01025789,360,5,59,46,6
E01025790,836,9,61,11,4
E01025791,703,13,101,108,12
E01025792,652,20,179,226,18
E01025793,690,6,67,193,31
E01025795,585,5,164,60,34
E01025796,436,13,128,274,11
E01025798,623,12,172,27,5
E01025799,592,1,81,10,20
E01025800,379,3,95,34,27
E01025801,350,8,132,121,7
E01025802,536,5,64,11,1
E01025803,546,4,28,1,3
E01025804,633,4,109,79,17
E01025805,588,7,43,22,1
E01025806,284,12,61,297,26
E01025807,409,8,155,18,5
E01025808,846,16,103,57,9
E01026953,498,6,40,46,0
E01026954,303,12,75,143,1
E01026955,506,5,40,4,2
