geocode,asian,black,mixed,other,white
E10000027,1800,306,1218,194,141344
E10000029,3081,2187,3126,796,161290
E12000001,74582,13216,22439,11051,2473259
E12000002,437439,97844,110857,44204,6359442
E12000003,385940,80340,84546,40906,4691684
E12000004,292958,81309,86044,25664,4044577
E12000005,604118,182081,131673,49853,4632895
E12000006,275285,115244,108968,28040,5148456
E12000007,1511424,1088532,405208,281011,4886672
E12000008,452042,136013,167764,51111,7827820
E12000009,103737,49170,70666,15415,4905085
